,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/object_shift,logdir
0,2.0,2.0,39.42,0.009424270952477887,1.25,2.45,0.46922357213595767,1.8329314263917538,0.8807752496610083,4.751968765908614,1776465903,,False,1,ff302_00000,2026-04-17_23-45-03,30.1441912651062,30.1441912651062,1255157,cnl-brain9,155.198.99.250,30.1441912651062,1,-3.6,ff302_00000
1,2.0,2.0,39.54,0.014953331204514697,1.25,2.45,0.4121987197259305,1.4762951514997882,0.8895001224146621,5.160679003135732,1776465902,,False,1,ff302_00001,2026-04-17_23-45-02,28.44825768470764,28.44825768470764,1255158,cnl-brain9,155.198.99.250,28.44825768470764,1,-3.5,ff302_00001
2,2.0,2.0,39.45,0.014868889672390306,1.25,2.5500000000000003,0.4250958766103584,1.2252982089033702,0.8912389770289371,4.948569352601169,1776465902,,False,1,ff302_00002,2026-04-17_23-45-02,28.984026193618774,28.984026193618774,1255159,cnl-brain9,155.198.99.250,28.984026193618774,1,-3.4,ff302_00002
3,2.0,2.0,39.42,0.008315729462185839,1.25,2.6500000000000004,0.4812523421001569,0.9408054581657296,0.8844811188265627,4.732544659703121,1776465902,,False,1,ff302_00003,2026-04-17_23-45-02,28.346035480499268,28.346035480499268,1255161,cnl-brain9,155.198.99.250,28.346035480499268,1,-3.3,ff302_00003
4,2.0,2.0,39.45,0.013795030862893576,1.25,2.7500000000000004,0.5063855694763144,0.962980734308773,0.880063997236007,4.626231864402577,1776465902,,False,1,ff302_00004,2026-04-17_23-45-02,28.44831943511963,28.44831943511963,1255160,cnl-brain9,155.198.99.250,28.44831943511963,1,-3.2,ff302_00004
5,2.0,2.0,39.54,0.013736703879024592,1.25,2.8500000000000005,0.5122972146046676,0.9734226043620966,0.8780312410840763,4.580886540196545,1776465902,,False,1,ff302_00005,2026-04-17_23-45-02,28.460129022598267,28.460129022598267,1255163,cnl-brain9,155.198.99.250,28.460129022598267,1,-3.1,ff302_00005
6,2.0,2.0,39.39,0.009243165034994671,1.25,2.9500000000000006,0.5180761386714485,0.960995079999535,0.8767468965612534,4.559022527893451,1776465903,,False,1,ff302_00006,2026-04-17_23-45-03,30.147012948989868,30.147012948989868,1255162,cnl-brain9,155.198.99.250,30.147012948989868,1,-3.0,ff302_00006
7,2.0,2.0,39.48,0.014294595586987757,1.25,-2.9499999999999993,0.5250853652252625,0.9437269986311216,0.8759790029103645,4.56000431618526,1776465902,,False,1,ff302_00007,2026-04-17_23-45-02,28.64932107925415,28.64932107925415,1255168,cnl-brain9,155.198.99.250,28.64932107925415,1,-2.9,ff302_00007
8,2.0,2.0,39.48,0.013414927683570443,1.25,-0.049999999999998934,0.5326692263392467,1.2160023732357335,0.8753631674857034,4.547328180045475,1776465902,,False,1,ff302_00008,2026-04-17_23-45-02,28.562869787216187,28.562869787216187,1255166,cnl-brain9,155.198.99.250,28.562869787216187,1,-2.8,ff302_00008
9,2.0,2.0,39.45,0.008799907868543233,1.25,-0.049999999999998934,0.53430986634213,1.2375076865669055,0.8747617421818038,4.534272413170196,1776465902,,False,1,ff302_00009,2026-04-17_23-45-02,28.650847911834717,28.650847911834717,1255167,cnl-brain9,155.198.99.250,28.650847911834717,1,-2.7,ff302_00009
10,2.0,2.0,39.42,0.009666208843256197,1.25,-0.049999999999998934,0.5375679278276713,1.2306026687384652,0.8739543348585708,4.521400928764024,1776465902,,False,1,ff302_00010,2026-04-17_23-45-02,28.59170436859131,28.59170436859131,1255165,cnl-brain9,155.198.99.250,28.59170436859131,1,-2.6,ff302_00010
11,2.0,2.0,39.45,0.012247523905497104,1.25,-0.049999999999998934,0.5415591027756741,1.2146471301388417,0.8729345459595189,4.535622624064384,1776465902,,False,1,ff302_00011,2026-04-17_23-45-02,28.65678334236145,28.65678334236145,1255164,cnl-brain9,155.198.99.250,28.65678334236145,1,-2.5,ff302_00011
12,2.0,2.0,39.39,0.010834186101193577,1.25,-0.049999999999998934,0.5439329154441812,1.2192108620192275,0.8717412465592455,4.508447389660116,1776465902,,False,1,ff302_00012,2026-04-17_23-45-02,28.713783502578735,28.713783502578735,1255170,cnl-brain9,155.198.99.250,28.713783502578735,1,-2.4,ff302_00012
13,2.0,2.0,39.48,0.008939944689869694,1.25,-0.049999999999998934,0.5458944318167882,1.2259591015539013,0.8701687990932392,4.523352257080612,1776465903,,False,1,ff302_00013,2026-04-17_23-45-03,30.261825561523438,30.261825561523438,1255169,cnl-brain9,155.198.99.250,30.261825561523438,1,-2.3,ff302_00013
14,2.0,2.0,39.42,0.009873410858694864,1.25,-0.049999999999998934,0.5481360657134577,1.2174941573026485,0.8682570700016417,4.508078115717461,1776465902,,False,1,ff302_00014,2026-04-17_23-45-02,28.610302448272705,28.610302448272705,1255172,cnl-brain9,155.198.99.250,28.610302448272705,1,-2.2,ff302_00014
15,2.0,2.0,39.45,0.01096073579793444,1.25,-0.049999999999998934,0.5498464828037957,1.207981794509159,0.8661768250924691,4.494949980987837,1776465903,,False,1,ff302_00015,2026-04-17_23-45-03,30.147121906280518,30.147121906280518,1255173,cnl-brain9,155.198.99.250,30.147121906280518,1,-2.1,ff302_00015
16,2.0,2.0,39.48,0.007707676807910513,1.25,-0.049999999999998934,0.5489521693372064,1.220176572286191,0.8633827065697169,4.489623734532256,1776465903,,False,1,ff302_00016,2026-04-17_23-45-03,29.50866675376892,29.50866675376892,1255171,cnl-brain9,155.198.99.250,29.50866675376892,1,-2.0,ff302_00016
17,2.0,2.0,39.48,0.012569999991786762,1.25,-0.049999999999998934,0.549154008625282,1.1897910444997841,0.8605626472147794,4.497580921512473,1776465903,,False,1,ff302_00017,2026-04-17_23-45-03,29.853520393371582,29.853520393371582,1255176,cnl-brain9,155.198.99.250,29.853520393371582,1,-1.9,ff302_00017
