,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/object_shift,logdir
0,2.0,2.0,39.15,0.015223247479462909,1.25,2.45,0.4909409752099423,1.8428029790570335,0.8771580013541108,4.68263877178893,1776466289,,False,1,e5b49_00000,2026-04-17_23-51-29,29.07925772666931,29.07925772666931,1296282,cnl-brain9,155.198.99.250,29.07925772666931,1,-3.6,e5b49_00000
1,2.0,2.0,40.14,0.009078851556405088,1.25,2.45,0.37045713674712566,1.544972497406149,0.9190027256849019,5.427112118571538,1776466288,,False,1,e5b49_00001,2026-04-17_23-51-28,28.201576471328735,28.201576471328735,1296281,cnl-brain9,155.198.99.250,28.201576471328735,1,-3.5,e5b49_00001
2,2.0,2.0,38.55,0.010327789349331429,1.25,2.5500000000000003,0.44415666787465113,1.1905940979060594,0.8843009102809735,4.8452889217580575,1776466289,,False,1,e5b49_00002,2026-04-17_23-51-29,29.25776958465576,29.25776958465576,1296284,cnl-brain9,155.198.99.250,29.25776958465576,1,-3.4,e5b49_00002
3,2.0,2.0,42.9,0.019185472816122928,1.25,2.6500000000000004,0.4176632924391875,0.9477325207171411,0.8940460118330582,4.841748013497536,1776466289,,False,1,e5b49_00003,2026-04-17_23-51-29,29.211586713790894,29.211586713790894,1296283,cnl-brain9,155.198.99.250,29.211586713790894,1,-3.3,e5b49_00003
4,2.0,2.0,38.94,0.02351759311767143,1.25,2.7500000000000004,0.6013520536898788,0.9756927554142337,0.8539863253252038,4.2661074170630675,1776466289,,False,1,e5b49_00004,2026-04-17_23-51-29,28.96450638771057,28.96450638771057,1296285,cnl-brain9,155.198.99.250,28.96450638771057,1,-3.2,e5b49_00004
5,2.0,2.0,39.06,0.010110045955281421,1.25,-0.049999999999998934,0.5301757627614827,1.241934688373606,0.8611114098737509,4.436902572741083,1776466288,,False,1,e5b49_00005,2026-04-17_23-51-28,28.430460453033447,28.430460453033447,1296286,cnl-brain9,155.198.99.250,28.430460453033447,1,-3.1,e5b49_00005
6,2.0,2.0,41.1,0.02401250381729403,1.25,2.9500000000000006,0.4854018968782909,0.9723507587681699,0.8727729991413331,4.5503526245025325,1776466288,,False,1,e5b49_00006,2026-04-17_23-51-28,28.433714389801025,28.433714389801025,1296290,cnl-brain9,155.198.99.250,28.433714389801025,1,-3.0,e5b49_00006
7,2.0,2.0,41.67,0.009082518916612159,1.25,-0.049999999999998934,0.5139607347289177,1.3194960217208984,0.8732664817649376,4.600727724077829,1776466289,,False,1,e5b49_00007,2026-04-17_23-51-29,29.42648696899414,29.42648696899414,1296287,cnl-brain9,155.198.99.250,29.42648696899414,1,-2.9,e5b49_00007
8,2.0,2.0,40.53,0.018331324070385957,1.25,-2.8499999999999996,0.628218569140055,0.9845533827741,0.8578033201734621,4.264542720408917,1776466289,,False,1,e5b49_00008,2026-04-17_23-51-29,28.892441272735596,28.892441272735596,1296289,cnl-brain9,155.198.99.250,28.892441272735596,1,-2.8,e5b49_00008
9,2.0,2.0,39.72,0.026340480017342127,1.25,-2.7499999999999996,0.5968886210985839,0.9981353364061684,0.8603465983466512,4.312320636918873,1776466289,,False,1,e5b49_00009,2026-04-17_23-51-29,28.8887038230896,28.8887038230896,1296288,cnl-brain9,155.198.99.250,28.8887038230896,1,-2.7,e5b49_00009
10,2.0,2.0,39.03,0.011277748117943354,1.25,-2.6499999999999995,0.39507267983709227,0.6913631203753873,0.8975580996913463,4.892722614612978,1776466290,,False,1,e5b49_00010,2026-04-17_23-51-30,29.605300426483154,29.605300426483154,1296291,cnl-brain9,155.198.99.250,29.605300426483154,1,-2.6,e5b49_00010
11,2.0,2.0,41.31,0.019123440029013228,1.25,-0.049999999999998934,0.5800319084465251,1.1972145387916642,0.861833163054221,4.314789027170272,1776466291,,False,1,e5b49_00011,2026-04-17_23-51-31,31.06196928024292,31.06196928024292,1296292,cnl-brain9,155.198.99.250,31.06196928024292,1,-2.5,e5b49_00011
12,2.0,2.0,38.25,0.014809138961752843,1.25,-0.049999999999998934,0.5029134087790705,1.2235145005552859,0.8814615707881778,4.686236760791793,1776466291,,False,1,e5b49_00012,2026-04-17_23-51-31,30.677135229110718,30.677135229110718,1296296,cnl-brain9,155.198.99.250,30.677135229110718,1,-2.4,e5b49_00012
13,2.0,2.0,41.28,0.011495306852796094,1.25,-0.049999999999998934,0.49443050793095367,1.2780042204873616,0.8663812921918208,4.636086650873276,1776466290,,False,1,e5b49_00013,2026-04-17_23-51-30,30.194905996322632,30.194905996322632,1296295,cnl-brain9,155.198.99.250,30.194905996322632,1,-2.3,e5b49_00013
14,2.0,2.0,41.43,0.008310456053331361,1.25,-0.049999999999998934,0.5501681761418404,1.203753564905662,0.8553567111425027,4.35707175519619,1776466291,,False,1,e5b49_00014,2026-04-17_23-51-31,30.795337438583374,30.795337438583374,1296293,cnl-brain9,155.198.99.250,30.795337438583374,1,-2.2,e5b49_00014
15,2.0,2.0,40.56,0.002347376161197623,1.25,-0.049999999999998934,0.4577688602978376,1.2854931796756983,0.8808401085521753,4.92535150162463,1776466291,,False,1,e5b49_00015,2026-04-17_23-51-31,30.538817405700684,30.538817405700684,1296300,cnl-brain9,155.198.99.250,30.538817405700684,1,-2.1,e5b49_00015
