,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,429.9899999998507,-0.026375361458844004,1.0,-0.049999999999998934,0.2410569407787979,1.3229286248775243,1759199940,,False,1,87ef0_00000,2025-09-30_03-39-00,34.89781951904297,34.89781951904297,3961130,cnl-brain9,155.198.99.250,34.89781951904297,1,0.05,87ef0_00000
1,1.0,1.0,153.18000000000504,-0.02464546796100997,1.0,-0.049999999999998934,0.2609690809823495,1.7663107938202938,1759199932,,False,1,87ef0_00001,2025-09-30_03-38-52,27.191035270690918,27.191035270690918,3961131,cnl-brain9,155.198.99.250,27.191035270690918,1,0.0625,87ef0_00001
2,1.0,1.0,127.89000000000408,-0.020891248574323118,1.25,-0.049999999999998934,0.2786697915767955,1.9722500576345685,1759199929,,False,1,87ef0_00002,2025-09-30_03-38-49,23.344987392425537,23.344987392425537,3961132,cnl-brain9,155.198.99.250,23.344987392425537,1,0.07500000000000001,87ef0_00002
3,1.0,1.0,109.8600000000034,-0.018720795971450155,1.25,-0.049999999999998934,0.29402626881842586,2.0004633234528706,1759199925,,False,1,87ef0_00003,2025-09-30_03-38-45,19.294800758361816,19.294800758361816,3961133,cnl-brain9,155.198.99.250,19.294800758361816,1,0.08750000000000001,87ef0_00003
4,1.0,1.0,96.30000000000288,-0.018432115959161166,1.25,-0.049999999999998934,0.31280921802471306,1.9620537481370173,1759199923,,False,1,87ef0_00004,2025-09-30_03-38-43,17.81053137779236,17.81053137779236,3961134,cnl-brain9,155.198.99.250,17.81053137779236,1,0.1,87ef0_00004
5,1.0,1.0,85.80000000000248,-0.014128444419037045,1.25,-0.049999999999998934,0.3298773876994785,1.8172996590156396,1759199922,,False,1,87ef0_00005,2025-09-30_03-38-42,16.10278296470642,16.10278296470642,3961135,cnl-brain9,155.198.99.250,16.10278296470642,1,0.1125,87ef0_00005
6,1.0,1.0,77.37000000000216,-0.01401427126636845,1.25,-0.049999999999998934,0.3442963181141083,1.7426136285773226,1759199919,,False,1,87ef0_00006,2025-09-30_03-38-39,13.727131843566895,13.727131843566895,3961137,cnl-brain9,155.198.99.250,13.727131843566895,1,0.125,87ef0_00006
7,1.0,1.0,70.4700000000019,-0.0110871271245081,1.25,-0.049999999999998934,0.3608636453366585,1.6342936910583579,1759199918,,False,1,87ef0_00007,2025-09-30_03-38-38,12.700931787490845,12.700931787490845,3961850,cnl-brain9,155.198.99.250,12.700931787490845,1,0.1375,87ef0_00007
8,1.0,1.0,64.74000000000169,-0.011129889337290422,1.25,-0.049999999999998934,0.37675254688239157,1.5760102098773845,1759199917,,False,1,87ef0_00008,2025-09-30_03-38-37,11.719392538070679,11.719392538070679,3961849,cnl-brain9,155.198.99.250,11.719392538070679,1,0.15000000000000002,87ef0_00008
9,1.0,1.0,59.88000000000151,-0.00720284265557547,1.25,-0.049999999999998934,0.39251597894507473,1.483697669825696,1759199916,,False,1,87ef0_00009,2025-09-30_03-38-36,10.645010948181152,10.645010948181152,3961848,cnl-brain9,155.198.99.250,10.645010948181152,1,0.1625,87ef0_00009
10,1.0,1.0,55.74000000000135,-0.00387862315899401,1.25,-0.049999999999998934,0.4107287588899,1.4121426486009485,1759199916,,False,1,87ef0_00010,2025-09-30_03-38-36,10.439116477966309,10.439116477966309,3961847,cnl-brain9,155.198.99.250,10.439116477966309,1,0.175,87ef0_00010
11,1.0,1.0,52.05000000000121,-0.006521898289311601,1.25,-0.049999999999998934,0.4288286616741228,1.4002307969388939,1759199915,,False,1,87ef0_00011,2025-09-30_03-38-35,9.209766149520874,9.209766149520874,3961846,cnl-brain9,155.198.99.250,9.209766149520874,1,0.1875,87ef0_00011
12,1.0,1.0,48.84000000000109,-0.005123712689155457,1.25,-0.049999999999998934,0.44645885505429783,1.3583840085135754,1759199915,,False,1,87ef0_00012,2025-09-30_03-38-35,9.335418939590454,9.335418939590454,3961845,cnl-brain9,155.198.99.250,9.335418939590454,1,0.2,87ef0_00012
13,1.0,1.0,46.14000000000099,-0.001624301638344594,1.25,-0.049999999999998934,0.46432496688275204,1.3080430485414227,1759199914,,False,1,87ef0_00013,2025-09-30_03-38-34,8.658990859985352,8.658990859985352,3961883,cnl-brain9,155.198.99.250,8.658990859985352,1,0.21250000000000002,87ef0_00013
14,1.0,1.0,43.680000000000895,0.0029075725452520906,1.25,-0.049999999999998934,0.4825424648047827,1.2586958612373549,1759199914,,False,1,87ef0_00014,2025-09-30_03-38-34,8.124658584594727,8.124658584594727,3961884,cnl-brain9,155.198.99.250,8.124658584594727,1,0.22500000000000003,87ef0_00014
