,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,160.2300000000053,-0.018666584117104534,1.0,-0.049999999999998934,0.2786080709911469,1.5768671896198712,1751978867,,False,1,ac861_00000,2025-07-08_13-47-47,27.4351065158844,27.4351065158844,1536556,cnl-brain9,155.198.99.250,27.4351065158844,1,0.05,ac861_00000
1,1.0,1.0,135.45000000000437,-0.018295126413374607,1.25,-0.049999999999998934,0.2891098338870446,1.904762155879066,1751978868,,False,1,ac861_00001,2025-07-08_13-47-48,28.093345403671265,28.093345403671265,1536557,cnl-brain9,155.198.99.250,28.093345403671265,1,0.0625,ac861_00001
2,1.0,1.0,112.83000000000351,-0.02755614357937386,1.25,-0.049999999999998934,0.2789708844588916,2.4934469088004936,1751978863,,False,1,ac861_00002,2025-07-08_13-47-43,23.500781297683716,23.500781297683716,1536558,cnl-brain9,155.198.99.250,23.500781297683716,1,0.07500000000000001,ac861_00002
3,1.0,1.0,93.9600000000028,-0.0226738359143126,1.25,-0.049999999999998934,0.2959035798902798,2.5464297924138912,1751978862,,False,1,ac861_00003,2025-07-08_13-47-42,22.236943006515503,22.236943006515503,1536559,cnl-brain9,155.198.99.250,22.236943006515503,1,0.08750000000000001,ac861_00003
4,1.0,1.0,95.49000000000285,-0.020145773668756917,1.25,-0.049999999999998934,0.32630308855812107,2.1685730228575046,1751978861,,False,1,ac861_00004,2025-07-08_13-47-41,21.15050458908081,21.15050458908081,1536560,cnl-brain9,155.198.99.250,21.15050458908081,1,0.1,ac861_00004
5,1.0,1.0,89.19000000000261,-0.018247336000706493,1.0,-0.049999999999998934,0.33663917172989066,1.8956015086629374,1751978859,,False,1,ac861_00005,2025-07-08_13-47-39,18.842333793640137,18.842333793640137,1538035,cnl-brain9,155.198.99.250,18.842333793640137,1,0.1125,ac861_00005
6,1.0,1.0,82.59000000000236,-0.003793423586390343,1.25,-0.049999999999998934,0.3681262966130654,2.174054701263554,1751978859,,False,1,ac861_00006,2025-07-08_13-47-39,19.106438159942627,19.106438159942627,1538150,cnl-brain9,155.198.99.250,19.106438159942627,1,0.125,ac861_00006
7,1.0,1.0,64.11000000000166,-0.0010214334175984163,1.25,-0.049999999999998934,0.43854497198661013,1.2212721575807948,1751978855,,False,1,ac861_00007,2025-07-08_13-47-35,14.990513801574707,14.990513801574707,1538038,cnl-brain9,155.198.99.250,14.990513801574707,1,0.1375,ac861_00007
8,1.0,1.0,60.840000000001545,-0.016474805108317003,1.25,-0.049999999999998934,0.34418946771676895,1.6044633927856342,1751978858,,False,1,ac861_00008,2025-07-08_13-47-38,18.588491201400757,18.588491201400757,1538037,cnl-brain9,155.198.99.250,18.588491201400757,1,0.15000000000000002,ac861_00008
9,1.0,1.0,64.02000000000166,-0.0092353712424873,1.25,-0.049999999999998934,0.40131642797035605,1.2887892089723243,1751978857,,False,1,ac861_00009,2025-07-08_13-47-37,17.688160181045532,17.688160181045532,1538036,cnl-brain9,155.198.99.250,17.688160181045532,1,0.1625,ac861_00009
