,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_moved,logdir
0,2.0,2.0,39.420000000000734,0.004423607079452108,1.25,-0.049999999999998934,0.5502499612560889,1.1982016701584288,1749058942,,False,1,3422b_00000,2025-06-04_18-42-22,23.59158205986023,23.59158205986023,3806093,cnl-brain9,155.198.99.250,23.59158205986023,1,-2.0,3422b_00000
1,2.0,2.0,39.420000000000734,0.003548728363960141,1.25,-0.049999999999998934,0.5486281106225257,1.1976685701444216,1749058938,,False,1,3422b_00001,2025-06-04_18-42-18,19.1454119682312,19.1454119682312,3806094,cnl-brain9,155.198.99.250,19.1454119682312,1,-1.9,3422b_00001
2,2.0,2.0,39.420000000000734,0.003513378757371566,1.25,-0.049999999999998934,0.5448873375900893,1.1916479003126557,1749058942,,False,1,3422b_00002,2025-06-04_18-42-22,23.625169277191162,23.625169277191162,3806095,cnl-brain9,155.198.99.250,23.625169277191162,1,-1.8,3422b_00002
3,2.0,2.0,39.420000000000734,0.006860740223921358,1.25,-0.049999999999998934,0.5402478779046325,1.167776295883593,1749058940,,False,1,3422b_00003,2025-06-04_18-42-20,20.72473120689392,20.72473120689392,3806096,cnl-brain9,155.198.99.250,20.72473120689392,1,-1.7,3422b_00003
4,2.0,2.0,39.450000000000735,0.00678107613053891,1.25,-0.049999999999998934,0.5329156298876474,1.1605838515544449,1749058939,,False,1,3422b_00004,2025-06-04_18-42-19,20.36285901069641,20.36285901069641,3806097,cnl-brain9,155.198.99.250,20.36285901069641,1,-1.6,3422b_00004
5,2.0,2.0,39.450000000000735,0.00305106796509369,1.25,-0.049999999999998934,0.5197885277780268,1.1716682449262579,1749058937,,False,1,3422b_00005,2025-06-04_18-42-17,18.528056859970093,18.528056859970093,3806098,cnl-brain9,155.198.99.250,18.528056859970093,1,-1.5,3422b_00005
6,2.0,2.0,39.39000000000073,0.0009105715957957727,1.25,-0.049999999999998934,0.502065152641074,1.174956479145438,1749058941,,False,1,3422b_00006,2025-06-04_18-42-21,22.243931531906128,22.243931531906128,3806104,cnl-brain9,155.198.99.250,22.243931531906128,1,-1.4,3422b_00006
7,2.0,2.0,39.39000000000073,0.002725927793679972,1.25,-0.049999999999998934,0.4855394091323295,1.1584327273647117,1749058939,,False,1,3422b_00007,2025-06-04_18-42-19,19.58726143836975,19.58726143836975,3806103,cnl-brain9,155.198.99.250,19.58726143836975,1,-1.2999999999999998,3422b_00007
8,2.0,2.0,39.420000000000734,0.005097857999813993,1.25,-0.049999999999998934,0.47021136919864137,1.1417946864316713,1749058939,,False,1,3422b_00008,2025-06-04_18-42-19,20.097187995910645,20.097187995910645,3806102,cnl-brain9,155.198.99.250,20.097187995910645,1,-1.2,3422b_00008
9,2.0,2.0,39.39000000000073,0.00041273577114564475,1.25,-1.1499999999999995,0.4865887579883079,0.788140723454363,1749058940,,False,1,3422b_00009,2025-06-04_18-42-20,20.348094940185547,20.348094940185547,3806101,cnl-brain9,155.198.99.250,20.348094940185547,1,-1.1,3422b_00009
10,2.0,2.0,39.480000000000736,0.006079577733522967,1.25,-1.0499999999999994,0.4929584211861342,0.7771461662038212,1749058939,,False,1,3422b_00010,2025-06-04_18-42-19,19.938783884048462,19.938783884048462,3806100,cnl-brain9,155.198.99.250,19.938783884048462,1,-1.0,3422b_00010
11,2.0,2.0,39.39000000000073,0.00031789753981970037,1.25,-0.9499999999999993,0.507230653736674,0.9047638587195288,1749058937,,False,1,3422b_00011,2025-06-04_18-42-17,18.35745334625244,18.35745334625244,3806099,cnl-brain9,155.198.99.250,18.35745334625244,1,-0.8999999999999999,3422b_00011
12,2.0,2.0,39.420000000000734,0.0030344250540252915,1.25,-0.8499999999999992,0.5349852864618061,1.0499182016160156,1749058944,,False,1,3422b_00012,2025-06-04_18-42-24,25.052273750305176,25.052273750305176,3807066,cnl-brain9,155.198.99.250,25.052273750305176,1,-0.7999999999999998,3422b_00012
13,2.0,2.0,39.39000000000073,0.00018174110029578472,1.25,-0.7499999999999991,1.1586120762036813,0.9763817366474743,1749058940,,False,1,3422b_00013,2025-06-04_18-42-20,21.172173500061035,21.172173500061035,3807069,cnl-brain9,155.198.99.250,21.172173500061035,1,-0.7,3422b_00013
14,2.0,2.0,39.420000000000734,0.007638589399830753,1.25,-0.6499999999999995,1.0589278445364636,0.6547168045314348,1749058938,,False,1,3422b_00014,2025-06-04_18-42-18,18.79543375968933,18.79543375968933,3807070,cnl-brain9,155.198.99.250,18.79543375968933,1,-0.5999999999999999,3422b_00014
15,2.0,2.0,39.36000000000073,0.003993870584227732,1.25,-0.4499999999999993,0.9382706020193594,0.8012384245361036,1749058937,,False,1,3422b_00015,2025-06-04_18-42-17,18.190869569778442,18.190869569778442,3807071,cnl-brain9,155.198.99.250,18.190869569778442,1,-0.5,3422b_00015
16,2.0,2.0,39.420000000000734,0.004700623756782374,1.5,-0.3499999999999992,0.8268101785980577,0.9093731441293205,1749058942,,False,1,3422b_00016,2025-06-04_18-42-22,22.401368379592896,22.401368379592896,3807072,cnl-brain9,155.198.99.250,22.401368379592896,1,-0.3999999999999999,3422b_00016
17,2.0,2.0,39.450000000000735,0.006013688070817036,1.25,-0.2499999999999991,0.7173306336098384,0.8854397306611067,1749058940,,False,1,3422b_00017,2025-06-04_18-42-20,20.541386604309082,20.541386604309082,3807106,cnl-brain9,155.198.99.250,20.541386604309082,1,-0.2999999999999998,3422b_00017
18,1.0,1.0,39.420000000000734,0.00362858331606164,1.25,-0.049999999999998934,0.5140709070267748,1.2221475268622028,1749058938,,False,1,3422b_00018,2025-06-04_18-42-18,19.006494998931885,19.006494998931885,3807190,cnl-brain9,155.198.99.250,19.006494998931885,1,-0.19999999999999996,3422b_00018
19,1.0,1.0,39.450000000000735,0.002388365959011818,1.25,-0.049999999999998934,0.5136542159259214,1.2285272338689268,1749058944,,False,1,3422b_00019,2025-06-04_18-42-24,25.282846689224243,25.282846689224243,3807194,cnl-brain9,155.198.99.250,25.282846689224243,1,-0.09999999999999987,3422b_00019
20,1.0,1.0,39.420000000000734,0.004734820694115793,1.25,-0.049999999999998934,0.5144489231232634,1.216478764340918,1749058930,,False,1,3422b_00020,2025-06-04_18-42-10,10.478381156921387,10.478381156921387,3807195,cnl-brain9,155.198.99.250,10.478381156921387,1,0.0,3422b_00020
