,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,310.65,-0.02507603772489242,1.0,-0.049999999999998934,0.24107258484622474,1.3244352602852776,0.8327212873518685,3.9807411322073647,1776465807,,False,1,ada18_00000,2026-04-17_23-43-27,69.40539169311523,69.40539169311523,1242278,cnl-brain9,155.198.99.250,69.40539169311523,1,0.05,ada18_00000
1,1.0,1.0,153.15,-0.022056619029458435,1.0,-0.049999999999998934,0.2610023485181574,1.7568887186958355,0.8531680464072694,4.639531809235395,1776465794,,False,1,ada18_00001,2026-04-17_23-43-14,56.38412928581238,56.38412928581238,1242280,cnl-brain9,155.198.99.250,56.38412928581238,1,0.0625,ada18_00001
2,1.0,1.0,127.95,-0.018846641980081902,1.0,-0.049999999999998934,0.27867788654538517,1.9759155196304337,0.8630927204456285,4.908613089526408,1776465785,,False,1,ada18_00002,2026-04-17_23-43-05,47.45655393600464,47.45655393600464,1242279,cnl-brain9,155.198.99.250,47.45655393600464,1,0.07500000000000001,ada18_00002
3,1.0,1.0,109.8,-0.017161925715524884,1.0,-0.049999999999998934,0.2938247889779966,2.0211537765694567,0.866158376786213,5.116054561891361,1776465780,,False,1,ada18_00003,2026-04-17_23-43-00,42.04436683654785,42.04436683654785,1242283,cnl-brain9,155.198.99.250,42.04436683654785,1,0.08750000000000001,ada18_00003
4,1.0,1.0,96.36,-0.014681466628502005,1.25,-0.049999999999998934,0.31293011041915486,1.9480249269031362,0.8649744989076246,5.196052104634145,1776465775,,False,1,ada18_00004,2026-04-17_23-42-55,37.22064995765686,37.22064995765686,1242282,cnl-brain9,155.198.99.250,37.22064995765686,1,0.1,ada18_00004
5,1.0,1.0,85.8,-0.011649326885645017,1.0,-0.049999999999998934,0.32974169850302815,1.832345381358533,0.8612768556213345,5.240902395499715,1776465771,,False,1,ada18_00005,2026-04-17_23-42-51,32.97023367881775,32.97023367881775,1242284,cnl-brain9,155.198.99.250,32.97023367881775,1,0.1125,ada18_00005
6,1.0,1.0,77.37,-0.008197982780299817,1.25,-0.049999999999998934,0.3445542702388429,1.711892279521749,0.856167656172744,5.225676496251443,1776465766,,False,1,ada18_00006,2026-04-17_23-42-46,28.6528000831604,28.6528000831604,1242290,cnl-brain9,155.198.99.250,28.6528000831604,1,0.125,ada18_00006
7,1.0,1.0,70.47,-0.005909870759487568,1.25,-0.049999999999998934,0.36117266781555735,1.620590094986179,0.8503390212689019,5.197384388552702,1776465764,,False,1,ada18_00007,2026-04-17_23-42-44,26.383615493774414,26.383615493774414,1242292,cnl-brain9,155.198.99.250,26.383615493774414,1,0.1375,ada18_00007
8,1.0,1.0,64.74,-0.006628085723920041,1.25,-0.049999999999998934,0.37675302472023287,1.5759892704286502,0.8442201872449633,5.140987121768307,1776465763,,False,1,ada18_00008,2026-04-17_23-42-43,25.109212398529053,25.109212398529053,1242293,cnl-brain9,155.198.99.250,25.109212398529053,1,0.15000000000000002,ada18_00008
9,1.0,1.0,59.88,-0.00444523289954013,1.25,-0.049999999999998934,0.3918758080808571,1.5053172480232837,0.838072882517539,5.082584179796578,1776465761,,False,1,ada18_00009,2026-04-17_23-42-41,23.605857133865356,23.605857133865356,1242281,cnl-brain9,155.198.99.250,23.605857133865356,1,0.1625,ada18_00009
10,1.0,1.0,55.65,-0.0034737773531703375,1.25,-0.049999999999998934,0.4088617912767698,1.456138594320986,0.8320581955009618,5.004969470201318,1776465759,,False,1,ada18_00010,2026-04-17_23-42-39,21.23471164703369,21.23471164703369,1242289,cnl-brain9,155.198.99.250,21.23471164703369,1,0.175,ada18_00010
11,1.0,1.0,52.08,-0.0001100871378896251,1.25,-0.049999999999998934,0.4290304259051072,1.3937826352394316,0.8262679535142442,4.912954141139353,1776465758,,False,1,ada18_00011,2026-04-17_23-42-38,20.402899503707886,20.402899503707886,1242287,cnl-brain9,155.198.99.250,20.402899503707886,1,0.1875,ada18_00011
12,1.0,1.0,48.9,0.0019416887416179307,1.25,-0.049999999999998934,0.44670182056178476,1.350506453796396,0.8207526909400051,4.818160425731054,1776465755,,False,1,ada18_00012,2026-04-17_23-42-35,18.11427092552185,18.11427092552185,1242295,cnl-brain9,155.198.99.250,18.11427092552185,1,0.2,ada18_00012
13,1.0,1.0,46.14,0.0048462358833134545,1.25,-0.049999999999998934,0.4643541432406586,1.3074064047892338,0.8155354725191724,4.730910314163256,1776465755,,False,1,ada18_00013,2026-04-17_23-42-35,17.60002827644348,17.60002827644348,1242285,cnl-brain9,155.198.99.250,17.60002827644348,1,0.21250000000000002,ada18_00013
14,1.0,1.0,43.68,0.008952493325959487,1.25,-0.049999999999998934,0.4823310694509231,1.2629456518526898,0.8106228567740802,4.634922646580978,1776465754,,False,1,ada18_00014,2026-04-17_23-42-34,16.598344326019287,16.598344326019287,1242294,cnl-brain9,155.198.99.250,16.598344326019287,1,0.22500000000000003,ada18_00014
15,1.0,1.0,41.43,0.010697162291940732,1.25,-0.049999999999998934,0.4982751938723502,1.2376908695685163,0.8060111130021169,4.558739048530779,1776465754,,False,1,ada18_00015,2026-04-17_23-42-34,16.096153020858765,16.096153020858765,1242286,cnl-brain9,155.198.99.250,16.096153020858765,1,0.2375,ada18_00015
16,1.0,1.0,39.45,0.01008217304645731,1.25,-0.049999999999998934,0.5137205836495702,1.2275303748188218,0.8016902132667347,4.480210385207961,1776465753,,False,1,ada18_00016,2026-04-17_23-42-33,15.547974109649658,15.547974109649658,1242288,cnl-brain9,155.198.99.250,15.547974109649658,1,0.25,ada18_00016
17,1.0,1.0,37.62,0.009883537860397862,1.25,-0.049999999999998934,0.5291618712192108,1.2161972893073316,0.7976467949562198,4.406943908999676,1776465753,,False,1,ada18_00017,2026-04-17_23-42-33,15.013283491134644,15.013283491134644,1242297,cnl-brain9,155.198.99.250,15.013283491134644,1,0.2625,ada18_00017
18,1.0,1.0,36.03,0.01730381340367204,1.25,-0.049999999999998934,0.546201520426211,1.1721052452864555,0.7938652767976645,4.321112027957894,1776465752,,False,1,ada18_00018,2026-04-17_23-42-32,14.358110904693604,14.358110904693604,1242300,cnl-brain9,155.198.99.250,14.358110904693604,1,0.275,ada18_00018
19,1.0,1.0,34.53,0.01698093991391314,1.25,-0.049999999999998934,0.5611261575090936,1.1652739681547486,0.7903289417727737,4.318332398301682,1776465751,,False,1,ada18_00019,2026-04-17_23-42-31,13.905293464660645,13.905293464660645,1242315,cnl-brain9,155.198.99.250,13.905293464660645,1,0.28750000000000003,ada18_00019
20,1.0,1.0,33.18,0.01864627586835166,1.25,-0.049999999999998934,0.5765183122425617,1.1512994037391964,0.7870217359342019,4.158322812268604,1776465751,,False,1,ada18_00020,2026-04-17_23-42-31,13.442853212356567,13.442853212356567,1242302,cnl-brain9,155.198.99.250,13.442853212356567,1,0.3,ada18_00020
21,1.0,1.0,31.86,0.01948212858976328,1.25,-0.049999999999998934,0.590934990809568,1.1417344198928405,0.783927709304471,4.090978687994856,1776465751,,False,1,ada18_00021,2026-04-17_23-42-31,12.995793342590332,12.995793342590332,1242318,cnl-brain9,155.198.99.250,12.995793342590332,1,0.3125,ada18_00021
22,1.0,1.0,30.72,0.02290672106695313,1.25,-0.049999999999998934,0.6091036606885525,1.124219956724392,0.7810344602005297,4.051266890369064,1776465750,,False,1,ada18_00022,2026-04-17_23-42-30,12.076777458190918,12.076777458190918,1242296,cnl-brain9,155.198.99.250,12.076777458190918,1,0.325,ada18_00022
23,1.0,1.0,29.64,0.024744889254395108,1.25,-0.049999999999998934,0.6282358742216911,1.1135332330443615,0.7783240256190126,4.007677349644368,1776465749,,False,1,ada18_00023,2026-04-17_23-42-29,11.783223867416382,11.783223867416382,1242305,cnl-brain9,155.198.99.250,11.783223867416382,1,0.3375,ada18_00023
24,1.0,1.0,28.62,0.025574754809374323,1.25,-0.049999999999998934,0.6459377196370095,1.1068633494925109,0.7757810908452255,3.921809605369446,1776465749,,False,1,ada18_00024,2026-04-17_23-42-29,11.439452409744263,11.439452409744263,1242323,cnl-brain9,155.198.99.250,11.439452409744263,1,0.35000000000000003,ada18_00024
25,1.0,1.0,27.72,0.026366770454955724,1.25,-0.049999999999998934,0.6640645958693545,1.1008438021714524,0.7733966430993526,3.915444184521104,1776465749,,False,1,ada18_00025,2026-04-17_23-42-29,11.052829027175903,11.052829027175903,1242291,cnl-brain9,155.198.99.250,11.052829027175903,1,0.3625,ada18_00025
26,1.0,1.0,26.79,0.03091820105421661,1.25,-0.049999999999998934,0.6834837225132588,1.0851359202747815,0.7711437150142018,3.849690367933325,1776465748,,False,1,ada18_00026,2026-04-17_23-42-28,10.67951488494873,10.67951488494873,1242299,cnl-brain9,155.198.99.250,10.67951488494873,1,0.375,ada18_00026
27,1.0,1.0,25.95,0.02973951645217232,1.25,-0.049999999999998934,0.6994534115255102,1.0855852702422033,0.7690354633632777,3.946909505182992,1776465748,,False,1,ada18_00027,2026-04-17_23-42-28,10.074333190917969,10.074333190917969,1242301,cnl-brain9,155.198.99.250,10.074333190917969,1,0.3875,ada18_00027
28,1.0,1.0,25.23,0.031835624991795264,1.25,-0.049999999999998934,0.7173176618031354,1.0778682779342341,0.7670393150865409,3.83114193437492,1776465748,,False,1,ada18_00028,2026-04-17_23-42-28,10.23689603805542,10.23689603805542,1242326,cnl-brain9,155.198.99.250,10.23689603805542,1,0.4,ada18_00028
29,1.0,1.0,191.07,-0.024599483104673414,1.0,-0.049999999999998934,0.24103472438581308,1.3208607779784196,0.8327103177819304,4.206220609391195,1776465808,,False,1,ada18_00029,2026-04-17_23-43-28,70.83715963363647,70.83715963363647,1242321,cnl-brain9,155.198.99.250,70.83715963363647,1,0.05,ada18_00029
