,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_moved,logdir
0,2.0,2.0,39.39000000000073,0.0006401352311526942,1.25,2.45,0.47123128873350506,1.8454563832590614,1750337655,,False,1,71305_00000,2025-06-19_13-54-15,21.640334606170654,21.640334606170654,1070934,cnl-brain9,155.198.99.250,21.640334606170654,1,-3.6,71305_00000
1,2.0,2.0,39.420000000000734,0.005046793078216982,1.25,2.45,0.40829214316913376,1.4582885989496643,1750337653,,False,1,71305_00001,2025-06-19_13-54-13,20.445683002471924,20.445683002471924,1070967,cnl-brain9,155.198.99.250,20.445683002471924,1,-3.5,71305_00001
2,2.0,2.0,39.480000000000736,0.0035252101919525103,1.25,2.5500000000000003,-5.106216434304471,1.2242401809556012,1750337656,,False,1,71305_00002,2025-06-19_13-54-16,23.071621656417847,23.071621656417847,1070968,cnl-brain9,155.198.99.250,23.071621656417847,1,-3.4,71305_00002
3,2.0,2.0,39.450000000000735,0.006294824453615622,1.25,2.6500000000000004,2.3671187139410965,0.9700332056548583,1750337654,,False,1,71305_00003,2025-06-19_13-54-14,21.024837255477905,21.024837255477905,1070972,cnl-brain9,155.198.99.250,21.024837255477905,1,-3.3,71305_00003
4,2.0,2.0,39.420000000000734,0.004069312176694151,1.25,2.7500000000000004,0.5044820365561455,0.9665155254474977,1750337656,,False,1,71305_00004,2025-06-19_13-54-16,22.962717056274414,22.962717056274414,1070975,cnl-brain9,155.198.99.250,22.962717056274414,1,-3.2,71305_00004
5,2.0,2.0,39.420000000000734,0.003790142570317734,1.25,2.8500000000000005,0.5139699687758114,0.9440854681651819,1750337654,,False,1,71305_00005,2025-06-19_13-54-14,20.776188611984253,20.776188611984253,1070980,cnl-brain9,155.198.99.250,20.776188611984253,1,-3.1,71305_00005
6,2.0,2.0,39.39000000000073,0.0039261781773949345,1.25,2.9500000000000006,0.5177386229603081,0.9694241987003063,1750337657,,False,1,71305_00006,2025-06-19_13-54-17,23.7607102394104,23.7607102394104,1070984,cnl-brain9,155.198.99.250,23.7607102394104,1,-3.0,71305_00006
7,2.0,2.0,39.420000000000734,0.003165818951950339,1.25,-2.9499999999999993,0.5240025973125191,0.9576030087576696,1750337654,,False,1,71305_00007,2025-06-19_13-54-14,20.815983772277832,20.815983772277832,1070983,cnl-brain9,155.198.99.250,20.815983772277832,1,-2.9,71305_00007
8,2.0,2.0,39.420000000000734,0.0014838387732161173,1.25,-0.049999999999998934,0.5312706783099723,1.2392528946885875,1750337652,,False,1,71305_00008,2025-06-19_13-54-12,19.54845690727234,19.54845690727234,1070982,cnl-brain9,155.198.99.250,19.54845690727234,1,-2.8,71305_00008
9,2.0,2.0,39.36000000000073,0.002234605150276181,1.25,-0.049999999999998934,0.5345007499253178,1.232830002434992,1750337656,,False,1,71305_00009,2025-06-19_13-54-16,22.96316885948181,22.96316885948181,1070981,cnl-brain9,155.198.99.250,22.96316885948181,1,-2.7,71305_00009
