,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_shift,logdir
0,2.0,2.0,39.39000000000073,0.0035977639256703497,1.25,2.45,0.506400720011027,1.8663333341571247,1759199986,,False,1,aacea_00000,2025-09-30_03-39-46,22.167591094970703,22.167591094970703,3978023,cnl-brain9,155.198.99.250,22.167591094970703,1,-3.6,aacea_00000
1,2.0,2.0,39.36000000000073,0.001601876773543509,1.25,2.45,0.40884949210288823,1.45742003928879,1759199988,,False,1,aacea_00001,2025-09-30_03-39-48,23.898317098617554,23.898317098617554,3978144,cnl-brain9,155.198.99.250,23.898317098617554,1,-3.5,aacea_00001
2,2.0,2.0,39.420000000000734,0.006059227508958376,1.25,2.5500000000000003,0.4300884463615398,1.2036812208305887,1759199987,,False,1,aacea_00002,2025-09-30_03-39-47,23.611127614974976,23.611127614974976,3978249,cnl-brain9,155.198.99.250,23.611127614974976,1,-3.4,aacea_00002
3,2.0,2.0,39.420000000000734,0.005109936317787334,1.25,2.6500000000000004,0.48118847171142987,0.9467297139440407,1759199987,,False,1,aacea_00003,2025-09-30_03-39-47,22.374635934829712,22.374635934829712,3978797,cnl-brain9,155.198.99.250,22.374635934829712,1,-3.3,aacea_00003
4,2.0,2.0,39.420000000000734,0.0025128864106154225,1.25,2.7500000000000004,0.5049602714833243,0.9738250168382808,1759199985,,False,1,aacea_00004,2025-09-30_03-39-45,21.445324897766113,21.445324897766113,3978799,cnl-brain9,155.198.99.250,21.445324897766113,1,-3.2,aacea_00004
5,2.0,2.0,39.39000000000073,0.0038398035326330238,1.25,2.8500000000000005,0.5126820968443725,0.9625424341424482,1759199985,,False,1,aacea_00005,2025-09-30_03-39-45,20.553471088409424,20.553471088409424,3978798,cnl-brain9,155.198.99.250,20.553471088409424,1,-3.1,aacea_00005
6,2.0,2.0,39.480000000000736,0.003302046680122128,1.25,2.9500000000000006,0.5184919122309981,0.9551650236563164,1759199990,,False,1,aacea_00006,2025-09-30_03-39-50,25.46558117866516,25.46558117866516,3978800,cnl-brain9,155.198.99.250,25.46558117866516,1,-3.0,aacea_00006
7,2.0,2.0,39.420000000000734,0.006486948055515196,1.25,-2.9499999999999993,0.5230406682024933,0.9696565530893754,1759199989,,False,1,aacea_00007,2025-09-30_03-39-49,24.77234721183777,24.77234721183777,3978801,cnl-brain9,155.198.99.250,24.77234721183777,1,-2.9,aacea_00007
8,2.0,2.0,39.420000000000734,0.004773825952420374,1.25,-0.049999999999998934,0.5322099387324446,1.2220433602431844,1759199990,,False,1,aacea_00008,2025-09-30_03-39-50,25.933270931243896,25.933270931243896,3978802,cnl-brain9,155.198.99.250,25.933270931243896,1,-2.8,aacea_00008
9,2.0,2.0,39.420000000000734,0.0027479581080380733,1.25,-0.049999999999998934,0.5346098985800398,1.2302753743097292,1759199988,,False,1,aacea_00009,2025-09-30_03-39-48,23.736587047576904,23.736587047576904,3978803,cnl-brain9,155.198.99.250,23.736587047576904,1,-2.7,aacea_00009
10,2.0,2.0,39.36000000000073,0.0030818389908997545,1.25,-0.049999999999998934,0.5378467655638164,1.2257910382048396,1759199986,,False,1,aacea_00010,2025-09-30_03-39-46,21.72899866104126,21.72899866104126,3978804,cnl-brain9,155.198.99.250,21.72899866104126,1,-2.6,aacea_00010
11,2.0,2.0,39.36000000000073,0.0005168447077537053,1.25,-0.049999999999998934,0.5402335182767644,1.2366110119078173,1759199990,,False,1,aacea_00011,2025-09-30_03-39-50,26.372564554214478,26.372564554214478,3978805,cnl-brain9,155.198.99.250,26.372564554214478,1,-2.5,aacea_00011
12,2.0,2.0,39.420000000000734,0.001968210598703113,1.25,-0.049999999999998934,0.5436338191689716,1.2261664291632424,1759199988,,False,1,aacea_00012,2025-09-30_03-39-48,23.93844199180603,23.93844199180603,3978806,cnl-brain9,155.198.99.250,23.93844199180603,1,-2.4,aacea_00012
13,2.0,2.0,39.450000000000735,0.003169668419438665,1.25,-0.049999999999998934,0.546611367308131,1.2167582821650997,1759199989,,False,1,aacea_00013,2025-09-30_03-39-49,25.035967588424683,25.035967588424683,3978807,cnl-brain9,155.198.99.250,25.035967588424683,1,-2.3,aacea_00013
14,2.0,2.0,39.450000000000735,0.007519167839607821,1.25,-0.049999999999998934,0.5498315205620781,1.1910317394700334,1759199986,,False,1,aacea_00014,2025-09-30_03-39-46,21.96676516532898,21.96676516532898,3978808,cnl-brain9,155.198.99.250,21.96676516532898,1,-2.2,aacea_00014
15,2.0,2.0,39.420000000000734,0.003508264672975603,1.25,-0.049999999999998934,0.5498214576949234,1.2077115737372879,1759199989,,False,1,aacea_00015,2025-09-30_03-39-49,24.393415927886963,24.393415927886963,3978809,cnl-brain9,155.198.99.250,24.393415927886963,1,-2.1,aacea_00015
16,2.0,2.0,39.420000000000734,0.0029392392220932706,1.25,-0.049999999999998934,0.5498378429630444,1.2060987551674482,1759199989,,False,1,aacea_00016,2025-09-30_03-39-49,25.17376399040222,25.17376399040222,3978810,cnl-brain9,155.198.99.250,25.17376399040222,1,-2.0,aacea_00016
17,2.0,2.0,39.420000000000734,0.001202421633886619,1.25,-0.049999999999998934,0.5477062590338697,1.2094545938738126,1759199988,,False,1,aacea_00017,2025-09-30_03-39-48,23.80614399909973,23.80614399909973,3978811,cnl-brain9,155.198.99.250,23.80614399909973,1,-1.9,aacea_00017
18,2.0,2.0,39.480000000000736,0.007077189637443748,1.25,-0.049999999999998934,0.5462224352298528,1.173350833986606,1759199985,,False,1,aacea_00018,2025-09-30_03-39-45,21.121793270111084,21.121793270111084,3978812,cnl-brain9,155.198.99.250,21.121793270111084,1,-1.8,aacea_00018
