,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
0,1.0,1.0,149.85,-0.0194101467554737,1.25,-0.049999999999998934,0.2746324868588226,1.974535766054209,0.8424411228133488,4.56124218921364,1776466200,,False,1,a0ccd_00000,2026-04-17_23-50-00,56.1412558555603,56.1412558555603,1282031,cnl-brain9,155.198.99.250,56.1412558555603,1,0.05,a0ccd_00000
1,1.0,1.0,132.96,-0.0075042269600564815,1.25,-0.049999999999998934,0.34887751467935546,2.2423401394550524,0.8343097978390189,4.755482945582688,1776466193,,False,1,a0ccd_00001,2026-04-17_23-49-53,49.10226082801819,49.10226082801819,1282032,cnl-brain9,155.198.99.250,49.10226082801819,1,0.0625,a0ccd_00001
2,1.0,1.0,117.12,-0.02118345652948017,1.25,-0.049999999999998934,0.27530760112547403,1.8514527134532703,0.8675322146007833,4.813186766483979,1776466188,,False,1,a0ccd_00002,2026-04-17_23-49-48,43.753169298172,43.753169298172,1282034,cnl-brain9,155.198.99.250,43.753169298172,1,0.07500000000000001,a0ccd_00002
3,1.0,1.0,104.07,-0.007587146164748315,1.0,-0.049999999999998934,0.318918613936789,2.0702369237166436,0.8368358940694286,4.750981187183154,1776466184,,False,1,a0ccd_00003,2026-04-17_23-49-44,40.427117109298706,40.427117109298706,1282036,cnl-brain9,155.198.99.250,40.427117109298706,1,0.08750000000000001,a0ccd_00003
4,1.0,1.0,102.87,-0.00448332231554982,1.25,-0.049999999999998934,0.3078416661910164,2.27008035448295,0.8472770127788669,5.17705341958844,1776466177,,False,1,a0ccd_00004,2026-04-17_23-49-37,33.18314075469971,33.18314075469971,1282035,cnl-brain9,155.198.99.250,33.18314075469971,1,0.1,a0ccd_00004
5,1.0,1.0,79.83,-0.009932616644608316,1.25,-0.049999999999998934,0.339119060594836,1.6883230256980637,0.8608104745643587,5.392052389918221,1776466175,,False,1,a0ccd_00005,2026-04-17_23-49-35,31.09377145767212,31.09377145767212,1282033,cnl-brain9,155.198.99.250,31.09377145767212,1,0.1125,a0ccd_00005
6,1.0,1.0,73.29,-0.015443948264296292,1.25,-0.049999999999998934,0.3154173260451132,1.972107800393041,0.8688570920662514,5.216666910552443,1776466174,,False,1,a0ccd_00006,2026-04-17_23-49-34,29.64140748977661,29.64140748977661,1282041,cnl-brain9,155.198.99.250,29.64140748977661,1,0.125,a0ccd_00006
7,1.0,1.0,75.03,0.004840720908690255,1.25,-0.049999999999998934,0.4761541347186493,1.5928831151831633,0.824469197694008,4.834254119721286,1776466171,,False,1,a0ccd_00007,2026-04-17_23-49-31,26.34183669090271,26.34183669090271,1282043,cnl-brain9,155.198.99.250,26.34183669090271,1,0.1375,a0ccd_00007
8,1.0,1.0,62.61,-0.014521336826488263,1.0,-0.049999999999998934,0.34024611098380086,1.966860560163647,0.8531131835429788,5.106515854414222,1776466168,,False,1,a0ccd_00008,2026-04-17_23-49-28,23.444660663604736,23.444660663604736,1282039,cnl-brain9,155.198.99.250,23.444660663604736,1,0.15000000000000002,a0ccd_00008
9,1.0,1.0,60.42,-0.014076473141838797,1.25,-0.049999999999998934,0.3364061187066052,1.5283931695006043,0.8667381577407464,5.59606193664694,1776466166,,False,1,a0ccd_00009,2026-04-17_23-49-26,22.2454252243042,22.2454252243042,1282040,cnl-brain9,155.198.99.250,22.2454252243042,1,0.1625,a0ccd_00009
10,1.0,1.0,55.08,0.00191039577121499,1.25,-0.049999999999998934,0.4513856678695176,1.4647315583190461,0.8216668575470759,4.812949907668626,1776466164,,False,1,a0ccd_00010,2026-04-17_23-49-24,20.310122966766357,20.310122966766357,1282037,cnl-brain9,155.198.99.250,20.310122966766357,1,0.175,a0ccd_00010
11,1.0,1.0,50.61,-0.0009666669816823514,1.25,-0.049999999999998934,0.37681684004924376,1.332323439316766,0.8422154169935065,5.233917955656019,1776466163,,False,1,a0ccd_00011,2026-04-17_23-49-23,19.136573791503906,19.136573791503906,1282038,cnl-brain9,155.198.99.250,19.136573791503906,1,0.1875,a0ccd_00011
12,1.0,1.0,50.19,0.004133183382192929,1.25,-0.049999999999998934,0.4371408888669719,1.3250625585125737,0.8268104873277708,4.884796178457591,1776466163,,False,1,a0ccd_00012,2026-04-17_23-49-23,19.057440280914307,19.057440280914307,1282046,cnl-brain9,155.198.99.250,19.057440280914307,1,0.2,a0ccd_00012
13,1.0,1.0,46.53,0.012136235001175777,1.25,-0.049999999999998934,0.51280975947481,1.3530480041200375,0.8079174643935745,4.561871183614298,1776466162,,False,1,a0ccd_00013,2026-04-17_23-49-22,17.961621522903442,17.961621522903442,1282042,cnl-brain9,155.198.99.250,17.961621522903442,1,0.21250000000000002,a0ccd_00013
14,1.0,1.0,42.12,-0.001973332646078685,1.25,-0.049999999999998934,0.41753500269187294,1.2537183701812018,0.8278016906310447,4.953844025194084,1776466161,,False,1,a0ccd_00014,2026-04-17_23-49-21,17.12870454788208,17.12870454788208,1282045,cnl-brain9,155.198.99.250,17.12870454788208,1,0.22500000000000003,a0ccd_00014
