,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
0,1,1,5.139999999999978,1.5872796620301666,0.022220885262303036,0.08624999999999994,1701366765,,False,1,3fd1b_00000,2023-11-30_17-52-45,1.7900919914245605,1.7900919914245605,108249,cnl-brain9,155.198.99.250,1.7900919914245605,1,34,1.2,0.5,3fd1b_00000
1,1,1,5.07999999999998,1.5720652195834577,0.020461138619358943,0.08624999999999994,1701366765,,False,1,3fd1b_00001,2023-11-30_17-52-45,1.9726872444152832,1.9726872444152832,108250,cnl-brain9,155.198.99.250,1.9726872444152832,1,33,1.2,0.5,3fd1b_00001
2,1,1,5.379999999999973,1.5002996576679273,0.016537713990548042,0.08624999999999994,1701366764,,False,1,3fd1b_00002,2023-11-30_17-52-44,1.417936086654663,1.417936086654663,108251,cnl-brain9,155.198.99.250,1.417936086654663,1,32,1.2,0.5,3fd1b_00002
3,1,1,5.219999999999977,1.4307651560251329,0.01533974240347069,0.08624999999999994,1701366765,,False,1,3fd1b_00003,2023-11-30_17-52-45,1.9894797801971436,1.9894797801971436,108267,cnl-brain9,155.198.99.250,1.9894797801971436,1,31,1.2,0.5,3fd1b_00003
4,1,1,5.219999999999977,1.544012196848707,0.023017812457028608,0.08624999999999994,1701366765,,False,1,3fd1b_00004,2023-11-30_17-52-45,2.1476218700408936,2.1476218700408936,108301,cnl-brain9,155.198.99.250,2.1476218700408936,1,30,1.2,0.5,3fd1b_00004
5,1,1,4.8999999999999835,1.4861254388098482,0.012148581003185721,0.08624999999999994,1701366765,,False,1,3fd1b_00005,2023-11-30_17-52-45,1.993384838104248,1.993384838104248,108438,cnl-brain9,155.198.99.250,1.993384838104248,1,34,1.25,0.5,3fd1b_00005
6,1,1,5.119999999999979,1.3365489224059737,0.009471074086401021,0.08624999999999994,1701366765,,False,1,3fd1b_00006,2023-11-30_17-52-45,2.0573129653930664,2.0573129653930664,108493,cnl-brain9,155.198.99.250,2.0573129653930664,1,33,1.25,0.5,3fd1b_00006
7,1,1,5.3199999999999745,1.328533051909148,0.006691067487787361,0.08624999999999994,1701366765,,False,1,3fd1b_00007,2023-11-30_17-52-45,1.6388523578643799,1.6388523578643799,108507,cnl-brain9,155.198.99.250,1.6388523578643799,1,32,1.25,0.5,3fd1b_00007
8,1,1,5.139999999999978,1.4915290767477951,0.018961308753518535,0.08624999999999994,1701366765,,False,1,3fd1b_00008,2023-11-30_17-52-45,1.6244451999664307,1.6244451999664307,108506,cnl-brain9,155.198.99.250,1.6244451999664307,1,31,1.25,0.5,3fd1b_00008
9,1,1,5.159999999999978,1.3063454051199168,0.0025045582361429286,0.08624999999999994,1701366765,,False,1,3fd1b_00009,2023-11-30_17-52-45,1.740302562713623,1.740302562713623,108505,cnl-brain9,155.198.99.250,1.740302562713623,1,30,1.25,0.5,3fd1b_00009
10,1,1,5.159999999999978,1.634625524536959,0.02755746638462009,0.08624999999999994,1701366764,,False,1,3fd1b_00010,2023-11-30_17-52-44,1.3878159523010254,1.3878159523010254,108504,cnl-brain9,155.198.99.250,1.3878159523010254,1,34,1.3,0.5,3fd1b_00010
11,1,1,5.0399999999999805,1.5932513554828234,0.025841795775865317,0.08624999999999994,1701366764,,False,1,3fd1b_00011,2023-11-30_17-52-44,1.3733940124511719,1.3733940124511719,108503,cnl-brain9,155.198.99.250,1.3733940124511719,1,33,1.3,0.5,3fd1b_00011
12,1,1,4.979999999999982,1.5523658182695812,0.022507769628436813,0.08624999999999994,1701366764,,False,1,3fd1b_00012,2023-11-30_17-52-44,1.5902798175811768,1.5902798175811768,108508,cnl-brain9,155.198.99.250,1.5902798175811768,1,32,1.3,0.5,3fd1b_00012
13,1,1,5.1799999999999775,1.3148856994644524,0.0069852410030222245,0.08624999999999994,1701366765,,False,1,3fd1b_00013,2023-11-30_17-52-45,1.8226754665374756,1.8226754665374756,108509,cnl-brain9,155.198.99.250,1.8226754665374756,1,31,1.3,0.5,3fd1b_00013
14,1,1,5.299999999999975,1.3920576929374762,0.013242147452238617,0.08624999999999994,1701366764,,False,1,3fd1b_00014,2023-11-30_17-52-44,1.6851580142974854,1.6851580142974854,108510,cnl-brain9,155.198.99.250,1.6851580142974854,1,30,1.3,0.5,3fd1b_00014
15,1,1,5.419999999999972,1.6304685880514107,0.02508320171034306,0.08624999999999994,1701366765,,False,1,3fd1b_00015,2023-11-30_17-52-45,2.0308480262756348,2.0308480262756348,108511,cnl-brain9,155.198.99.250,2.0308480262756348,1,34,1.35,0.5,3fd1b_00015
16,1,1,5.299999999999975,1.5424714279095886,0.02189456130585188,0.08624999999999994,1701366765,,False,1,3fd1b_00016,2023-11-30_17-52-45,2.155268669128418,2.155268669128418,108512,cnl-brain9,155.198.99.250,2.155268669128418,1,33,1.35,0.5,3fd1b_00016
17,1,1,5.1799999999999775,1.2674390044472759,0.0019573335048065355,0.08624999999999994,1701366765,,False,1,3fd1b_00017,2023-11-30_17-52-45,1.979835033416748,1.979835033416748,108513,cnl-brain9,155.198.99.250,1.979835033416748,1,32,1.35,0.5,3fd1b_00017
18,1,1,5.199999999999977,1.351584589885598,0.012356179253554256,0.08624999999999994,1701366765,,False,1,3fd1b_00018,2023-11-30_17-52-45,1.9352161884307861,1.9352161884307861,108514,cnl-brain9,155.198.99.250,1.9352161884307861,1,31,1.35,0.5,3fd1b_00018
19,1,1,4.879999999999984,1.3411809540571713,0.007953051428398306,0.08624999999999994,1701366765,,False,1,3fd1b_00019,2023-11-30_17-52-45,1.9738681316375732,1.9738681316375732,108515,cnl-brain9,155.198.99.250,1.9738681316375732,1,30,1.35,0.5,3fd1b_00019
20,1,1,4.919999999999983,1.4267082660580825,0.010416262025380929,0.08624999999999994,1701366764,,False,1,3fd1b_00020,2023-11-30_17-52-44,1.5687339305877686,1.5687339305877686,108516,cnl-brain9,155.198.99.250,1.5687339305877686,1,34,1.4,0.5,3fd1b_00020
21,1,1,4.939999999999983,1.4008555598489703,0.009796471581963506,0.08624999999999994,1701366765,,False,1,3fd1b_00021,2023-11-30_17-52-45,1.651735782623291,1.651735782623291,108517,cnl-brain9,155.198.99.250,1.651735782623291,1,33,1.4,0.5,3fd1b_00021
22,1,1,6.95999999999994,1.4618623601688783,0.016957635197587972,0.08624999999999994,1701366765,,False,1,3fd1b_00022,2023-11-30_17-52-45,1.7639892101287842,1.7639892101287842,108518,cnl-brain9,155.198.99.250,1.7639892101287842,1,32,1.4,0.5,3fd1b_00022
23,1,1,4.999999999999981,1.5113384623627493,0.018082836070348107,0.08624999999999994,1701366764,,False,1,3fd1b_00023,2023-11-30_17-52-44,1.466221570968628,1.466221570968628,108519,cnl-brain9,155.198.99.250,1.466221570968628,1,31,1.4,0.5,3fd1b_00023
24,1,1,4.979999999999982,1.4311767521779357,0.012076705829944578,0.08624999999999994,1701366765,,False,1,3fd1b_00024,2023-11-30_17-52-45,1.815701961517334,1.815701961517334,108520,cnl-brain9,155.198.99.250,1.815701961517334,1,30,1.4,0.5,3fd1b_00024
