,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
0,9,12,8,8,9,5,5.299999999999975,23.659999999999584,43.58000000000121,0.8172374275979788,1.187593330512089,1.4042686462871923,0.01137443110136993,0.014314547044338877,-0.17185362101757828,0.5237499999999999,-0.10125000000000006,-0.22625000000000006,1701369299,,False,1,238c3_00000,2023-11-30_18-34-59,5.96561336517334,5.96561336517334,234780,cnl-brain9,155.198.99.250,5.96561336517334,1,20.0,1.0,0.3,238c3_00000
1,12,21,18,11,11,4,5.019999999999981,22.839999999999602,42.80000000000109,0.6437441533069324,1.097173320007186,1.1029001745629339,0.014159648021012439,0.008943864636079879,-0.13221492038737193,0.5862499999999999,-0.10125000000000006,0.33624999999999994,1701369299,,False,1,238c3_00001,2023-11-30_18-34-59,6.3886401653289795,6.3886401653289795,234781,cnl-brain9,155.198.99.250,6.3886401653289795,1,21.428571428571427,1.0,0.3,238c3_00001
2,9,11,8,8,8,7,4.979999999999982,24.499999999999567,42.640000000001066,0.5642040651522867,0.9255957044915876,1.7488285942477375,-0.0015177249699590556,-0.011458052467091306,-0.12121401646217189,0.5862499999999999,-0.03875000000000006,-0.22625000000000006,1701369299,,False,1,238c3_00002,2023-11-30_18-34-59,6.163249969482422,6.163249969482422,234806,cnl-brain9,155.198.99.250,6.163249969482422,1,22.857142857142858,1.0,0.3,238c3_00002
3,9,11,12,9,9,7,5.199999999999977,24.079999999999576,42.500000000001044,0.5835584235326062,1.0930030715584087,1.885484250384548,0.02082993237785602,-0.0075650401258327005,-0.10133079095281261,0.5862499999999999,-0.03875000000000006,-0.22625000000000006,1701369299,,False,1,238c3_00003,2023-11-30_18-34-59,6.16988205909729,6.16988205909729,234896,cnl-brain9,155.198.99.250,6.16988205909729,1,24.285714285714285,1.0,0.3,238c3_00003
4,12,21,19,10,12,4,4.859999999999984,22.679999999999605,42.760000000001085,0.7443557044547944,0.8332990017915258,1.2734654772746983,0.01007620425181377,-0.020231017050407862,-0.1794478269756853,0.5862499999999999,-0.10125000000000006,0.39874999999999994,1701369298,,False,1,238c3_00004,2023-11-30_18-34-58,5.409374475479126,5.409374475479126,234984,cnl-brain9,155.198.99.250,5.409374475479126,1,25.714285714285715,1.0,0.3,238c3_00004
5,9,13,16,9,9,8,5.239999999999976,24.099999999999575,44.08000000000129,0.6096218191224284,1.4630217848210019,1.9786908413900357,0.01773802478451958,0.022986838088185357,-0.1208903743255374,0.5862499999999999,-0.10125000000000006,-0.22625000000000006,1701369298,,False,1,238c3_00005,2023-11-30_18-34-58,5.406777381896973,5.406777381896973,234985,cnl-brain9,155.198.99.250,5.406777381896973,1,27.142857142857142,1.0,0.3,238c3_00005
6,12,19,19,11,11,3,5.119999999999979,24.37999999999957,42.760000000001085,0.8067532540255422,0.9072837929567432,1.229772093722223,0.01470024556691052,0.004480550717536835,-0.1439524550077883,0.5862499999999999,0.39874999999999994,0.39874999999999994,1701369299,,False,1,238c3_00006,2023-11-30_18-34-59,6.175231218338013,6.175231218338013,234993,cnl-brain9,155.198.99.250,6.175231218338013,1,28.57142857142857,1.0,0.3,238c3_00006
7,13,20,20,11,13,8,5.019999999999981,22.819999999999602,42.94000000000111,0.6299772739558622,1.4524140215852233,1.2807122819703767,0.014689171190586992,0.027335399692822504,-0.1937341853405724,0.6487499999999999,-0.16375000000000006,-0.28875000000000006,1701369299,,False,1,238c3_00007,2023-11-30_18-34-59,6.267240524291992,6.267240524291992,234992,cnl-brain9,155.198.99.250,6.267240524291992,1,30.0,1.0,0.3,238c3_00007
8,11,19,17,9,12,4,5.379999999999973,23.81999999999958,43.94000000000127,0.8863728071097852,0.7285570351380174,1.1640628799124577,0.025162296600541922,0.010867212275306737,-0.19718339870503387,0.5862499999999999,0.39874999999999994,-0.22625000000000006,1701369298,,False,1,238c3_00008,2023-11-30_18-34-58,5.162313938140869,5.162313938140869,234991,cnl-brain9,155.198.99.250,5.162313938140869,1,31.42857142857143,1.0,0.3,238c3_00008
9,12,20,18,11,12,3,5.0399999999999805,24.27999999999957,42.34000000000102,0.8203282846731306,0.8467345397979673,0.5793861335134733,0.008635522517394967,-0.01347783132113134,-0.18629377809608572,0.5862499999999999,0.39874999999999994,0.46124999999999994,1701369299,,False,1,238c3_00009,2023-11-30_18-34-59,6.268378496170044,6.268378496170044,234990,cnl-brain9,155.198.99.250,6.268378496170044,1,32.85714285714286,1.0,0.3,238c3_00009
