,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
0,9,12,10,8,9,8,4.959999999999982,22.8799999999996,42.78000000000109,0.6125398848196268,0.9563190812351211,1.4645285392875729,0.022739989133904737,0.012772889059584736,-0.1152363537813359,0.5862499999999999,-0.03875000000000006,-0.22625000000000006,1701371961,,False,1,56dfe_00000,2023-11-30_19-19-21,5.653210401535034,5.653210401535034,284796,cnl-brain9,155.198.99.250,5.653210401535034,1,20.0,1.0,0.3,56dfe_00000
1,9,12,14,9,7,5,5.219999999999977,24.039999999999576,43.90000000000126,0.5242794306782688,1.0357643195771142,2.265373941943225,0.021693305850228883,0.006784994095010988,-0.11869619012279065,0.5862499999999999,-0.03875000000000006,-0.22625000000000006,1701371961,,False,1,56dfe_00001,2023-11-30_19-19-21,5.779850959777832,5.779850959777832,284797,cnl-brain9,155.198.99.250,5.779850959777832,1,21.428571428571427,1.0,0.3,56dfe_00001
2,11,19,16,11,13,5,4.979999999999982,24.439999999999568,42.640000000001066,0.9005471684748294,1.306930691686993,1.9313453084052712,0.005053296195979051,-0.005827372953053689,-0.13426653158290347,0.5237499999999999,-0.10125000000000006,-0.22625000000000006,1701371960,,False,1,56dfe_00002,2023-11-30_19-19-20,4.276970148086548,4.276970148086548,284798,cnl-brain9,155.198.99.250,4.276970148086548,1,22.857142857142858,1.0,0.3,56dfe_00002
3,13,12,13,12,8,5,5.199999999999977,23.059999999999597,43.54000000000121,0.7947531944157008,1.568015545634873,2.0552921260914667,0.00035940936713818594,0.02547025667122904,-0.0541668309292046,0.5862499999999999,-0.03875000000000006,-0.16375000000000006,1701371961,,False,1,56dfe_00003,2023-11-30_19-19-21,5.105779409408569,5.105779409408569,284799,cnl-brain9,155.198.99.250,5.105779409408569,1,24.285714285714285,1.0,0.3,56dfe_00003
4,10,12,9,9,10,7,4.999999999999981,22.759999999999604,42.34000000000102,0.5382822029657031,1.7577502809516734,1.5513353770114804,0.022558555475399533,-0.010544613290511706,-0.19362674410348535,0.5862499999999999,-0.16375000000000006,-0.22625000000000006,1701371962,,False,1,56dfe_00004,2023-11-30_19-19-22,6.209519386291504,6.209519386291504,284800,cnl-brain9,155.198.99.250,6.209519386291504,1,25.714285714285715,1.0,0.3,56dfe_00004
5,12,12,11,11,10,5,5.159999999999978,24.479999999999567,45.52000000000152,0.7666637176335342,1.3226867186206424,0.7868360130941165,0.021235112286719704,-0.0003616004335273981,0.6638127588918425,0.5862499999999999,-0.22625000000000006,-0.03875000000000006,1701371962,,False,1,56dfe_00005,2023-11-30_19-19-22,6.003862380981445,6.003862380981445,286699,cnl-brain9,155.198.99.250,6.003862380981445,1,27.142857142857142,1.0,0.3,56dfe_00005
6,9,11,12,9,8,8,5.07999999999998,24.079999999999576,42.760000000001085,0.9038987564099185,1.3828821475669262,2.401693999715531,0.020061170237630876,0.020906098638087123,-0.051840145496906076,0.5862499999999999,-0.03875000000000006,-0.22625000000000006,1701371961,,False,1,56dfe_00006,2023-11-30_19-19-21,4.897134304046631,4.897134304046631,286698,cnl-brain9,155.198.99.250,4.897134304046631,1,28.57142857142857,1.0,0.3,56dfe_00006
7,12,19,19,12,12,4,5.159999999999978,24.459999999999567,42.440000000001035,0.782277789841118,0.8787765606687505,0.6091540264193392,0.015538496041799577,0.003728189716735497,-0.18047095706940341,0.5862499999999999,0.39874999999999994,0.46124999999999994,1701371960,,False,1,56dfe_00007,2023-11-30_19-19-20,4.539571285247803,4.539571285247803,286697,cnl-brain9,155.198.99.250,4.539571285247803,1,30.0,1.0,0.3,56dfe_00007
8,9,11,15,8,8,5,4.779999999999986,24.939999999999557,44.44000000000135,0.5338900561744074,1.2276592180708596,1.5756302601999401,0.006078382242526326,0.5243551166601346,-0.04800461823735802,0.6487499999999999,-0.03875000000000006,-0.16375000000000006,1701371962,,False,1,56dfe_00008,2023-11-30_19-19-22,6.357012748718262,6.357012748718262,286696,cnl-brain9,155.198.99.250,6.357012748718262,1,31.42857142857143,1.0,0.3,56dfe_00008
9,13,12,10,10,11,5,5.019999999999981,24.41999999999957,45.52000000000152,0.6964618854183923,1.6640872075035043,0.9782768372568279,0.007881985585768914,0.0022036839845163136,0.658499690982075,0.5862499999999999,-0.28875000000000006,-0.28875000000000006,1701371962,,False,1,56dfe_00009,2023-11-30_19-19-22,5.828283309936523,5.828283309936523,286695,cnl-brain9,155.198.99.250,5.828283309936523,1,32.85714285714286,1.0,0.3,56dfe_00009
