,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
0,1,2,0,1,2,0,4.999999999999981,24.519999999999566,,1.3084845730139467,1.2134704942442096,1.2134704942442096,0.01912160833777432,-0.020912568405352605,,0.08624999999999994,-0.03875000000000006,-0.03875000000000006,1701705299,,False,1,5c4fa_00000,2023-12-04_15-54-59,23.07649827003479,23.07649827003479,499161,cnl-brain9,155.198.99.250,23.07649827003479,1,20.0,1.0,0.5,5c4fa_00000
1,1,2,0,1,2,0,4.919999999999983,24.559999999999565,,1.3426259770851756,1.2352553674060216,1.2352553674060216,0.01308560230951683,-0.029545387324704797,,0.08624999999999994,-0.03875000000000006,-0.03875000000000006,1701705291,,False,1,5c4fa_00001,2023-12-04_15-54-51,19.556076288223267,19.556076288223267,499162,cnl-brain9,155.198.99.250,19.556076288223267,1,23.0,1.0,0.5,5c4fa_00001
2,1,2,0,1,2,0,4.939999999999983,24.27999999999957,,1.4524370389098475,0.6829080825868944,0.6829080825868944,0.020997867045855045,-0.04768267750943711,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705296,,False,1,5c4fa_00002,2023-12-04_15-54-56,13.181670665740967,13.181670665740967,499163,cnl-brain9,155.198.99.250,13.181670665740967,1,26.0,1.0,0.5,5c4fa_00002
3,1,2,0,1,2,0,4.8999999999999835,24.459999999999567,,1.3701083262317124,1.1902554441455897,1.1902554441455897,0.011155097875892528,-0.046717216503395886,,0.08624999999999994,-0.03875000000000006,-0.03875000000000006,1701705287,,False,1,5c4fa_00003,2023-12-04_15-54-47,12.618393659591675,12.618393659591675,499164,cnl-brain9,155.198.99.250,12.618393659591675,1,29.0,1.0,0.5,5c4fa_00003
4,1,2,0,1,2,0,4.999999999999981,24.33999999999957,,1.4409894855717726,1.2509748746112328,1.2509748746112328,0.01539726760632465,-0.03258870748861342,,0.08624999999999994,-0.03875000000000006,-0.03875000000000006,1701705302,,False,1,5c4fa_00004,2023-12-04_15-55-02,21.540529012680054,21.540529012680054,499165,cnl-brain9,155.198.99.250,21.540529012680054,1,32.0,1.0,0.5,5c4fa_00004
5,1,2,0,1,1,0,5.299999999999975,24.35999999999957,,1.2663113784692814,0.865339568369059,0.865339568369059,0.010842042184741607,-0.017645766814247676,,0.08624999999999994,0.023749999999999938,0.023749999999999938,1701705305,,False,1,5c4fa_00005,2023-12-04_15-55-05,23.410346508026123,23.410346508026123,499167,cnl-brain9,155.198.99.250,23.410346508026123,1,20.0,1.1,0.5,5c4fa_00005
6,1,1,1,1,1,1,4.799999999999986,24.899999999999558,43.38000000000118,1.3331074472241982,0.9234647474379478,0.8796494724245857,0.014224993483618165,-0.021252582108338913,0.02575177417305108,0.08624999999999994,0.08624999999999994,0.023749999999999938,1701705297,,False,1,5c4fa_00006,2023-12-04_15-54-57,18.26866126060486,18.26866126060486,499166,cnl-brain9,155.198.99.250,18.26866126060486,1,23.0,1.1,0.5,5c4fa_00006
7,1,1,0,1,1,0,4.999999999999981,24.439999999999568,,1.2826344973621515,0.9030169628516823,0.9030169628516823,0.006058319642547216,-0.043151450032032246,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705295,,False,1,5c4fa_00007,2023-12-04_15-54-55,18.237606048583984,18.237606048583984,499169,cnl-brain9,155.198.99.250,18.237606048583984,1,26.0,1.1,0.5,5c4fa_00007
8,1,1,0,1,1,0,5.159999999999978,24.119999999999575,,1.4161191822967945,0.9133748042696656,0.9133748042696656,0.015316422666783569,-0.030589938615924628,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705299,,False,1,5c4fa_00008,2023-12-04_15-54-59,23.070592403411865,23.070592403411865,499168,cnl-brain9,155.198.99.250,23.070592403411865,1,29.0,1.1,0.5,5c4fa_00008
9,1,1,0,1,1,0,5.119999999999979,24.33999999999957,,1.4209569102450104,0.9188340479693653,0.9188340479693653,0.010565222820490439,-0.040132670078866006,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705290,,False,1,5c4fa_00009,2023-12-04_15-54-50,16.687289714813232,16.687289714813232,499170,cnl-brain9,155.198.99.250,16.687289714813232,1,32.0,1.1,0.5,5c4fa_00009
