,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
0,9,8,5.239999999999976,1.1290094576350322,0.0017740089318953878,0.6331249999999999,1701701068,,False,1,9c1e1_00000,2023-12-04_14-44-28,1.5589487552642822,1.5589487552642822,405034,cnl-brain9,155.198.99.250,1.5589487552642822,1,20.0,1.0,0.3,9c1e1_00000
1,9,8,5.199999999999977,1.1409388584756186,0.012804051335648547,0.6331249999999999,1701701068,,False,1,9c1e1_00001,2023-12-04_14-44-28,1.5165531635284424,1.5165531635284424,405035,cnl-brain9,155.198.99.250,1.5165531635284424,1,21.428571428571427,1.0,0.3,9c1e1_00001
2,9,7,4.979999999999982,1.2220853232342395,-0.003317999976687025,0.6331249999999999,1701701068,,False,1,9c1e1_00002,2023-12-04_14-44-28,1.7039015293121338,1.7039015293121338,405039,cnl-brain9,155.198.99.250,1.7039015293121338,1,22.857142857142858,1.0,0.3,9c1e1_00002
3,10,7,5.019999999999981,0.9964593073873772,0.007595920931543265,-0.30437500000000006,1701701069,,False,1,9c1e1_00003,2023-12-04_14-44-29,1.9901959896087646,1.9901959896087646,405040,cnl-brain9,155.198.99.250,1.9901959896087646,1,24.285714285714285,1.0,0.3,9c1e1_00003
4,9,7,5.019999999999981,0.9313377796363183,-0.0005825188858079589,0.6643749999999999,1701701068,,False,1,9c1e1_00004,2023-12-04_14-44-28,2.0519397258758545,2.0519397258758545,405041,cnl-brain9,155.198.99.250,2.0519397258758545,1,25.714285714285715,1.0,0.3,9c1e1_00004
5,9,7,5.219999999999977,1.1549537183945944,0.009728688235552174,0.6643749999999999,1701701068,,False,1,9c1e1_00005,2023-12-04_14-44-28,1.7449989318847656,1.7449989318847656,405042,cnl-brain9,155.198.99.250,1.7449989318847656,1,27.142857142857142,1.0,0.3,9c1e1_00005
6,9,7,5.0399999999999805,0.9376397815360783,0.009497520013753147,-0.30437500000000006,1701701068,,False,1,9c1e1_00006,2023-12-04_14-44-28,1.7907421588897705,1.7907421588897705,405043,cnl-brain9,155.198.99.250,1.7907421588897705,1,28.57142857142857,1.0,0.3,9c1e1_00006
7,9,7,5.3199999999999745,0.9703991853125061,0.004701253043759235,0.6643749999999999,1701701068,,False,1,9c1e1_00007,2023-12-04_14-44-28,1.8222155570983887,1.8222155570983887,405048,cnl-brain9,155.198.99.250,1.8222155570983887,1,30.0,1.0,0.3,9c1e1_00007
8,9,7,5.139999999999978,1.0673056068712936,-0.010083492807695271,0.6643749999999999,1701701069,,False,1,9c1e1_00008,2023-12-04_14-44-29,2.0796279907226562,2.0796279907226562,405047,cnl-brain9,155.198.99.250,2.0796279907226562,1,31.42857142857143,1.0,0.3,9c1e1_00008
9,10,8,5.019999999999981,0.820599442359424,0.0028266567555479405,-0.21062500000000006,1701701068,,False,1,9c1e1_00009,2023-12-04_14-44-28,1.7302539348602295,1.7302539348602295,405046,cnl-brain9,155.198.99.250,1.7302539348602295,1,32.85714285714286,1.0,0.3,9c1e1_00009
