,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
19,0,0,,0.0,,,,1740568805,,False,1,97afd_00019,2025-02-26_11-20-05,12.872063398361206,12.872063398361206,1007892,cnl-brain9,155.198.99.250,12.872063398361206,1,0.4,125.0,5.0,97afd_00019
20,3,2,43.920000000000904,16.0,0.9369740357982641,0.012999428275618952,0.11666666666666647,1740568805,,False,1,97afd_00020,2025-02-26_11-20-05,13.24138331413269,13.24138331413269,1007893,cnl-brain9,155.198.99.250,13.24138331413269,1,0.4,150.0,0.8,97afd_00020
21,1,1,43.980000000000906,2.25,0.9489595038276175,0.009896137041360387,0.11666666666666647,1740568804,,False,1,97afd_00021,2025-02-26_11-20-04,11.7667076587677,11.7667076587677,1007894,cnl-brain9,155.198.99.250,11.7667076587677,1,0.4,150.0,1.3,97afd_00021
22,1,1,43.7400000000009,1.5,0.9935531859431842,0.003812017809568191,0.11666666666666647,1740568805,,False,1,97afd_00022,2025-02-26_11-20-05,12.900142669677734,12.900142669677734,1007895,cnl-brain9,155.198.99.250,12.900142669677734,1,0.4,150.0,1.8,97afd_00022
23,6,5,43.410000000000885,22.25,0.8625128703213719,0.003994884314065139,1.4166666666666667,1740568804,,False,1,97afd_00023,2025-02-26_11-20-04,11.448331117630005,11.448331117630005,1007896,cnl-brain9,155.198.99.250,11.448331117630005,1,0.4,150.0,3.0,97afd_00023
24,0,0,,0.0,,,,1740568803,,False,1,97afd_00024,2025-02-26_11-20-03,11.101989507675171,11.101989507675171,1007897,cnl-brain9,155.198.99.250,11.101989507675171,1,0.4,150.0,5.0,97afd_00024
25,3,1,43.7700000000009,3.75,0.9971349141402192,0.011676441727184628,0.11666666666666647,1740568805,,False,1,97afd_00025,2025-02-26_11-20-05,13.132277488708496,13.132277488708496,1007898,cnl-brain9,155.198.99.250,13.132277488708496,1,0.5,50.0,0.8,97afd_00025
26,2,1,43.32000000000088,2.25,0.9470436647799461,0.004578244915338647,0.11666666666666647,1740568805,,False,1,97afd_00026,2025-02-26_11-20-05,12.750826358795166,12.750826358795166,1007899,cnl-brain9,155.198.99.250,12.750826358795166,1,0.5,50.0,1.3,97afd_00026
27,1,1,43.650000000000894,1.75,0.9813640757858595,0.011959796226601371,0.11666666666666647,1740568805,,False,1,97afd_00027,2025-02-26_11-20-05,13.044883966445923,13.044883966445923,1007900,cnl-brain9,155.198.99.250,13.044883966445923,1,0.5,50.0,1.8,97afd_00027
28,1,1,43.59000000000089,1.0,0.9282733646792175,0.005867601379666132,0.11666666666666647,1740568805,,False,1,97afd_00028,2025-02-26_11-20-05,13.186434268951416,13.186434268951416,1007901,cnl-brain9,155.198.99.250,13.186434268951416,1,0.5,50.0,3.0,97afd_00028
29,0,0,,0.0,,,,1740568805,,False,1,97afd_00029,2025-02-26_11-20-05,13.041827201843262,13.041827201843262,1007902,cnl-brain9,155.198.99.250,13.041827201843262,1,0.5,50.0,5.0,97afd_00029
30,2,1,43.20000000000088,3.25,0.9827385336654962,0.010901465471142568,0.11666666666666647,1740568805,,False,1,97afd_00030,2025-02-26_11-20-05,13.228490829467773,13.228490829467773,1007903,cnl-brain9,155.198.99.250,13.228490829467773,1,0.5,75.0,0.8,97afd_00030
31,1,1,44.28000000000092,2.25,0.9415970107093056,0.010708342292476303,0.11666666666666647,1740568805,,False,1,97afd_00031,2025-02-26_11-20-05,12.936594009399414,12.936594009399414,1007904,cnl-brain9,155.198.99.250,12.936594009399414,1,0.5,75.0,1.3,97afd_00031
32,1,1,43.08000000000087,1.5,0.9922193853106146,0.0016340526158116209,0.11666666666666647,1740568805,,False,1,97afd_00032,2025-02-26_11-20-05,12.789764404296875,12.789764404296875,1007905,cnl-brain9,155.198.99.250,12.789764404296875,1,0.5,75.0,1.8,97afd_00032
33,1,1,42.69000000000086,1.0,0.9990171807331797,-0.012911383462662185,0.11666666666666647,1740568805,,False,1,97afd_00033,2025-02-26_11-20-05,12.931163549423218,12.931163549423218,1007906,cnl-brain9,155.198.99.250,12.931163549423218,1,0.5,75.0,3.0,97afd_00033
34,0,0,,0.0,,,,1740568805,,False,1,97afd_00034,2025-02-26_11-20-05,12.851416826248169,12.851416826248169,1007907,cnl-brain9,155.198.99.250,12.851416826248169,1,0.5,75.0,5.0,97afd_00034
35,3,1,43.8600000000009,3.25,0.9689326255607216,0.008348348800916838,0.11666666666666647,1740568805,,False,1,97afd_00035,2025-02-26_11-20-05,13.116887331008911,13.116887331008911,1007908,cnl-brain9,155.198.99.250,13.116887331008911,1,0.5,100.0,0.8,97afd_00035
36,1,1,42.96000000000087,2.25,0.9170973592602439,0.001469624986280449,0.11666666666666647,1740568805,,False,1,97afd_00036,2025-02-26_11-20-05,12.946213245391846,12.946213245391846,1007909,cnl-brain9,155.198.99.250,12.946213245391846,1,0.5,100.0,1.3,97afd_00036
37,1,1,43.920000000000904,1.5,0.9768446963520642,0.010645554079212305,0.11666666666666647,1740568805,,False,1,97afd_00037,2025-02-26_11-20-05,13.232446432113647,13.232446432113647,1007911,cnl-brain9,155.198.99.250,13.232446432113647,1,0.5,100.0,1.8,97afd_00037
38,1,1,43.710000000000896,1.0,0.9351725547454662,-0.005346414379476805,0.11666666666666647,1740568805,,False,1,97afd_00038,2025-02-26_11-20-05,12.825973749160767,12.825973749160767,1007912,cnl-brain9,155.198.99.250,12.825973749160767,1,0.5,100.0,3.0,97afd_00038
39,0,0,,0.0,,,,1740568805,,False,1,97afd_00039,2025-02-26_11-20-05,13.228074312210083,13.228074312210083,1007913,cnl-brain9,155.198.99.250,13.228074312210083,1,0.5,100.0,5.0,97afd_00039
40,2,1,43.11000000000087,3.75,0.9711517375767167,0.021601842775989866,0.11666666666666647,1740568805,,False,1,97afd_00040,2025-02-26_11-20-05,12.852983713150024,12.852983713150024,1007915,cnl-brain9,155.198.99.250,12.852983713150024,1,0.5,125.0,0.8,97afd_00040
41,1,1,44.490000000000926,2.5,0.9921599368527471,0.02262326646805035,0.11666666666666647,1740568805,,False,1,97afd_00041,2025-02-26_11-20-05,12.92819595336914,12.92819595336914,1007917,cnl-brain9,155.198.99.250,12.92819595336914,1,0.5,125.0,1.3,97afd_00041
42,1,1,43.8300000000009,1.75,0.9010122265279176,0.019008096422289178,0.11666666666666647,1740568804,,False,1,97afd_00042,2025-02-26_11-20-04,11.415459871292114,11.415459871292114,1007918,cnl-brain9,155.198.99.250,11.415459871292114,1,0.5,125.0,1.8,97afd_00042
43,1,1,115.74000000000362,1.0,0.9283848445655581,-0.005876314239285252,0.11666666666666647,1740568805,,False,1,97afd_00043,2025-02-26_11-20-05,13.15055513381958,13.15055513381958,1007920,cnl-brain9,155.198.99.250,13.15055513381958,1,0.5,125.0,3.0,97afd_00043
44,0,0,,0.0,,,,1740568805,,False,1,97afd_00044,2025-02-26_11-20-05,12.881591081619263,12.881591081619263,1007922,cnl-brain9,155.198.99.250,12.881591081619263,1,0.5,125.0,5.0,97afd_00044
45,7,3,42.27000000000084,9.5,0.9303576328558578,0.0014500289910588382,0.6166666666666665,1740568815,,False,1,97afd_00045,2025-02-26_11-20-15,12.648441791534424,12.648441791534424,1007881,cnl-brain9,155.198.99.250,12.648441791534424,1,0.5,150.0,0.8,97afd_00045
46,1,1,43.62000000000089,2.25,0.9697416189929153,0.015962255898386957,0.11666666666666647,1740568816,,False,1,97afd_00046,2025-02-26_11-20-16,12.720921277999878,12.720921277999878,1007542,cnl-brain9,155.198.99.250,12.720921277999878,1,0.5,150.0,1.3,97afd_00046
