,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
19,1,1,91.74000000000271,2.5,0.9438499842849882,0.06240394072866495,0.140625,1722392134,,False,1,bd2ac_00019,2024-07-31_03-15-34,9.537553787231445,9.537553787231445,54492,cnl-brain10,155.198.100.139,9.537553787231445,1,0.5,200.0,3.0,bd2ac_00019
20,0,0,,0.0,,,,1722392133,,False,1,bd2ac_00020,2024-07-31_03-15-33,8.465882539749146,8.465882539749146,54491,cnl-brain10,155.198.100.139,8.465882539749146,1,0.3,200.0,2.5,bd2ac_00020
21,1,1,95.46000000000285,2.0,0.9880782971177001,-0.0010893753452851929,0.046875,1722392134,,False,1,bd2ac_00021,2024-07-31_03-15-34,9.173798322677612,9.173798322677612,54474,cnl-brain10,155.198.100.139,9.173798322677612,1,0.35,200.0,2.5,bd2ac_00021
22,1,1,94.65000000000282,2.5,1.3163290678371,0.03235324539448792,0.046875,1722392134,,False,1,bd2ac_00022,2024-07-31_03-15-34,8.88307809829712,8.88307809829712,54473,cnl-brain10,155.198.100.139,8.88307809829712,1,0.4,200.0,2.5,bd2ac_00022
23,1,1,94.41000000000281,3.0,0.8524028180153024,0.05350128516974073,0.140625,1722392134,,False,1,bd2ac_00023,2024-07-31_03-15-34,9.198267221450806,9.198267221450806,54456,cnl-brain10,155.198.100.139,9.198267221450806,1,0.45,200.0,2.5,bd2ac_00023
24,1,1,93.48000000000278,3.25,0.9700784865785888,0.06175518201574359,0.140625,1722392133,,False,1,bd2ac_00024,2024-07-31_03-15-33,8.202396154403687,8.202396154403687,54494,cnl-brain10,155.198.100.139,8.202396154403687,1,0.5,200.0,2.5,bd2ac_00024
25,0,0,,0.0,,,,1722392133,,False,1,bd2ac_00025,2024-07-31_03-15-33,8.26779842376709,8.26779842376709,54527,cnl-brain10,155.198.100.139,8.26779842376709,1,0.3,200.0,2.0,bd2ac_00025
26,1,1,92.55000000000274,2.5,1.1065726084753087,0.0037021891614255065,0.046875,1722392133,,False,1,bd2ac_00026,2024-07-31_03-15-33,8.526434421539307,8.526434421539307,54528,cnl-brain10,155.198.100.139,8.526434421539307,1,0.35,200.0,2.0,bd2ac_00026
27,1,1,94.83000000000283,3.5,1.3944251900614044,0.03884307293353784,0.046875,1722392133,,False,1,bd2ac_00027,2024-07-31_03-15-33,8.337973833084106,8.337973833084106,54535,cnl-brain10,155.198.100.139,8.337973833084106,1,0.4,200.0,2.0,bd2ac_00027
28,1,1,92.55000000000274,4.5,0.8413670190482879,0.05472319524983971,0.140625,1722392134,,False,1,bd2ac_00028,2024-07-31_03-15-34,9.053677558898926,9.053677558898926,54534,cnl-brain10,155.198.100.139,9.053677558898926,1,0.45,200.0,2.0,bd2ac_00028
29,1,1,92.34000000000273,4.5,0.901811320325981,0.07368365034121815,0.140625,1722392134,,False,1,bd2ac_00029,2024-07-31_03-15-34,9.316853761672974,9.316853761672974,54531,cnl-brain10,155.198.100.139,9.316853761672974,1,0.5,200.0,2.0,bd2ac_00029
30,0,0,,0.0,,,,1722392134,,False,1,bd2ac_00030,2024-07-31_03-15-34,8.848047018051147,8.848047018051147,54533,cnl-brain10,155.198.100.139,8.848047018051147,1,0.3,250.0,4.5,bd2ac_00030
31,0,0,,0.0,,,,1722392133,,False,1,bd2ac_00031,2024-07-31_03-15-33,7.726160287857056,7.726160287857056,54532,cnl-brain10,155.198.100.139,7.726160287857056,1,0.35,250.0,4.5,bd2ac_00031
32,1,1,94.92000000000283,1.25,1.3026261829574195,0.021753687901011398,0.046875,1722392134,,False,1,bd2ac_00032,2024-07-31_03-15-34,9.437144994735718,9.437144994735718,54530,cnl-brain10,155.198.100.139,9.437144994735718,1,0.4,250.0,4.5,bd2ac_00032
