,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
18,2,2,57.21000000000141,1.25,0.9696588075733137,-0.01801342713860654,0.049999999999998934,1746727251,,False,1,4e41c_00018,2025-05-08_19-00-51,26.945290565490723,26.945290565490723,2762401,cnl-brain9,155.198.99.250,26.945290565490723,1,0.11,0.5,1.2,4e41c_00018
19,2,2,55.71000000000135,1.75,0.9491826200270946,0.00033273267274269713,0.049999999999998934,1746727249,,False,1,4e41c_00019,2025-05-08_19-00-49,25.13463592529297,25.13463592529297,2762402,cnl-brain9,155.198.99.250,25.13463592529297,1,0.11,0.6,1.2,4e41c_00019
20,0,0,,0.5,,,,1746727252,,False,1,4e41c_00020,2025-05-08_19-00-52,27.44678497314453,27.44678497314453,2762403,cnl-brain9,155.198.99.250,27.44678497314453,1,0.11,0.2,1.8,4e41c_00020
21,0,0,,0.75,,,,1746727242,,False,1,4e41c_00021,2025-05-08_19-00-42,18.414111852645874,18.414111852645874,2762404,cnl-brain9,155.198.99.250,18.414111852645874,1,0.11,0.3,1.8,4e41c_00021
22,0,0,,0.75,,,,1746727246,,False,1,4e41c_00022,2025-05-08_19-00-46,21.789567708969116,21.789567708969116,2762405,cnl-brain9,155.198.99.250,21.789567708969116,1,0.11,0.4,1.8,4e41c_00022
23,1,1,96.00000000000287,1.0,0.9782097122240236,0.0014477387141340614,0.049999999999998934,1746727249,,False,1,4e41c_00023,2025-05-08_19-00-49,25.219212532043457,25.219212532043457,2762417,cnl-brain9,155.198.99.250,25.219212532043457,1,0.11,0.5,1.8,4e41c_00023
24,1,1,52.920000000001245,1.0,0.9370190837100613,-0.012958394918431537,0.049999999999998934,1746727248,,False,1,4e41c_00024,2025-05-08_19-00-48,23.354469776153564,23.354469776153564,2762418,cnl-brain9,155.198.99.250,23.354469776153564,1,0.11,0.6,1.8,4e41c_00024
25,6,1,54.69000000000131,14.0,1.401581232293037,0.0022355555110098457,0.049999999999998934,1746727251,,False,1,4e41c_00025,2025-05-08_19-00-51,27.046973943710327,27.046973943710327,2762419,cnl-brain9,155.198.99.250,27.046973943710327,1,0.13,0.2,0.6,4e41c_00025
26,6,1,56.340000000001375,13.0,1.4498108210859053,0.0006233804490860528,0.049999999999998934,1746727244,,False,1,4e41c_00026,2025-05-08_19-00-44,20.17922353744507,20.17922353744507,2762420,cnl-brain9,155.198.99.250,20.17922353744507,1,0.13,0.3,0.6,4e41c_00026
27,6,2,54.87000000000132,16.75,1.2567702276129626,-0.006195327720420973,0.049999999999998934,1746727249,,False,1,4e41c_00027,2025-05-08_19-00-49,24.70675754547119,24.70675754547119,2762421,cnl-brain9,155.198.99.250,24.70675754547119,1,0.13,0.4,0.6,4e41c_00027
28,6,2,54.3300000000013,14.25,1.4223746678456757,-0.003720985393834475,0.049999999999998934,1746727243,,False,1,4e41c_00028,2025-05-08_19-00-43,18.610100030899048,18.610100030899048,2762422,cnl-brain9,155.198.99.250,18.610100030899048,1,0.13,0.5,0.6,4e41c_00028
29,6,3,55.14000000000133,12.25,1.4105432833066127,-0.00446137492287102,0.049999999999998934,1746727250,,False,1,4e41c_00029,2025-05-08_19-00-50,25.641622066497803,25.641622066497803,2762423,cnl-brain9,155.198.99.250,25.641622066497803,1,0.13,0.6,0.6,4e41c_00029
30,2,2,54.18000000000129,1.0,0.9235198026339123,0.0004956032412208877,0.049999999999998934,1746727247,,False,1,4e41c_00030,2025-05-08_19-00-47,22.39741015434265,22.39741015434265,2762424,cnl-brain9,155.198.99.250,22.39741015434265,1,0.13,0.2,0.8,4e41c_00030
31,2,1,55.71000000000135,1.25,0.9246552395875719,-0.0165844529783592,0.049999999999998934,1746727247,,False,1,4e41c_00031,2025-05-08_19-00-47,22.56826877593994,22.56826877593994,2762425,cnl-brain9,155.198.99.250,22.56826877593994,1,0.13,0.3,0.8,4e41c_00031
32,2,1,56.19000000000137,1.75,0.9649283471351721,-0.003641631449186722,0.049999999999998934,1746727248,,False,1,4e41c_00032,2025-05-08_19-00-48,24.00765299797058,24.00765299797058,2762426,cnl-brain9,155.198.99.250,24.00765299797058,1,0.13,0.4,0.8,4e41c_00032
33,2,1,55.08000000000133,2.25,0.9583695734259797,0.005016555322983951,0.049999999999998934,1746727249,,False,1,4e41c_00033,2025-05-08_19-00-49,24.725595474243164,24.725595474243164,2762427,cnl-brain9,155.198.99.250,24.725595474243164,1,0.13,0.5,0.8,4e41c_00033
34,6,2,55.11000000000133,15.75,1.2537799303784565,0.004139602725425018,0.049999999999998934,1746727245,,False,1,4e41c_00034,2025-05-08_19-00-45,20.668174743652344,20.668174743652344,2762428,cnl-brain9,155.198.99.250,20.668174743652344,1,0.13,0.6,0.8,4e41c_00034
35,1,1,96.6900000000029,1.0,0.9597549038926747,-0.007712072906026268,0.049999999999998934,1746727246,,False,1,4e41c_00035,2025-05-08_19-00-46,21.226841688156128,21.226841688156128,2762430,cnl-brain9,155.198.99.250,21.226841688156128,1,0.13,0.2,1.0,4e41c_00035
36,1,1,54.4500000000013,1.25,0.9736253684714951,0.0016181114042046474,0.049999999999998934,1746727245,,False,1,4e41c_00036,2025-05-08_19-00-45,20.691078662872314,20.691078662872314,2762431,cnl-brain9,155.198.99.250,20.691078662872314,1,0.13,0.3,1.0,4e41c_00036
37,2,2,54.510000000001305,1.5,0.9212269931513447,0.0011102383538790228,0.049999999999998934,1746727250,,False,1,4e41c_00037,2025-05-08_19-00-50,26.0326566696167,26.0326566696167,2762432,cnl-brain9,155.198.99.250,26.0326566696167,1,0.13,0.4,1.0,4e41c_00037
38,2,1,55.11000000000133,1.5,0.9209061002640755,-0.004288470421489166,0.049999999999998934,1746727246,,False,1,4e41c_00038,2025-05-08_19-00-46,21.63627600669861,21.63627600669861,2762435,cnl-brain9,155.198.99.250,21.63627600669861,1,0.13,0.5,1.0,4e41c_00038
39,2,1,55.41000000000134,1.75,0.9474020086290759,-0.004578267193355856,0.049999999999998934,1746727251,,False,1,4e41c_00039,2025-05-08_19-00-51,27.17568802833557,27.17568802833557,2762437,cnl-brain9,155.198.99.250,27.17568802833557,1,0.13,0.6,1.0,4e41c_00039
40,0,0,,0.75,,,,1746727251,,False,1,4e41c_00040,2025-05-08_19-00-51,26.505151510238647,26.505151510238647,2762438,cnl-brain9,155.198.99.250,26.505151510238647,1,0.13,0.2,1.2,4e41c_00040
41,1,1,56.16000000000137,1.0,0.9587816845198827,-0.006534779657386469,0.049999999999998934,1746727251,,False,1,4e41c_00041,2025-05-08_19-00-51,26.659263849258423,26.659263849258423,2762406,cnl-brain9,155.198.99.250,26.659263849258423,1,0.13,0.3,1.2,4e41c_00041
