,metric/num_BTSP_events_(shifted_0),metric/num_BTSP_positions_(shifted_0),metric/first_BTSP_time_(shifted_0),metric/first_BTSP_relative_position_(shifted_0),metric/max_BTSP_ramp_(shifted_0),metric/PC_weight_peak_relative_position_(shifted_0),metric/PC_weight_width_(shifted_0),metric/PC_weight_ratio_pre_post_(shifted_0),metric/max_normalization_(shifted_0),metric/98th_percentile_firingrate_(shifted_0),metric/num_BTSP_events_(shifted_1),metric/num_BTSP_positions_(shifted_1),metric/first_BTSP_time_(shifted_1),metric/first_BTSP_relative_position_(shifted_1),metric/max_BTSP_ramp_(shifted_1),metric/PC_weight_peak_relative_position_(shifted_1),metric/PC_weight_width_(shifted_1),metric/PC_weight_ratio_pre_post_(shifted_1),metric/max_normalization_(shifted_1),metric/98th_percentile_firingrate_(shifted_1),metric/num_BTSP_events_(shifted_2),metric/num_BTSP_positions_(shifted_2),metric/first_BTSP_time_(shifted_2),metric/first_BTSP_relative_position_(shifted_2),metric/max_BTSP_ramp_(shifted_2),metric/PC_weight_peak_relative_position_(shifted_2),metric/PC_weight_width_(shifted_2),metric/PC_weight_ratio_pre_post_(shifted_2),metric/max_normalization_(shifted_2),metric/98th_percentile_firingrate_(shifted_2),metric/num_BTSP_events_(shifted_3),metric/num_BTSP_positions_(shifted_3),metric/first_BTSP_time_(shifted_3),metric/first_BTSP_relative_position_(shifted_3),metric/max_BTSP_ramp_(shifted_3),metric/PC_weight_peak_relative_position_(shifted_3),metric/PC_weight_width_(shifted_3),metric/PC_weight_ratio_pre_post_(shifted_3),metric/max_normalization_(shifted_3),metric/98th_percentile_firingrate_(shifted_3),metric/num_BTSP_events_(shifted_4),metric/num_BTSP_positions_(shifted_4),metric/first_BTSP_time_(shifted_4),metric/first_BTSP_relative_position_(shifted_4),metric/max_BTSP_ramp_(shifted_4),metric/PC_weight_peak_relative_position_(shifted_4),metric/PC_weight_width_(shifted_4),metric/PC_weight_ratio_pre_post_(shifted_4),metric/max_normalization_(shifted_4),metric/98th_percentile_firingrate_(shifted_4),metric/num_BTSP_events_(shifted_5),metric/num_BTSP_positions_(shifted_5),metric/first_BTSP_time_(shifted_5),metric/first_BTSP_relative_position_(shifted_5),metric/max_BTSP_ramp_(shifted_5),metric/PC_weight_peak_relative_position_(shifted_5),metric/PC_weight_width_(shifted_5),metric/PC_weight_ratio_pre_post_(shifted_5),metric/max_normalization_(shifted_5),metric/98th_percentile_firingrate_(shifted_5),metric/num_BTSP_events_(shifted_6),metric/num_BTSP_positions_(shifted_6),metric/first_BTSP_time_(shifted_6),metric/first_BTSP_relative_position_(shifted_6),metric/max_BTSP_ramp_(shifted_6),metric/PC_weight_peak_relative_position_(shifted_6),metric/PC_weight_width_(shifted_6),metric/PC_weight_ratio_pre_post_(shifted_6),metric/max_normalization_(shifted_6),metric/98th_percentile_firingrate_(shifted_6),metric/num_BTSP_events_(shifted_7),metric/num_BTSP_positions_(shifted_7),metric/first_BTSP_time_(shifted_7),metric/first_BTSP_relative_position_(shifted_7),metric/max_BTSP_ramp_(shifted_7),metric/PC_weight_peak_relative_position_(shifted_7),metric/PC_weight_width_(shifted_7),metric/PC_weight_ratio_pre_post_(shifted_7),metric/max_normalization_(shifted_7),metric/98th_percentile_firingrate_(shifted_7),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,9.0,2.0,60.81,0.007465014285520155,6.25,-0.049999999999998934,0.49068643461641726,2.747424904096528,1.1685214378344775,6.300712618396597,9.0,1.0,505.83,-0.017545843651481263,6.25,-0.049999999999998934,0.5040891749177199,0.8785241639927776,1.1604904560554736,7.251644917360051,9.0,2.0,950.04,0.013013533194959681,5.0,-0.04999999999999938,0.5849255944065881,0.42478616341548425,1.1532370433728985,7.409454115906007,9.0,2.0,1395.03,0.03505171844840982,4.25,-0.04999999999999938,0.48719757910305184,0.5338973435972973,1.1426841381318074,6.889123584398129,9.0,2.0,1836.93,0.03716292824547973,4.0,-0.049999999999999156,0.4519252398274012,0.6351480507389263,1.1436838194390124,6.515256103552776,9.0,2.0,2275.02,0.03362696130591947,4.25,-0.04999999999999927,0.42810414181137746,1.1808633080668511,1.1525500032043046,6.603473379300863,10.0,2.0,2722.77,-4.855158779063613,3.5,1.0500000000000007,0.4241204669626393,0.68580448226631,1.1749500116350324,7.299177853797964,9.0,1.0,3167.01,-3.5244594583367217,3.0,2.450000000000001,0.40192494746754376,1.3008496702158483,1.1767206364272642,7.21919873363599,1776480205,,False,1,e31a1_00000,2026-04-18_03-43-25,205.9146478176117,205.9146478176117,1629831,cnl-brain9,155.198.99.250,205.9146478176117,1,0.1,0.2,0.5,e31a1_00000
1,9.0,1.0,60.42,0.006510706583632508,5.5,-0.049999999999998934,0.5064356217179555,2.6390969149398593,1.165324735684852,6.334880162311552,9.0,1.0,502.2,-0.012701631883394793,6.5,-0.049999999999998934,0.48999429272055695,0.976377753077345,1.1683228276414848,7.384688676540918,9.0,2.0,941.82,0.013939209655015272,4.25,-0.04999999999999938,0.614801424292934,0.41654650186032216,1.139471431332732,7.399377636022844,9.0,2.0,1387.74,0.023570545043003488,4.0,-0.04999999999999938,0.48245751801550485,0.5131380549002245,1.1387811201060476,6.762500820836063,9.0,2.0,1829.94,0.0399416042033478,4.75,-0.049999999999999156,0.4464984201345785,0.6214218811956049,1.1550156845024877,6.61536248283027,9.0,2.0,2271.69,0.0346735368343829,5.25,-0.04999999999999927,0.418830059225726,1.216102024750868,1.1664841980398475,6.724391672492859,9.0,1.0,2719.92,-4.86190587626958,3.0,1.0500000000000007,0.42386861194563774,0.7690464723774185,1.1715298360952178,7.27346748527179,9.0,1.0,3161.55,-3.5479787257854545,3.75,2.450000000000001,0.39779515189611436,1.7112794404916079,1.1760474313237417,7.271134623462203,1776480210,,False,1,e31a1_00001,2026-04-18_03-43-30,210.13812136650085,210.13812136650085,1629830,cnl-brain9,155.198.99.250,210.13812136650085,1,0.1,0.25,0.5,e31a1_00001
2,9.0,2.0,58.8,0.009285359255292391,5.75,-0.049999999999998934,0.5070134833291964,2.7287142719577027,1.16600398104901,6.374995610362255,9.0,1.0,500.28,-0.021403064931811766,7.0,-0.049999999999998934,0.4993964898471015,0.9554441295230841,1.1702379797610472,7.287485283235165,9.0,2.0,940.89,0.016873888237641577,5.0,-0.04999999999999938,0.6027286938134702,0.41216245574224447,1.1513141317121047,7.439649435406843,9.0,2.0,1383.54,0.025158861814184696,5.5,-0.04999999999999938,0.4745423039197423,0.5394811975318996,1.1570742570796837,6.912960478067744,9.0,2.0,1826.61,0.023752568210295255,4.5,-0.049999999999999156,0.43211436151393445,0.6561924935197814,1.1564265280364163,6.579996151227791,9.0,2.0,2265.15,0.033508747325402655,4.75,-0.04999999999999927,0.4235268203044735,1.2193585588387024,1.1514391027306043,6.607565954473288,9.0,1.0,2714.64,-4.864180736213957,3.5,1.0500000000000007,0.4089343949437097,0.8035161414299511,1.1802720512416798,7.38931498491791,9.0,1.0,3157.95,-3.548152116763929,3.5,2.450000000000001,0.3948153243952793,1.7731201930753178,1.1757237817042743,7.256280389542033,1776480210,,False,1,e31a1_00002,2026-04-18_03-43-30,210.27612948417664,210.27612948417664,1629832,cnl-brain9,155.198.99.250,210.27612948417664,1,0.1,0.30000000000000004,0.5,e31a1_00002
3,9.0,2.0,58.65,0.01702913000630657,5.0,-0.049999999999998934,0.5359930432337427,2.458626381896508,1.1607500428158297,6.217746132211368,9.0,1.0,503.49,-0.021147260238193688,7.0,-0.049999999999998934,0.4947864385695997,1.0301824063633302,1.1597365000057456,7.49299481107113,9.0,1.0,944.76,0.006692939445957613,5.0,-0.04999999999999938,0.6036879015637724,0.41262220048917125,1.15056387505161,7.487819354028509,9.0,2.0,1385.58,0.03881177615228015,4.25,-0.04999999999999938,0.4743170228360114,0.5041157894329668,1.1460836863111483,6.859532395001592,9.0,2.0,1826.4,0.027454275496137326,4.75,-0.049999999999999156,0.43497802272624897,0.6474117109661668,1.155045282333918,6.624503273752573,9.0,2.0,2270.82,0.028504607433113005,5.0,-0.04999999999999927,0.42456950931231147,1.2070503992885242,1.156428352700201,6.695495196512398,9.0,1.0,2711.43,-4.859916830981186,3.5,1.0500000000000007,0.42795455958004974,0.7654921874880385,1.1714160294146403,7.314121274848496,9.0,2.0,3155.1,-3.5381230826245127,3.25,2.450000000000001,0.3900416712858914,1.7999283929828587,1.1740901056016364,7.326930951047969,1776480206,,False,1,e31a1_00003,2026-04-18_03-43-26,206.45536160469055,206.45536160469055,1629834,cnl-brain9,155.198.99.250,206.45536160469055,1,0.1,0.35000000000000003,0.5,e31a1_00003
4,9.0,2.0,59.64,0.015070692455776413,6.0,-0.049999999999998934,0.5121107022059248,2.700591299765563,1.164377242741415,6.374323630365281,9.0,1.0,503.22,-0.019899212358033047,7.0,-0.049999999999998934,0.4830667886649227,1.0408143668410972,1.1678620851306092,7.395103912877588,9.0,2.0,949.26,0.02059064350811335,5.25,-0.04999999999999938,0.5880971324838469,0.42570465747203357,1.1584008292618782,7.5197492285439145,9.0,2.0,1392.87,0.023899318119932733,4.75,-0.04999999999999938,0.47655514049301306,0.552402620268485,1.1446325637694856,6.955766299786397,9.0,2.0,1834.17,0.01600720512360687,5.5,-0.049999999999999156,0.4527048689328812,0.6771015333830355,1.1429038653224155,6.691561751104528,9.0,2.0,2269.41,0.030573778636325155,4.75,-0.04999999999999927,0.43104369966783274,1.2255947212845837,1.1516934173525086,6.784354311252929,10.0,2.0,2712.96,-4.86446008879884,3.5,1.0500000000000007,0.4113846741853061,0.8169950512857078,1.190317012462432,7.482441052676332,9.0,2.0,3158.31,-3.555877582572356,3.5,2.350000000000001,0.38625370572608203,0.16771707936517355,1.1747497633794741,7.328532859755162,1776480209,,False,1,e31a1_00004,2026-04-18_03-43-29,209.36139059066772,209.36139059066772,1629836,cnl-brain9,155.198.99.250,209.36139059066772,1,0.1,0.4,0.5,e31a1_00004
5,1.0,1.0,59.01,0.011289546514462678,1.25,-0.049999999999998934,0.5863160259731219,1.1086171499460082,0.7202943365585167,1.7678138195977897,1.0,1.0,503.4,0.004463101484969201,1.25,0.050000000000001155,0.6731186239505411,1.1914549592327146,0.7796196155429579,3.642124495747962,1.0,1.0,948.66,0.003728432172974916,1.0,0.45000000000000107,0.9834489956578518,1.3897989923227874,0.8104963788961282,3.725093245180546,2.0,2.0,1392.93,0.01290428868839566,1.25,-0.04999999999999938,1.585548341492597,0.7118637607099023,0.8263362336857917,3.573464019814285,2.0,2.0,1832.55,0.014300669069792216,1.25,-0.049999999999999156,0.522370202632291,0.7569550899032853,0.8312501519259232,3.4929306035424337,2.0,2.0,2270.85,0.024587432782502194,1.0,-0.04999999999999927,0.6437742204841193,0.9733096393159623,0.8495583806970748,3.4732885632515704,2.0,1.0,2734.23,0.005888730771339112,1.25,-0.049999999999998934,0.8199377756530488,0.8030632224400351,0.9113284525108221,4.006898026691913,2.0,1.0,3176.19,0.01986247435300026,1.0,1.3500000000000014,0.7443152358405003,0.7166195820027321,0.9117001258543216,3.8192293180552093,1776480203,,False,1,e31a1_00005,2026-04-18_03-43-23,203.86118340492249,203.86118340492249,1629833,cnl-brain9,155.198.99.250,203.86118340492249,1,0.1,0.2,0.875,e31a1_00005
6,2.0,1.0,58.83,0.00820681929189604,1.25,-0.049999999999998934,0.4889736146024317,1.2005931449730638,0.8071578640380779,2.4655427471895774,1.0,1.0,724.23,0.0024667274704737174,1.0,0.15000000000000124,0.5824002585809942,1.6741177907937965,0.893613196333614,4.635632544179702,2.0,1.0,947.13,0.0120229557963909,1.25,0.45000000000000107,1.0065999183698344,1.3961702887840133,0.9479822519121227,5.560804877434553,2.0,2.0,1390.8,0.013661220597306123,1.25,1.1500000000000012,1.598369218721897,2.0644836951072936,0.926802450146758,4.915932698582745,3.0,1.0,1832.19,0.022203028312023143,1.25,-0.049999999999999156,0.65781652432334,0.7156647737823424,0.9426113063210985,4.640794854879798,3.0,1.0,2269.23,0.024504826087727194,1.25,-0.04999999999999927,0.5708311837024336,0.8986483037095123,0.9717936168609094,4.586484487006067,2.0,2.0,2730.84,0.028199086193043676,1.25,1.1500000000000004,0.5622524596662096,0.8963371187821405,1.0006264871212058,4.640487578658944,2.0,1.0,3165.69,0.025424711818349266,1.0,2.550000000000001,0.5591672311362716,0.8987579324232858,0.9988728115236563,4.580551982579049,1776480204,,False,1,e31a1_00006,2026-04-18_03-43-24,204.2761116027832,204.2761116027832,1629837,cnl-brain9,155.198.99.250,204.2761116027832,1,0.1,0.25,0.875,e31a1_00006
7,2.0,1.0,60.27,0.010334610648383702,1.25,-0.049999999999998934,0.49168599145058645,1.1999032608162061,0.8054762420322032,4.078985706815673,1.0,1.0,502.62,0.0013188712285363557,1.0,0.15000000000000124,0.5788222986220752,1.739265511785025,0.8975310429636811,5.757693340448921,2.0,1.0,944.1,0.009979078563469024,1.5,0.45000000000000107,0.989534024491205,1.4149288141626224,0.9478800335335602,5.539948974470462,3.0,2.0,1387.17,0.006251285987931343,1.5,-0.04999999999999938,0.5116011974527681,0.5803510510645702,0.9699532269250097,5.02942605188856,3.0,2.0,1830.09,0.017431838081256812,1.5,-0.049999999999999156,0.5707057814377245,0.6702122109584742,0.9689812191962757,4.720622290150669,3.0,1.0,2269.86,0.012806932071415478,1.25,-0.04999999999999927,0.5224323881615713,0.9364655991620497,0.9935412643159659,4.485919931025898,2.0,2.0,2738.01,0.011719140698351893,1.5,1.1500000000000004,0.5161191088580301,0.9338231884072624,1.029099988029258,4.558913892314821,3.0,1.0,3176.25,0.024414887695879628,1.25,-0.04999999999999849,1.3418454656251857,2.332951368952906,1.0287077825242423,4.569342345560952,1776480206,,False,1,e31a1_00007,2026-04-18_03-43-26,206.94103860855103,206.94103860855103,1629840,cnl-brain9,155.198.99.250,206.94103860855103,1,0.1,0.30000000000000004,0.875,e31a1_00007
8,2.0,2.0,59.67,0.010373696747571604,1.5,-0.049999999999998934,0.5031794064609185,1.2370345636297948,0.802437120673939,3.9785786274032624,1.0,1.0,503.34,0.0019326330492215327,1.25,0.15000000000000124,0.5894096830246243,1.7589206845227257,0.8924044192454021,5.553653355768561,2.0,2.0,946.14,0.0020397331148185316,1.75,0.45000000000000107,1.0016351620619788,1.438412494675386,0.9404146253385587,5.360387480230639,3.0,2.0,1390.35,0.02039402793682088,1.75,-0.04999999999999938,1.5711199157250322,0.5735428115533574,0.9534849941154797,4.997257929542989,3.0,1.0,1832.67,0.025775830709685144,1.5,-0.049999999999999156,0.5694133386607612,0.662230901086744,0.9570395570745299,4.540924969388947,3.0,2.0,2274.39,0.02166733117010622,1.5,-0.04999999999999927,0.4998662422927668,0.9163487219554617,0.9950521868299738,4.557512578393809,3.0,2.0,2737.65,0.028621028729091336,1.75,-0.049999999999998934,0.6547685181364162,0.7175057411134501,1.0539852244039758,5.008750265063449,3.0,1.0,3178.56,0.018435806096777974,1.5,1.3500000000000014,0.5969686146052018,0.6067475525222289,1.0073901457493715,4.714673502855975,1776480208,,False,1,e31a1_00008,2026-04-18_03-43-28,208.6128978729248,208.6128978729248,1629843,cnl-brain9,155.198.99.250,208.6128978729248,1,0.1,0.35000000000000003,0.875,e31a1_00008
9,3.0,2.0,59.73,0.016428360857924762,1.5,-0.049999999999998934,0.5335843883236961,1.276289728198272,0.9146968045711101,5.436821477787593,1.0,1.0,503.46,0.00585777629773121,1.5,0.15000000000000124,0.5970373530804554,1.7196534380016797,1.0191330488170036,7.125209094196305,3.0,2.0,944.49,0.0009856897156477196,1.75,0.05000000000000071,1.0085724215930307,0.6927810267408063,1.0689733185645518,6.30143766358491,4.0,2.0,1388.91,0.028446777758233566,1.75,-0.04999999999999938,1.5707901516273304,0.5223521975878838,1.0330032317922437,5.5298589894929275,4.0,2.0,1832.55,0.022678130830874776,1.75,-0.049999999999999156,0.5294402710385535,0.5810570755336358,0.98565994328206,5.130100453278949,4.0,2.0,2270.55,0.028064239606984676,1.75,-0.04999999999999927,0.507317856238667,0.9529147296417678,1.006169669478035,4.912332094241093,3.0,2.0,2732.13,0.017826873714044567,1.75,-0.049999999999998934,0.5818722943683943,0.6618263329300911,1.0479000796539284,4.997652868100819,4.0,1.0,3171.06,0.02052839662406125,1.5,-0.04999999999999849,0.9177130471827479,3.4208901736419923,1.0379677744357436,4.858431251990536,1776480209,,False,1,e31a1_00009,2026-04-18_03-43-29,209.55783772468567,209.55783772468567,1629841,cnl-brain9,155.198.99.250,209.55783772468567,1,0.1,0.4,0.875,e31a1_00009
