,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
153,9.0,2.0,51.69,0.02260105655083411,7.25,-0.049999999999998934,0.4881445131851745,2.2152491497078364,1.2727531158634795,6.463117864064744,9.0,2.0,395.43,-0.042669696839533255,8.25,0.05000000000000071,0.44511532056646663,0.4663447465362389,1.2829543197436266,7.03091564886801,9.0,2.0,786.63,-0.02723716335765003,10.75,0.05000000000000071,0.5335297659778955,0.7965755272107965,1.271128140416281,7.3697886953432326,1776488707,,False,1,5af3d_00153,2026-04-18_06-05-07,64.86144781112671,64.86144781112671,1849226,cnl-brain9,155.198.99.250,64.86144781112671,1,0.15,0.35000000000000003,0.5,5af3d_00153
154,9.0,2.0,55.5,0.059899246219698554,5.75,-0.049999999999998934,0.5292318643916065,2.2834389876221293,1.2572192873511578,6.5460360432189155,9.0,1.0,461.34,-0.012993328229217393,14.0,0.05000000000000071,0.4265669829624805,0.18452216628780208,1.2847330255309846,7.847024321095282,9.0,2.0,882.39,-0.030770858523720523,9.75,0.05000000000000071,0.5025515985494118,0.6639135410280135,1.2387659998150513,7.688144159606353,1776488712,,False,1,5af3d_00154,2026-04-18_06-05-12,69.59125804901123,69.59125804901123,1849540,cnl-brain9,155.198.99.250,69.59125804901123,1,0.15,0.4,0.5,5af3d_00154
155,2.0,1.0,53.94,0.05762975139613369,1.0,-0.049999999999998934,0.9724063100384828,1.1091473091348552,0.8269131674006781,3.836657340879764,0.0,0.0,,,0.5,-0.049999999999998934,0.9724063100384828,1.1091473091348552,,4.100407628059251,0.0,0.0,,,0.5,-0.049999999999998934,0.9724063100384828,1.1091473091348552,,4.077247778753903,1776488710,,False,1,5af3d_00155,2026-04-18_06-05-10,68.06950688362122,68.06950688362122,1849543,cnl-brain9,155.198.99.250,68.06950688362122,1,0.15,0.2,0.875,5af3d_00155
156,2.0,1.0,51.66,0.05536835820888841,1.0,0.05000000000000071,1.2151190538304828,1.0392770489002812,0.814809173521614,3.597286290755791,1.0,1.0,587.61,-0.019912098832353564,1.0,0.05000000000000071,0.7175515465415763,0.8277082392467936,0.9470909802759966,4.418840643202378,0.0,0.0,,,0.5,0.05000000000000071,0.7175515465415763,0.8277082392467936,,5.9261745563387365,1776488708,,False,1,5af3d_00156,2026-04-18_06-05-08,65.41096568107605,65.41096568107605,1849547,cnl-brain9,155.198.99.250,65.41096568107605,1,0.15,0.25,0.875,5af3d_00156
157,2.0,1.0,57.93,0.013390680976910208,1.5,0.05000000000000071,0.6526255947478914,1.2969505388760494,0.8753351018194121,4.46652304588835,1.0,1.0,570.03,-0.05506579350634411,1.0,0.05000000000000071,0.6084892518183258,1.188285558913248,1.022899693377459,5.994559608539772,0.0,0.0,,,0.5,0.05000000000000071,0.6084892518183258,1.188285558913248,,6.6088476810798715,1776488710,,False,1,5af3d_00157,2026-04-18_06-05-10,67.43408727645874,67.43408727645874,1849549,cnl-brain9,155.198.99.250,67.43408727645874,1,0.15,0.30000000000000004,0.875,5af3d_00157
158,2.0,1.0,55.44,0.021398947424038806,1.5,-0.049999999999998934,0.5639091090408863,1.138002686817458,0.8691016581552496,3.8271947315889294,2.0,1.0,431.73,-0.027057268684330005,1.25,-0.049999999999998934,0.958984251438201,1.0471609485110729,1.1175514944133949,6.02308460669991,1.0,1.0,813.21,0.038062927651061784,1.0,0.05000000000000071,0.9485479880504255,1.0078590040736384,1.1398952597823158,6.686099355358706,1776488708,,False,1,5af3d_00158,2026-04-18_06-05-08,65.65104746818542,65.65104746818542,1849544,cnl-brain9,155.198.99.250,65.65104746818542,1,0.15,0.35000000000000003,0.875,5af3d_00158
159,2.0,2.0,49.56,-0.009414319368165724,1.75,-0.049999999999998934,0.5036752358905052,1.2613452056695018,0.8833872659012966,5.465622368521054,4.0,2.0,453.9,-0.06922631530387413,1.25,-0.049999999999998934,0.7453041113925836,1.0658461102406476,1.1796862371449555,6.842644511946497,3.0,2.0,801.63,0.034445191086673876,1.25,-0.049999999999998934,0.7392886233019129,0.9781495353682953,1.1919848902980545,6.599801765915226,1776488708,,False,1,5af3d_00159,2026-04-18_06-05-08,65.5626118183136,65.5626118183136,1849542,cnl-brain9,155.198.99.250,65.5626118183136,1,0.15,0.4,0.875,5af3d_00159
160,0.0,0.0,,,0.75,,0.0,,,0.7527315309130987,0.0,0.0,,,0.75,,0.0,,,0.7909310231476859,0.0,0.0,,,0.75,,0.0,,,0.7619511897212782,1776488769,,False,1,5af3d_00160,2026-04-18_06-06-09,66.94484734535217,66.94484734535217,1850330,cnl-brain9,155.198.99.250,66.94484734535217,1,0.15,0.2,1.25,5af3d_00160
161,1.0,1.0,93.87,0.030266093967461938,1.0,0.05000000000000071,0.9849349904000362,0.990010834329354,0.7324249453633263,2.0489656785044814,1.0,1.0,430.77,-0.026417091072199916,1.0,-0.049999999999998934,0.6318545236145465,0.9339630320309277,0.8244009353852206,3.3276990609016064,0.0,0.0,,,0.0,-0.049999999999998934,0.6318545236145465,0.9339630320309277,,4.056050988763172,1776488769,,False,1,5af3d_00161,2026-04-18_06-06-09,64.27025389671326,64.27025389671326,1850466,cnl-brain9,155.198.99.250,64.27025389671326,1,0.15,0.25,1.25,5af3d_00161
162,1.0,1.0,48.75,0.01825905106676151,1.0,-0.049999999999998934,0.524453343116924,1.2963823495723468,0.7550576223224448,3.3106080484666034,0.0,0.0,,,0.5,-0.049999999999998934,0.524453343116924,1.2963823495723468,,2.961705179662577,0.0,0.0,,,0.0,-0.049999999999998934,0.524453343116924,1.2963823495723468,,3.245855499241883,1776488774,,False,1,5af3d_00162,2026-04-18_06-06-14,69.31632947921753,69.31632947921753,1850467,cnl-brain9,155.198.99.250,69.31632947921753,1,0.15,0.30000000000000004,1.25,5af3d_00162
163,1.0,1.0,51.78,-0.009496452218685558,1.25,-0.049999999999998934,0.41247120114592306,1.2483061808069944,0.7643277045061215,3.3589462618494204,1.0,1.0,499.83,-0.05323019864585321,1.0,-0.049999999999998934,0.7033855774362197,0.9632103312216658,0.8616504988440719,4.259612854839738,0.0,0.0,,,0.0,-0.049999999999998934,0.7033855774362197,0.9632103312216658,,4.392821015314167,1776488776,,False,1,5af3d_00163,2026-04-18_06-06-16,69.96504998207092,69.96504998207092,1850676,cnl-brain9,155.198.99.250,69.96504998207092,1,0.15,0.35000000000000003,1.25,5af3d_00163
164,2.0,2.0,47.1,0.03961268685765429,1.25,-0.049999999999998934,0.645237073594811,1.271984065323673,0.849027308310707,3.7754744270810385,0.0,0.0,,,0.25,-0.049999999999998934,0.645237073594811,1.271984065323673,,4.902407069422734,1.0,1.0,923.55,-0.033726544573613015,1.25,-0.049999999999998934,0.6929709970619298,1.3279391340450934,0.9481729923056734,5.735906868955717,1776488773,,False,1,5af3d_00164,2026-04-18_06-06-13,66.45830297470093,66.45830297470093,1850683,cnl-brain9,155.198.99.250,66.45830297470093,1,0.15,0.4,1.25,5af3d_00164
165,0.0,0.0,,,0.5,,0.0,,,0.7829294954693389,0.0,0.0,,,0.5,,0.0,,,0.755411981874186,0.0,0.0,,,0.5,,0.0,,,0.7508416905330241,1776488775,,False,1,5af3d_00165,2026-04-18_06-06-15,68.55168294906616,68.55168294906616,1850682,cnl-brain9,155.198.99.250,68.55168294906616,1,0.15,0.2,1.625,5af3d_00165
166,0.0,0.0,,,0.75,,0.0,,,0.7563822023606613,0.0,0.0,,,0.75,,0.0,,,0.7626598727924585,0.0,0.0,,,0.75,,0.0,,,0.7548908806089308,1776488776,,False,1,5af3d_00166,2026-04-18_06-06-16,69.04172158241272,69.04172158241272,1850679,cnl-brain9,155.198.99.250,69.04172158241272,1,0.15,0.25,1.625,5af3d_00166
