,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,9.0,2.0,51.6,0.09387105131487106,4.75,-0.049999999999998934,0.5605082049426393,1.6587914702509714,1.1510258803200755,5.9737430358399894,1776484815,,False,1,0c6a2_00000,2026-04-18_05-00-15,21.964741706848145,21.964741706848145,1738006,cnl-brain9,155.198.99.250,21.964741706848145,1,0.1,0.2,0.5,0c6a2_00000
1,8.0,2.0,92.79,0.08461906371063233,3.25,-0.049999999999998934,1.0266232080915616,1.1937184184743461,1.1074850247330832,4.804224719303537,1776484815,,False,1,0c6a2_00001,2026-04-18_05-00-15,21.543986558914185,21.543986558914185,1738009,cnl-brain9,155.198.99.250,21.543986558914185,1,0.1,0.25,0.5,0c6a2_00001
2,10.0,1.0,50.76,0.0058978141121510674,12.5,-0.049999999999998934,0.5522412791756031,1.9823147484589134,1.1543519908548063,7.012382609018045,1776484816,,False,1,0c6a2_00002,2026-04-18_05-00-16,23.31202244758606,23.31202244758606,1738005,cnl-brain9,155.198.99.250,23.31202244758606,1,0.1,0.30000000000000004,0.5,0c6a2_00002
3,8.0,2.0,85.56,0.05484252030362269,6.25,-0.049999999999998934,0.5691470973845689,1.6896453747725313,1.1599405369348244,5.8816367440074435,1776484815,,False,1,0c6a2_00003,2026-04-18_05-00-15,21.358232736587524,21.358232736587524,1738010,cnl-brain9,155.198.99.250,21.358232736587524,1,0.1,0.35000000000000003,0.5,0c6a2_00003
4,9.0,2.0,44.43,0.0174899700064719,5.5,-0.049999999999998934,0.5812363534961906,1.770776112772181,1.1522688219793265,5.884434651752853,1776484816,,False,1,0c6a2_00004,2026-04-18_05-00-16,22.667558193206787,22.667558193206787,1738011,cnl-brain9,155.198.99.250,22.667558193206787,1,0.1,0.4,0.5,0c6a2_00004
5,2.0,2.0,52.11,0.05085597042398815,1.0,-0.049999999999998934,0.7263956716989952,1.1942837986485593,0.774231560016801,3.274258466835141,1776484816,,False,1,0c6a2_00005,2026-04-18_05-00-16,23.085408926010132,23.085408926010132,1738008,cnl-brain9,155.198.99.250,23.085408926010132,1,0.1,0.2,0.875,0c6a2_00005
6,2.0,2.0,46.8,0.005143231703665485,1.5,-0.049999999999998934,0.4999197459497311,1.1602257978578128,0.775906731960357,2.9651006076214528,1776484814,,False,1,0c6a2_00006,2026-04-18_05-00-14,20.921242475509644,20.921242475509644,1738007,cnl-brain9,155.198.99.250,20.921242475509644,1,0.1,0.25,0.875,0c6a2_00006
7,3.0,1.0,89.46,0.0162939552392527,1.25,-0.049999999999998934,0.7334451892514031,1.2029631758170296,0.8356422025848507,3.5819418872335564,1776484818,,False,1,0c6a2_00007,2026-04-18_05-00-18,24.696534156799316,24.696534156799316,1738013,cnl-brain9,155.198.99.250,24.696534156799316,1,0.1,0.30000000000000004,0.875,0c6a2_00007
8,3.0,1.0,53.64,0.01135330884091923,1.5,-0.049999999999998934,0.6089739986669165,1.1718629696576157,0.8760687449477893,4.703840795487496,1776484816,,False,1,0c6a2_00008,2026-04-18_05-00-16,22.531996965408325,22.531996965408325,1738016,cnl-brain9,155.198.99.250,22.531996965408325,1,0.1,0.35000000000000003,0.875,0c6a2_00008
9,4.0,2.0,50.91,-0.002128647476361767,2.0,-0.049999999999998934,0.43963834014608505,1.418650117844114,0.8972227358405518,4.289611096830477,1776484817,,False,1,0c6a2_00009,2026-04-18_05-00-17,23.43147921562195,23.43147921562195,1738014,cnl-brain9,155.198.99.250,23.43147921562195,1,0.1,0.4,0.875,0c6a2_00009
