,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,2.0,2.0,55.35000000000134,0.0002679836055294871,1.25,-0.049999999999998934,0.481307712779516,1.3188317858815948,0.0,0.0,,,0.0,-0.049999999999998934,0.481307712779516,1.3188317858815948,0.0,0.0,,,0.0,-0.049999999999998934,0.481307712779516,1.3188317858815948,1759201632,,False,1,6f4d4_00000,2025-09-30_04-07-12,51.481152057647705,51.481152057647705,4019605,cnl-brain9,155.198.99.250,51.481152057647705,1,0.12,0.2,0.8,6f4d4_00000
1,2.0,1.0,57.81000000000143,0.007613686433486144,1.25,-0.049999999999998934,0.5346158439777753,1.2572828530308944,0.0,0.0,,,0.0,-0.049999999999998934,0.5346158439777753,1.2572828530308944,0.0,0.0,,,0.0,-0.049999999999998934,0.5346158439777753,1.2572828530308944,1759201636,,False,1,6f4d4_00001,2025-09-30_04-07-16,55.0082950592041,55.0082950592041,4019638,cnl-brain9,155.198.99.250,55.0082950592041,1,0.12,0.25,0.8,6f4d4_00001
2,2.0,2.0,53.76000000000128,-0.0008427197094240668,1.75,-0.049999999999998934,0.49607113915121603,1.2654578660609552,0.0,0.0,,,0.0,-0.049999999999998934,0.49607113915121603,1.2654578660609552,0.0,0.0,,,0.0,-0.049999999999998934,0.49607113915121603,1.2654578660609552,1759201633,,False,1,6f4d4_00002,2025-09-30_04-07-13,52.57133412361145,52.57133412361145,4019639,cnl-brain9,155.198.99.250,52.57133412361145,1,0.12,0.30000000000000004,0.8,6f4d4_00002
3,2.0,2.0,55.92000000000136,0.0026368305554944627,1.75,-0.049999999999998934,0.4951839188214864,1.2818896895013547,4.0,2.0,329.87999999994173,-0.010938823878643422,2.0,0.05000000000000071,0.4896258448654507,0.9081107984965563,9.0,2.0,575.7599999997182,-0.02172739289894121,3.75,0.05000000000000071,0.4597123085179251,0.8107095115414733,1759201637,,False,1,6f4d4_00003,2025-09-30_04-07-17,56.244107484817505,56.244107484817505,4019679,cnl-brain9,155.198.99.250,56.244107484817505,1,0.12,0.35000000000000003,0.8,6f4d4_00003
4,2.0,2.0,56.01000000000136,-0.0013185504890507183,1.75,-0.049999999999998934,0.5273676445546931,1.3055302352318552,5.0,2.0,311.7899999999582,-0.0014665276475058775,2.5,0.05000000000000071,0.5056889404508484,0.8292704749060416,9.0,2.0,596.1299999996996,-0.020398613313681313,4.25,0.05000000000000071,0.4462619583496008,0.8021910604715989,1759201639,,False,1,6f4d4_00004,2025-09-30_04-07-19,57.85942554473877,57.85942554473877,4019737,cnl-brain9,155.198.99.250,57.85942554473877,1,0.12,0.4,0.8,6f4d4_00004
5,1.0,1.0,55.320000000001336,0.011980996358480045,1.0,-0.049999999999998934,0.5541403287268789,1.1214613739298749,0.0,0.0,,,0.5,-0.049999999999998934,0.5541403287268789,1.1214613739298749,0.0,0.0,,,0.5,-0.049999999999998934,0.5541403287268789,1.1214613739298749,1759201634,,False,1,6f4d4_00005,2025-09-30_04-07-14,53.16574430465698,53.16574430465698,4019738,cnl-brain9,155.198.99.250,53.16574430465698,1,0.12,0.2,0.9,6f4d4_00005
6,2.0,1.0,54.3000000000013,0.0041078550259650015,1.25,-0.049999999999998934,0.5329688534642618,1.2404957106707386,0.0,0.0,,,0.0,-0.049999999999998934,0.5329688534642618,1.2404957106707386,0.0,0.0,,,0.0,-0.049999999999998934,0.5329688534642618,1.2404957106707386,1759201632,,False,1,6f4d4_00006,2025-09-30_04-07-12,51.60028076171875,51.60028076171875,4019739,cnl-brain9,155.198.99.250,51.60028076171875,1,0.12,0.25,0.9,6f4d4_00006
7,2.0,2.0,54.270000000001296,-0.0002069462256701904,1.5,-0.049999999999998934,0.5335677257650979,1.2455025212652548,0.0,0.0,,,0.0,-0.049999999999998934,0.5335677257650979,1.2455025212652548,0.0,0.0,,,0.0,-0.049999999999998934,0.5335677257650979,1.2455025212652548,1759201633,,False,1,6f4d4_00007,2025-09-30_04-07-13,52.177983045578,52.177983045578,4019744,cnl-brain9,155.198.99.250,52.177983045578,1,0.12,0.30000000000000004,0.9,6f4d4_00007
8,2.0,1.0,54.66000000000131,0.009462573149074949,1.25,-0.049999999999998934,0.5761633525262146,1.1980657200211848,0.0,0.0,,,0.0,-0.049999999999998934,0.5761633525262146,1.1980657200211848,0.0,0.0,,,0.0,-0.049999999999998934,0.5761633525262146,1.1980657200211848,1759201636,,False,1,6f4d4_00008,2025-09-30_04-07-16,55.57012867927551,55.57012867927551,4019743,cnl-brain9,155.198.99.250,55.57012867927551,1,0.12,0.35000000000000003,0.9,6f4d4_00008
9,2.0,1.0,55.23000000000133,0.006455385178361528,1.5,-0.049999999999998934,0.4977230609150345,1.2214747737654976,0.0,0.0,,,0.0,-0.049999999999998934,0.4977230609150345,1.2214747737654976,0.0,0.0,,,0.0,-0.049999999999998934,0.4977230609150345,1.2214747737654976,1759201636,,False,1,6f4d4_00009,2025-09-30_04-07-16,55.03728175163269,55.03728175163269,4019742,cnl-brain9,155.198.99.250,55.03728175163269,1,0.12,0.4,0.9,6f4d4_00009
