,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,2.0,1.0,54.12000000000129,0.0031992542249401623,1.0,-0.049999999999998934,0.6425706007000129,1.2711402977925612,1748699393,,False,1,0e48f_00000,2025-05-31_14-49-53,26.119017601013184,26.119017601013184,1508274,cnl-brain9,155.198.99.250,26.119017601013184,1,0.12,0.2,0.8,0e48f_00000
1,2.0,1.0,55.47000000000134,0.0027416152914678804,1.25,-0.049999999999998934,0.6733857654520099,1.2600767951558838,1748699391,,False,1,0e48f_00001,2025-05-31_14-49-51,24.52800464630127,24.52800464630127,1508275,cnl-brain9,155.198.99.250,24.52800464630127,1,0.12,0.25,0.8,0e48f_00001
2,2.0,1.0,53.91000000000128,-0.0024670961045099027,1.75,-0.049999999999998934,0.6425758686324312,1.3160662468504298,1748699389,,False,1,0e48f_00002,2025-05-31_14-49-49,22.499576330184937,22.499576330184937,1508280,cnl-brain9,155.198.99.250,22.499576330184937,1,0.12,0.30000000000000004,0.8,0e48f_00002
3,2.0,1.0,53.970000000001285,0.011275040269210557,1.5,-0.049999999999998934,0.684459262048092,1.2721891606345375,1748699389,,False,1,0e48f_00003,2025-05-31_14-49-49,22.90479016304016,22.90479016304016,1508340,cnl-brain9,155.198.99.250,22.90479016304016,1,0.12,0.35000000000000003,0.8,0e48f_00003
4,2.0,2.0,54.18000000000129,0.005949927035869607,1.75,-0.049999999999998934,0.6697210394036555,1.2454238995017601,1748699392,,False,1,0e48f_00004,2025-05-31_14-49-52,25.55219316482544,25.55219316482544,1508454,cnl-brain9,155.198.99.250,25.55219316482544,1,0.12,0.4,0.8,0e48f_00004
5,1.0,1.0,54.210000000001294,8.026045495634904e-05,1.0,-0.049999999999998934,0.6349598570819848,1.2093525534589278,1748699387,,False,1,0e48f_00005,2025-05-31_14-49-47,20.636970043182373,20.636970043182373,1508455,cnl-brain9,155.198.99.250,20.636970043182373,1,0.12,0.2,0.9,0e48f_00005
6,1.0,1.0,55.590000000001346,0.008926764740758486,1.25,-0.049999999999998934,0.6527156790859752,1.1542705734079985,1748699390,,False,1,0e48f_00006,2025-05-31_14-49-50,23.77918839454651,23.77918839454651,1508456,cnl-brain9,155.198.99.250,23.77918839454651,1,0.12,0.25,0.9,0e48f_00006
7,2.0,1.0,56.49000000000138,0.002197587400053269,1.25,-0.049999999999998934,0.6652646737335459,1.2474608219610182,1748699392,,False,1,0e48f_00007,2025-05-31_14-49-52,25.108253717422485,25.108253717422485,1508457,cnl-brain9,155.198.99.250,25.108253717422485,1,0.12,0.30000000000000004,0.9,0e48f_00007
8,2.0,1.0,53.40000000000126,0.011454167483279765,1.25,-0.049999999999998934,0.7120354227225878,1.2107965647128127,1748699387,,False,1,0e48f_00008,2025-05-31_14-49-47,20.637057781219482,20.637057781219482,1508458,cnl-brain9,155.198.99.250,20.637057781219482,1,0.12,0.35000000000000003,0.9,0e48f_00008
9,2.0,2.0,55.530000000001344,-0.0006636904927419529,1.75,-0.049999999999998934,0.6349663399537557,1.276800086479005,1748699388,,False,1,0e48f_00009,2025-05-31_14-49-48,21.35620427131653,21.35620427131653,1508462,cnl-brain9,155.198.99.250,21.35620427131653,1,0.12,0.4,0.9,0e48f_00009
