,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
0,1,0,0,1,0,0,77.04000000000215,,,2.25,0.75,0.75,0.7298040269612595,0.7298040269612595,0.7298040269612595,0.05982398488427465,,,0.19270833333333331,0.5260416666666666,0.5260416666666666,1705273719,,False,1,c8ec7_00000,2024-01-14_23-08-39,25.42960548400879,25.42960548400879,79576,cnl-brain10,155.198.100.139,25.42960548400879,1,0.5,100.0,4.5,c8ec7_00000
1,1,1,2,1,1,2,113.82000000000355,258.6900000000065,388.43999999988847,2.5,2.0,1.5,0.8622325784334711,0.3501752481400722,0.7803080664639721,0.06497550626498383,-0.06787711602154944,0.05900713157299564,0.19270833333333331,-0.13020833333333337,-0.13020833333333337,1705273717,,False,1,c8ec7_00001,2024-01-14_23-08-37,24.0528781414032,24.0528781414032,79641,cnl-brain10,155.198.100.139,24.0528781414032,1,0.55,100.0,4.5,c8ec7_00001
2,1,1,0,1,1,0,77.22000000000216,219.66000000000756,,2.5,2.0,0.75,0.9197877561750328,1.4276787142663072,1.4276787142663072,0.07704948714826121,-0.07474261382160785,,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705273718,,False,1,c8ec7_00002,2024-01-14_23-08-38,24.157442331314087,24.157442331314087,79674,cnl-brain10,155.198.100.139,24.157442331314087,1,0.6,100.0,4.5,c8ec7_00002
3,1,1,2,1,1,2,78.2400000000022,220.8000000000076,388.91999999988803,2.5,2.25,1.75,0.9446957165895127,1.6499732360290835,1.5244038650535894,0.0839827229690627,-0.08605714102150774,0.07674433441630613,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705273719,,False,1,c8ec7_00003,2024-01-14_23-08-39,25.08362364768982,25.08362364768982,79675,cnl-brain10,155.198.100.139,25.08362364768982,1,0.6499999999999999,100.0,4.5,c8ec7_00003
4,1,1,0,1,1,0,78.4500000000022,217.11000000000746,,2.5,2.25,0.75,1.0175751234460715,1.2066564090701755,1.2066564090701755,0.08692779368901571,-0.08595481044581366,,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705273717,,False,1,c8ec7_00004,2024-01-14_23-08-37,23.58411431312561,23.58411431312561,79708,cnl-brain10,155.198.100.139,23.58411431312561,1,0.7,100.0,4.5,c8ec7_00004
5,1,0,0,1,0,0,78.75000000000222,,,2.75,0.75,0.75,0.7466267558638641,0.7466267558638641,0.7466267558638641,0.05585589031789201,,,0.19270833333333331,0.5260416666666666,0.5260416666666666,1705273717,,False,1,c8ec7_00005,2024-01-14_23-08-37,23.797163486480713,23.797163486480713,79825,cnl-brain10,155.198.100.139,23.797163486480713,1,0.5,100.0,4.0,c8ec7_00005
6,1,0,0,1,0,0,77.67000000000218,,,2.75,0.75,0.75,0.850943677194992,0.850943677194992,0.850943677194992,0.06665101681739527,,,0.19270833333333331,0.5260416666666666,0.5260416666666666,1705273717,,False,1,c8ec7_00006,2024-01-14_23-08-37,23.248867511749268,23.248867511749268,79824,cnl-brain10,155.198.100.139,23.248867511749268,1,0.55,100.0,4.0,c8ec7_00006
7,1,1,1,1,1,1,78.2100000000022,251.64000000000877,419.00999999986067,2.75,2.5,1.75,0.898440562106376,1.463332071935857,1.2825390940390906,0.07678741403192779,-0.07299006293049892,0.07340980640604966,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705273716,,False,1,c8ec7_00007,2024-01-14_23-08-36,22.698779821395874,22.698779821395874,79791,cnl-brain10,155.198.100.139,22.698779821395874,1,0.6,100.0,4.0,c8ec7_00007
8,1,1,1,1,1,1,78.1800000000022,249.9000000000087,414.9899999998643,3.0,2.5,2.0,1.0035622728290592,1.5704247962025009,1.2154252376882777,0.08275274926089649,-0.08532293069864327,0.08207230760205353,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705273717,,False,1,c8ec7_00008,2024-01-14_23-08-37,23.286957263946533,23.286957263946533,79747,cnl-brain10,155.198.100.139,23.286957263946533,1,0.6499999999999999,100.0,4.0,c8ec7_00008
9,1,1,0,1,1,0,78.09000000000219,254.19000000000887,,3.0,2.5,0.75,1.152771350409642,1.5288340393805229,1.5288340393805229,0.0898215351861924,-0.08813112727131445,,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705273717,,False,1,c8ec7_00009,2024-01-14_23-08-37,23.29543447494507,23.29543447494507,79725,cnl-brain10,155.198.100.139,23.29543447494507,1,0.7,100.0,4.0,c8ec7_00009
