,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
0,5,5,5,2,2,2,9.809999999999983,41.550000000000814,71.70000000000195,2.0,1.75,1.75,1.142809548641603,0.6663293268591203,0.7853900033340826,-0.04225036427844525,0.06693017600791396,0.05353221418266585,0.19270833333333331,-0.13020833333333337,-0.03645833333333337,1704998160,,False,1,3f15d_00000,2024-01-11_18-36-00,4.761082172393799,4.761082172393799,100465,cnl-brain10,155.198.100.139,4.761082172393799,1,100.0,2.5,0.8,3f15d_00000
1,5,5,4,2,2,3,9.719999999999985,41.49000000000081,71.88000000000196,2.0,1.75,1.75,1.1337450188444518,0.6323105098960741,0.7844939923013002,-0.02808480669947222,0.07632508478597178,0.04993556964020629,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998159,,False,1,3f15d_00001,2024-01-11_18-35-59,4.645697116851807,4.645697116851807,100498,cnl-brain10,155.198.100.139,4.645697116851807,1,100.0,2.75,0.8,3f15d_00001
2,5,5,4,2,2,2,9.50999999999999,41.52000000000081,72.54000000000198,2.0,1.5,1.75,1.205181702142022,0.6172552424771478,0.8562277427085278,-0.03857473006289902,0.0741803195412507,0.050423948630331394,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00002,2024-01-11_18-36-00,4.884372234344482,4.884372234344482,100517,cnl-brain10,155.198.100.139,4.884372234344482,1,100.0,3.0,0.8,3f15d_00002
3,5,5,6,2,1,2,9.599999999999987,42.75000000000086,68.82000000000184,2.0,1.25,1.75,1.1270471784394833,0.679661388508401,0.755389537584236,-0.03427873535958825,0.07194172094690221,0.04934723017975762,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00003,2024-01-11_18-36-00,4.908626317977905,4.908626317977905,100534,cnl-brain10,155.198.100.139,4.908626317977905,1,100.0,3.25,0.8,3f15d_00003
4,5,5,6,2,2,2,9.779999999999983,42.45000000000085,68.52000000000183,1.75,1.5,1.75,1.0945237775841843,0.6258264717680545,0.7206839482498623,-0.03879191169385404,0.09214303334993557,0.03798056576052189,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00004,2024-01-11_18-36-00,4.96079421043396,4.96079421043396,100535,cnl-brain10,155.198.100.139,4.96079421043396,1,100.0,3.5,0.8,3f15d_00004
5,5,4,6,2,2,2,9.03,42.18000000000084,68.82000000000184,2.25,1.75,1.75,1.1766896335529144,0.6211775288300705,0.8469609153830199,-0.02328726814883908,0.07887920009224225,0.06311247867688208,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00005,2024-01-11_18-36-00,4.977479934692383,4.977479934692383,100536,cnl-brain10,155.198.100.139,4.977479934692383,1,125.0,2.5,0.8,3f15d_00005
6,5,5,4,2,2,2,9.839999999999982,41.91000000000083,72.57000000000198,2.0,1.5,1.5,1.167389167413586,0.6167133356264586,0.7172791683200387,-0.028590535701659647,0.09891098030071299,0.0775778415643994,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00006,2024-01-11_18-36-00,5.083815813064575,5.083815813064575,100641,cnl-brain10,155.198.100.139,5.083815813064575,1,125.0,2.75,0.8,3f15d_00006
7,5,5,6,2,2,3,9.44999999999999,42.03000000000083,68.25000000000182,2.0,1.5,1.5,1.110346820463761,0.636328855940154,0.8103957120190627,-0.05754595536214918,0.08013880340535007,0.04890840184429057,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00007,2024-01-11_18-36-00,5.029534578323364,5.029534578323364,100631,cnl-brain10,155.198.100.139,5.029534578323364,1,125.0,3.0,0.8,3f15d_00007
8,5,5,5,2,2,3,9.719999999999985,41.310000000000805,71.46000000000194,1.75,1.5,1.75,1.1445497832516736,0.6356621900262306,0.7467804783201675,-0.04061237498807707,0.0739169854948658,0.07767464278064018,0.19270833333333331,-0.13020833333333337,-0.03645833333333337,1704998160,,False,1,3f15d_00008,2024-01-11_18-36-00,4.991772890090942,4.991772890090942,100623,cnl-brain10,155.198.100.139,4.991772890090942,1,125.0,3.25,0.8,3f15d_00008
9,5,4,6,1,2,3,9.89999999999998,42.42000000000085,69.03000000000185,1.75,1.5,1.5,1.2798713527824,0.6228853783922688,0.758084584345677,-0.04159614088408958,0.0821581099143196,0.07563547368821555,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00009,2024-01-11_18-36-00,4.910846948623657,4.910846948623657,100606,cnl-brain10,155.198.100.139,4.910846948623657,1,125.0,3.5,0.8,3f15d_00009
10,5,5,6,2,2,2,9.599999999999987,42.360000000000845,68.34000000000182,2.25,1.5,1.75,1.2325402065776607,0.5648101362539657,0.7501353315903733,-0.03471978114904567,0.07709943091180038,0.05842215089101954,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00010,2024-01-11_18-36-00,5.039505958557129,5.039505958557129,100605,cnl-brain10,155.198.100.139,5.039505958557129,1,150.0,2.5,0.8,3f15d_00010
11,5,4,6,2,2,3,9.47999999999999,42.330000000000844,69.18000000000185,2.0,1.75,1.75,1.1230428243855777,0.6539011549798398,0.7743228058430418,-0.028632456881101997,0.07396937902020262,0.07709595485976783,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00011,2024-01-11_18-36-00,4.911699056625366,4.911699056625366,100570,cnl-brain10,155.198.100.139,4.911699056625366,1,150.0,2.75,0.8,3f15d_00011
12,5,5,4,2,2,2,10.019999999999978,41.76000000000082,72.30000000000197,2.0,1.5,1.75,1.2064925587585795,0.6378547619477622,0.748469673037412,-0.03280240331722828,0.0653290556278513,0.061913825878555984,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00012,2024-01-11_18-36-00,4.872584819793701,4.872584819793701,100642,cnl-brain10,155.198.100.139,4.872584819793701,1,150.0,3.0,0.8,3f15d_00012
13,5,5,4,2,2,3,9.839999999999982,41.850000000000826,72.36000000000197,2.0,1.75,1.5,1.195746846322396,0.6389786116467472,0.7212717090799324,-0.05050120917765799,0.0753431512026922,0.07409159731307102,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00013,2024-01-11_18-36-00,4.926040410995483,4.926040410995483,100643,cnl-brain10,155.198.100.139,4.926040410995483,1,150.0,3.25,0.8,3f15d_00013
14,5,5,5,1,2,3,9.659999999999986,41.850000000000826,72.09000000000196,1.75,1.25,1.5,1.209013180463538,0.6942472262510179,1.0020096135534626,-0.03306007771066838,0.08768609048422915,0.05641893079079385,0.19270833333333331,-0.13020833333333337,-0.13020833333333337,1704998160,,False,1,3f15d_00014,2024-01-11_18-36-00,5.088850498199463,5.088850498199463,100571,cnl-brain10,155.198.100.139,5.088850498199463,1,150.0,3.5,0.8,3f15d_00014
15,5,5,4,2,2,2,9.659999999999986,41.850000000000826,72.39000000000198,2.25,1.5,1.75,1.3103668914294073,0.6387251442031241,0.6753508189139242,-0.023080708884180123,0.09268497536728071,0.042914204963448666,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00015,2024-01-11_18-36-00,5.0649943351745605,5.0649943351745605,100572,cnl-brain10,155.198.100.139,5.0649943351745605,1,175.0,2.5,0.8,3f15d_00015
16,5,5,6,2,2,3,9.749999999999984,41.850000000000826,68.31000000000182,2.0,1.5,1.75,1.1335086649731692,0.6296516494181298,0.7435082098203945,-0.03301848482367836,0.08198600046504656,0.07655797370680484,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00016,2024-01-11_18-36-00,4.919694423675537,4.919694423675537,100644,cnl-brain10,155.198.100.139,4.919694423675537,1,175.0,2.75,0.8,3f15d_00016
17,5,5,5,2,2,2,9.869999999999981,41.64000000000082,71.79000000000195,2.0,1.5,1.75,1.080657556501529,0.6795794154460381,0.6737575552535742,-0.023454490479125123,0.08047751359422173,0.04644079196541606,0.19270833333333331,-0.13020833333333337,-0.03645833333333337,1704998160,,False,1,3f15d_00017,2024-01-11_18-36-00,5.004293441772461,5.004293441772461,100702,cnl-brain10,155.198.100.139,5.004293441772461,1,175.0,3.0,0.8,3f15d_00017
18,5,5,6,1,2,2,9.47999999999999,41.91000000000083,67.8600000000018,1.75,1.5,1.5,1.1117217583369396,0.6020600882103002,0.7038657971337291,-0.03286745771944405,0.07108751792900403,0.051360501565069994,0.19270833333333331,-0.13020833333333337,0.5260416666666666,1704998160,,False,1,3f15d_00018,2024-01-11_18-36-00,5.017138957977295,5.017138957977295,100701,cnl-brain10,155.198.100.139,5.017138957977295,1,175.0,3.25,0.8,3f15d_00018
