,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
0,2.0,2.0,55.38000000000134,-0.0006856356499511662,1.25,-0.049999999999998934,0.5056255670475642,1.2801593945749388,1759199949,,False,1,96fee_00000,2025-09-30_03-39-09,16.56940746307373,16.56940746307373,3969455,cnl-brain9,155.198.99.250,16.56940746307373,1,0.12,0.2,0.8,96fee_00000
1,2.0,1.0,56.82000000000139,0.006089769639326725,1.25,-0.049999999999998934,0.530297682942714,1.2611235839874657,1759199949,,False,1,96fee_00001,2025-09-30_03-39-09,16.93760085105896,16.93760085105896,3969634,cnl-brain9,155.198.99.250,16.93760085105896,1,0.12,0.25,0.8,96fee_00001
2,2.0,1.0,56.70000000000139,0.004289580345132826,1.5,-0.049999999999998934,0.5098360178288042,1.2641761185392537,1759199948,,False,1,96fee_00002,2025-09-30_03-39-08,16.009385585784912,16.009385585784912,3969841,cnl-brain9,155.198.99.250,16.009385585784912,1,0.12,0.30000000000000004,0.8,96fee_00002
3,2.0,2.0,55.590000000001346,0.008003911641233596,1.5,-0.049999999999998934,0.477438282561081,1.3220498460821706,1759199950,,False,1,96fee_00003,2025-09-30_03-39-10,17.16082191467285,17.16082191467285,3969874,cnl-brain9,155.198.99.250,17.16082191467285,1,0.12,0.35000000000000003,0.8,96fee_00003
4,2.0,1.0,54.03000000000129,0.005084288606870047,1.75,-0.049999999999998934,0.5003876670863248,1.2957217920573787,1759199948,,False,1,96fee_00004,2025-09-30_03-39-08,15.875366687774658,15.875366687774658,3969942,cnl-brain9,155.198.99.250,15.875366687774658,1,0.12,0.4,0.8,96fee_00004
5,1.0,1.0,54.72000000000131,0.007948892175651423,1.0,-0.049999999999998934,0.5388680184478312,1.1273409552351523,1759199948,,False,1,96fee_00005,2025-09-30_03-39-08,16.066842079162598,16.066842079162598,3969941,cnl-brain9,155.198.99.250,16.066842079162598,1,0.12,0.2,0.9,96fee_00005
6,1.0,1.0,54.06000000000129,-0.0014741532054793893,1.25,-0.049999999999998934,0.4821560967471825,1.1758481318230956,1759199949,,False,1,96fee_00006,2025-09-30_03-39-09,16.655105352401733,16.655105352401733,3969939,cnl-brain9,155.198.99.250,16.655105352401733,1,0.12,0.25,0.9,96fee_00006
7,2.0,1.0,55.35000000000134,0.006236423224587284,1.25,-0.049999999999998934,0.541842759252877,1.2254456799373987,1759199948,,False,1,96fee_00007,2025-09-30_03-39-08,15.84358286857605,15.84358286857605,3970233,cnl-brain9,155.198.99.250,15.84358286857605,1,0.12,0.30000000000000004,0.9,96fee_00007
8,2.0,2.0,56.310000000001374,-0.0010784372595420422,1.5,-0.049999999999998934,0.5177037315144282,1.246895250835303,1759199950,,False,1,96fee_00008,2025-09-30_03-39-10,17.474797010421753,17.474797010421753,3970235,cnl-brain9,155.198.99.250,17.474797010421753,1,0.12,0.35000000000000003,0.9,96fee_00008
9,2.0,2.0,55.50000000000134,0.0066982959808816744,1.5,-0.049999999999998934,0.518689268391026,1.2500521084592526,1759199949,,False,1,96fee_00009,2025-09-30_03-39-09,16.96573567390442,16.96573567390442,3970236,cnl-brain9,155.198.99.250,16.96573567390442,1,0.12,0.4,0.9,96fee_00009
10,1.0,1.0,55.260000000001334,0.008575126729344351,1.0,-0.049999999999998934,0.5390087848451195,1.134022886413602,1759199949,,False,1,96fee_00010,2025-09-30_03-39-09,16.58165407180786,16.58165407180786,3970237,cnl-brain9,155.198.99.250,16.58165407180786,1,0.12,0.2,1.0,96fee_00010
11,1.0,1.0,55.560000000001345,0.012703892161071817,1.25,-0.049999999999998934,0.6650058425566479,1.09580748022239,1759199950,,False,1,96fee_00011,2025-09-30_03-39-10,17.455872774124146,17.455872774124146,3970238,cnl-brain9,155.198.99.250,17.455872774124146,1,0.12,0.25,1.0,96fee_00011
12,1.0,1.0,56.880000000001395,0.0033886209091691377,1.25,-0.049999999999998934,0.5068115518799403,1.2042991543632626,1759199949,,False,1,96fee_00012,2025-09-30_03-39-09,16.53077507019043,16.53077507019043,3970239,cnl-brain9,155.198.99.250,16.53077507019043,1,0.12,0.30000000000000004,1.0,96fee_00012
