,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_FWHM_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_FWHM_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_FWHM_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,3.0,1.0,39.30000000000073,0.01102147755040006,1.0,0.05000000000000071,1.1557099445664312,0.9869387828172674,0.0,0.0,,,0.0,0.05000000000000071,1.0893930324847263,0.9999337196591741,0.0,0.0,,,0.75,0.05000000000000071,1.0893930324847263,0.9999337196591741,1748702482,,False,1,203ad_00000,2025-05-31_15-41-22,79.90361428260803,79.90361428260803,1588434,cnl-brain9,155.198.99.250,79.90361428260803,1,0.12,0.2,0.8,203ad_00000
1,2.0,2.0,49.92000000000113,0.045136691816987984,1.5,-0.049999999999998934,0.6526018098105459,1.2905577520842137,2.0,1.0,293.45999999997485,-0.004909919499673787,1.5,-0.049999999999998934,0.6776037966670607,0.9786176589245925,1.0,1.0,725.429999999582,0.02106986821173651,1.0,-0.049999999999998934,0.744052912470107,0.9897870516900038,1748702481,,False,1,203ad_00001,2025-05-31_15-41-21,78.61321377754211,78.61321377754211,1588435,cnl-brain9,155.198.99.250,78.61321377754211,1,0.12,0.25,0.8,203ad_00001
2,3.0,1.0,50.19000000000114,0.016274851037599625,1.25,-0.049999999999998934,0.7695192423720467,1.1136390833925478,4.0,1.0,280.7699999999864,-0.03706080080623231,1.25,-0.049999999999998934,0.9562367863190548,1.0560921470140259,0.0,0.0,,,0.75,-0.049999999999998934,0.9562367863190548,1.0560921470140259,1748702471,,False,1,203ad_00002,2025-05-31_15-41-11,69.47739768028259,69.47739768028259,1588436,cnl-brain9,155.198.99.250,69.47739768028259,1,0.12,0.30000000000000004,0.8,203ad_00002
3,4.0,1.0,43.29000000000088,0.02985078336147584,1.5,-0.049999999999998934,0.7483667309905453,1.1939288623164819,3.0,2.0,393.29999999988405,-0.002849949793521933,1.75,0.05000000000000071,0.8317706469295354,1.0300515806763655,2.0,2.0,609.7499999996872,-0.041060694420621324,1.25,0.05000000000000071,0.8923913998846285,0.9693336734864911,1748702477,,False,1,203ad_00003,2025-05-31_15-41-17,74.3358645439148,74.3358645439148,1588437,cnl-brain9,155.198.99.250,74.3358645439148,1,0.12,0.35000000000000003,0.8,203ad_00003
4,4.0,2.0,78.93000000000222,0.04362471489656805,1.75,-0.049999999999998934,0.7726911195393598,1.1493592165936815,3.0,1.0,379.1699999998969,-0.039061580210661084,1.75,-0.049999999999998934,0.8426135039498828,1.0630389357663055,6.0,2.0,608.3699999996885,0.011872647265694702,1.75,-0.049999999999998934,0.8065371204549798,1.1474161018179763,1748702482,,False,1,203ad_00004,2025-05-31_15-41-22,79.59858775138855,79.59858775138855,1588438,cnl-brain9,155.198.99.250,79.59858775138855,1,0.12,0.4,0.8,203ad_00004
5,1.0,1.0,46.17000000000099,0.011410005930411415,1.0,-0.049999999999998934,0.5756830308867515,1.2966969929117345,1.0,1.0,313.91999999995625,0.011121181100457456,1.25,-0.049999999999998934,0.6042929966177533,1.1089106798714223,0.0,0.0,,,0.0,-0.049999999999998934,0.6042929966177533,1.1089106798714223,1748702471,,False,1,203ad_00005,2025-05-31_15-41-11,68.72209215164185,68.72209215164185,1588439,cnl-brain9,155.198.99.250,68.72209215164185,1,0.12,0.2,0.9,203ad_00005
6,2.0,1.0,113.52000000000353,0.03385145762506481,1.25,-0.049999999999998934,0.8547636665425009,1.1350358719790348,0.0,0.0,,,0.75,-0.049999999999998934,0.8547636665425009,1.1350358719790348,0.0,0.0,,,0.75,-0.049999999999998934,0.8547636665425009,1.1350358719790348,1748702480,,False,1,203ad_00006,2025-05-31_15-41-20,78.0935537815094,78.0935537815094,1588444,cnl-brain9,155.198.99.250,78.0935537815094,1,0.12,0.25,0.9,203ad_00006
7,2.0,1.0,46.590000000001005,0.002586318761023332,1.5,-0.049999999999998934,0.8360958709387809,1.0631223074794536,0.0,0.0,,,0.75,-0.049999999999998934,0.8360958709387809,1.0631223074794536,0.0,0.0,,,0.75,-0.049999999999998934,0.8360958709387809,1.0631223074794536,1748702480,,False,1,203ad_00007,2025-05-31_15-41-20,76.82665038108826,76.82665038108826,1588443,cnl-brain9,155.198.99.250,76.82665038108826,1,0.12,0.30000000000000004,0.9,203ad_00007
8,2.0,1.0,76.35000000000213,0.026130622758860245,1.25,-0.14999999999999902,0.8735061987646224,0.8984498533230453,2.0,1.0,300.6899999999683,-0.03647027151553317,1.0,-0.049999999999998934,0.9289028832540263,1.0921059277668215,0.0,0.0,,,0.5,-0.049999999999998934,0.9289028832540263,1.0921059277668215,1748702488,,False,1,203ad_00008,2025-05-31_15-41-28,85.27765464782715,85.27765464782715,1588442,cnl-brain9,155.198.99.250,85.27765464782715,1,0.12,0.35000000000000003,0.9,203ad_00008
9,2.0,1.0,49.740000000001125,0.012798271377821191,1.5,0.05000000000000071,0.8054505283368867,1.155959534316578,3.0,1.0,286.85999999998086,-0.026413969029469797,1.0,0.05000000000000071,0.8854754475940751,1.0977211392001622,1.0,1.0,823.379999999493,-0.030176726595962045,1.25,0.05000000000000071,0.9368142886060937,1.0614016317467114,1748702491,,False,1,203ad_00009,2025-05-31_15-41-31,88.98897004127502,88.98897004127502,1588441,cnl-brain9,155.198.99.250,88.98897004127502,1,0.12,0.4,0.9,203ad_00009
