,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
13,1,1,0,1,1,0,78.90000000000222,216.60000000000744,,1.75,1.5,0.0,1.2234079201900918,1.2255695614454494,1.2255695614454494,0.0478905418254601,-0.07514876927744618,,0.078125,-0.109375,-0.109375,1722393564,,False,1,09e20_00013,2024-07-31_03-39-24,21.636191844940186,21.636191844940186,62361,cnl-brain10,155.198.100.139,21.636191844940186,1,0.45,200.0,3.5,09e20_00013
14,1,1,0,1,1,0,82.83000000000237,252.3000000000088,,2.0,1.75,0.0,1.4471818756853263,0.7406674407899518,0.7406674407899518,0.06479641193902091,-0.08331018492267095,,0.078125,-0.015625,-0.015625,1722393568,,False,1,09e20_00014,2024-07-31_03-39-28,26.05199885368347,26.05199885368347,62362,cnl-brain10,155.198.100.139,26.05199885368347,1,0.5,200.0,3.5,09e20_00014
15,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393566,,False,1,09e20_00015,2024-07-31_03-39-26,23.77633261680603,23.77633261680603,62379,cnl-brain10,155.198.100.139,23.77633261680603,1,0.3,200.0,3.0,09e20_00015
16,1,0,0,1,0,0,84.30000000000243,,,1.5,0.0,0.0,1.642393887496211,1.642393887496211,1.642393887496211,-0.008367527675102848,,,-0.015625,-0.015625,-0.015625,1722393568,,False,1,09e20_00016,2024-07-31_03-39-28,25.811429500579834,25.811429500579834,62417,cnl-brain10,155.198.100.139,25.811429500579834,1,0.35,200.0,3.0,09e20_00016
17,1,1,0,1,1,0,81.33000000000231,218.55000000000751,,2.0,1.5,0.0,1.1443322063739036,1.201848728118957,1.201848728118957,0.031218439040195445,-0.07382485895842994,,0.078125,-0.109375,-0.109375,1722393564,,False,1,09e20_00017,2024-07-31_03-39-24,22.591096878051758,22.591096878051758,62414,cnl-brain10,155.198.100.139,22.591096878051758,1,0.4,200.0,3.0,09e20_00017
18,1,1,0,1,1,0,79.83000000000226,221.76000000000764,,2.0,2.0,0.0,1.2794909132874774,1.1877894820524086,1.1877894820524086,0.05166462451685222,-0.07571473017030883,,0.078125,-0.109375,-0.109375,1722393566,,False,1,09e20_00018,2024-07-31_03-39-26,23.63363242149353,23.63363242149353,62413,cnl-brain10,155.198.100.139,23.63363242149353,1,0.45,200.0,3.0,09e20_00018
19,2,1,0,2,1,0,79.08000000000223,221.85000000000764,,2.25,2.5,0.0,1.4793379463714686,1.2652358217485076,1.2652358217485076,0.06894440775741234,-0.08685833469880144,,0.078125,-0.109375,-0.109375,1722393563,,False,1,09e20_00019,2024-07-31_03-39-23,21.626094341278076,21.626094341278076,62404,cnl-brain10,155.198.100.139,21.626094341278076,1,0.5,200.0,3.0,09e20_00019
20,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393568,,False,1,09e20_00020,2024-07-31_03-39-28,25.953075408935547,25.953075408935547,62448,cnl-brain10,155.198.100.139,25.953075408935547,1,0.3,200.0,2.5,09e20_00020
21,1,0,0,1,0,0,79.68000000000225,,,1.75,0.0,0.0,0.8667929461442903,0.8667929461442903,0.8667929461442903,-0.0010451661335585394,,,0.078125,0.078125,0.078125,1722393568,,False,1,09e20_00021,2024-07-31_03-39-28,26.39211869239807,26.39211869239807,62449,cnl-brain10,155.198.100.139,26.39211869239807,1,0.35,200.0,2.5,09e20_00021
22,1,1,0,1,1,0,81.84000000000233,218.1300000000075,,2.5,2.0,0.0,1.1309488671405195,0.7024880964098527,0.7024880964098527,0.03344818182521697,-0.07853553912842615,,0.078125,-0.015625,-0.015625,1722393566,,False,1,09e20_00022,2024-07-31_03-39-26,23.628933906555176,23.628933906555176,62501,cnl-brain10,155.198.100.139,23.628933906555176,1,0.4,200.0,2.5,09e20_00022
