,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,1,0,0,1,0,0,96.12000000000288,,,1.0,0.0,0.0,0.9702850597311633,0.9702850597311633,0.9702850597311633,-0.00021304695764534642,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059575,,False,1,f42d3_00000,2025-05-12_15-19-35,71.93838453292847,71.93838453292847,71197,cnl-brain9,155.198.99.250,71.93838453292847,1,0.12,0.2,1.1,f42d3_00000
1,1,0,0,1,0,0,95.19000000000284,,,1.0,0.0,0.0,0.9564467617032061,0.9564467617032061,0.9564467617032061,-0.006176806549547553,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059594,,False,1,f42d3_00001,2025-05-12_15-19-54,90.54687643051147,90.54687643051147,71198,cnl-brain9,155.198.99.250,90.54687643051147,1,0.12,0.25,1.1,f42d3_00001
2,1,0,0,1,0,0,55.92000000000136,,,1.25,0.0,0.0,0.968641784175456,0.968641784175456,0.968641784175456,0.004381837627040586,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059577,,False,1,f42d3_00002,2025-05-12_15-19-37,73.82458424568176,73.82458424568176,71199,cnl-brain9,155.198.99.250,73.82458424568176,1,0.12,0.30000000000000004,1.1,f42d3_00002
3,1,0,0,1,0,0,55.530000000001344,,,1.25,0.0,0.5,0.9674461377331405,0.9674461377331405,0.9674461377331405,-0.00011043141990318972,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059578,,False,1,f42d3_00003,2025-05-12_15-19-38,74.755366563797,74.755366563797,71200,cnl-brain9,155.198.99.250,74.755366563797,1,0.12,0.35000000000000003,1.1,f42d3_00003
4,1,0,1,1,0,1,56.43000000000138,,780.1799999995322,1.5,0.75,1.0,0.9697035370600771,0.9697035370600771,0.8195998697936285,-0.0025367992810725326,,0.008196739240903028,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059576,,False,1,f42d3_00004,2025-05-12_15-19-36,72.43063306808472,72.43063306808472,71201,cnl-brain9,155.198.99.250,72.43063306808472,1,0.12,0.4,1.1,f42d3_00004
5,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059584,,False,1,f42d3_00005,2025-05-12_15-19-44,79.60808229446411,79.60808229446411,71206,cnl-brain9,155.198.99.250,79.60808229446411,1,0.12,0.2,1.2,f42d3_00005
6,1,0,0,1,0,0,54.96000000000132,,,1.0,0.0,0.0,0.9582903443618587,0.9582903443618587,0.9582903443618587,-0.001182090119510093,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059590,,False,1,f42d3_00006,2025-05-12_15-19-50,86.26273465156555,86.26273465156555,71205,cnl-brain9,155.198.99.250,86.26273465156555,1,0.12,0.25,1.2,f42d3_00006
7,1,0,0,1,0,0,55.23000000000133,,,1.0,0.0,0.0,0.9640884380622051,0.9640884380622051,0.9640884380622051,-0.011707826897850548,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059583,,False,1,f42d3_00007,2025-05-12_15-19-43,79.89358186721802,79.89358186721802,71204,cnl-brain9,155.198.99.250,79.89358186721802,1,0.12,0.30000000000000004,1.2,f42d3_00007
8,1,0,0,1,0,0,56.13000000000137,,,1.25,0.0,0.0,0.9548381865333266,0.9548381865333266,0.9548381865333266,-0.008259711794817992,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059588,,False,1,f42d3_00008,2025-05-12_15-19-48,84.43234062194824,84.43234062194824,71203,cnl-brain9,155.198.99.250,84.43234062194824,1,0.12,0.35000000000000003,1.2,f42d3_00008
9,1,0,0,1,0,0,57.21000000000141,,,1.25,0.0,0.0,0.9588150645493948,0.9588150645493948,0.9588150645493948,-0.004950960232059209,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059580,,False,1,f42d3_00009,2025-05-12_15-19-40,76.48642683029175,76.48642683029175,71202,cnl-brain9,155.198.99.250,76.48642683029175,1,0.12,0.4,1.2,f42d3_00009
10,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059577,,False,1,f42d3_00010,2025-05-12_15-19-37,73.19267296791077,73.19267296791077,71207,cnl-brain9,155.198.99.250,73.19267296791077,1,0.12,0.2,1.3,f42d3_00010
11,1,0,0,1,0,0,135.96000000000438,,,1.0,0.0,0.0,0.962828589195067,0.962828589195067,0.962828589195067,0.0029850057978411115,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059581,,False,1,f42d3_00011,2025-05-12_15-19-41,77.57853746414185,77.57853746414185,71208,cnl-brain9,155.198.99.250,77.57853746414185,1,0.12,0.25,1.3,f42d3_00011
12,1,0,0,1,0,0,56.82000000000139,,,1.0,0.0,0.0,0.9740945662147996,0.9740945662147996,0.9740945662147996,-0.005100670132250684,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059577,,False,1,f42d3_00012,2025-05-12_15-19-37,73.37801671028137,73.37801671028137,71209,cnl-brain9,155.198.99.250,73.37801671028137,1,0.12,0.30000000000000004,1.3,f42d3_00012
13,1,0,0,1,0,0,55.44000000000134,,,1.0,0.0,0.0,0.9600580940718757,0.9600580940718757,0.9600580940718757,-0.009618067553107235,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059590,,False,1,f42d3_00013,2025-05-12_15-19-50,86.23490476608276,86.23490476608276,71215,cnl-brain9,155.198.99.250,86.23490476608276,1,0.12,0.35000000000000003,1.3,f42d3_00013
14,1,0,0,1,0,0,54.4500000000013,,,1.25,0.0,0.0,0.9668226192934604,0.9668226192934604,0.9668226192934604,-0.007527634778627501,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059591,,False,1,f42d3_00014,2025-05-12_15-19-51,87.11611413955688,87.11611413955688,71216,cnl-brain9,155.198.99.250,87.11611413955688,1,0.12,0.4,1.3,f42d3_00014
15,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059590,,False,1,f42d3_00015,2025-05-12_15-19-50,86.2982394695282,86.2982394695282,71217,cnl-brain9,155.198.99.250,86.2982394695282,1,0.12,0.2,1.4,f42d3_00015
16,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059585,,False,1,f42d3_00016,2025-05-12_15-19-45,81.10159850120544,81.10159850120544,71218,cnl-brain9,155.198.99.250,81.10159850120544,1,0.12,0.25,1.4,f42d3_00016
17,1,0,0,1,0,0,93.72000000000278,,,1.0,0.0,0.0,0.9726473993205784,0.9726473993205784,0.9726473993205784,-0.004042210137552349,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059576,,False,1,f42d3_00017,2025-05-12_15-19-36,72.73462200164795,72.73462200164795,71219,cnl-brain9,155.198.99.250,72.73462200164795,1,0.12,0.30000000000000004,1.4,f42d3_00017
18,1,0,0,1,0,0,95.64000000000286,,,1.0,0.0,0.0,0.9732332525780174,0.9732332525780174,0.9732332525780174,0.0010370227565115187,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059581,,False,1,f42d3_00018,2025-05-12_15-19-41,77.68297672271729,77.68297672271729,71220,cnl-brain9,155.198.99.250,77.68297672271729,1,0.12,0.35000000000000003,1.4,f42d3_00018
19,1,0,0,1,0,0,56.22000000000137,,,1.0,0.0,0.0,0.9357843019549715,0.9357843019549715,0.9357843019549715,-0.010364277279111711,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059574,,False,1,f42d3_00019,2025-05-12_15-19-34,70.17144632339478,70.17144632339478,71221,cnl-brain9,155.198.99.250,70.17144632339478,1,0.12,0.4,1.4,f42d3_00019
20,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059580,,False,1,f42d3_00020,2025-05-12_15-19-40,76.2317955493927,76.2317955493927,71222,cnl-brain9,155.198.99.250,76.2317955493927,1,0.12,0.2,1.5,f42d3_00020
21,0,0,0,0,0,0,,,,0.75,0.75,0.75,,,,,,,,,,1747059583,,False,1,f42d3_00021,2025-05-12_15-19-43,79.86689281463623,79.86689281463623,71223,cnl-brain9,155.198.99.250,79.86689281463623,1,0.12,0.25,1.5,f42d3_00021
22,1,0,0,1,0,0,55.23000000000133,,,1.0,0.0,0.0,0.9665304996051503,0.9665304996051503,0.9665304996051503,0.001531239479742652,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059593,,False,1,f42d3_00022,2025-05-12_15-19-53,89.43573451042175,89.43573451042175,71224,cnl-brain9,155.198.99.250,89.43573451042175,1,0.12,0.30000000000000004,1.5,f42d3_00022
23,1,0,0,1,0,0,94.89000000000283,,,1.0,0.0,0.0,0.9805996720859776,0.9805996720859776,0.9805996720859776,-0.0056086126264807135,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059578,,False,1,f42d3_00023,2025-05-12_15-19-38,74.25765371322632,74.25765371322632,71225,cnl-brain9,155.198.99.250,74.25765371322632,1,0.12,0.35000000000000003,1.5,f42d3_00023
24,1,0,0,1,0,0,55.77000000000135,,,1.0,0.0,0.0,0.9572190645339643,0.9572190645339643,0.9572190645339643,0.0011418520694812528,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059586,,False,1,f42d3_00024,2025-05-12_15-19-46,83.00318455696106,83.00318455696106,71226,cnl-brain9,155.198.99.250,83.00318455696106,1,0.12,0.4,1.5,f42d3_00024
25,1,0,0,1,0,0,55.23000000000133,,,1.0,0.0,0.0,0.9730238733363983,0.9730238733363983,0.9730238733363983,0.0014772370485340858,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059577,,False,1,f42d3_00025,2025-05-12_15-19-37,73.71936058998108,73.71936058998108,71227,cnl-brain9,155.198.99.250,73.71936058998108,1,0.13,0.2,1.1,f42d3_00025
26,1,0,0,1,0,0,57.0900000000014,,,1.0,0.0,0.0,0.949838089314167,0.949838089314167,0.949838089314167,-7.133591206187617e-06,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059583,,False,1,f42d3_00026,2025-05-12_15-19-43,79.9485080242157,79.9485080242157,71228,cnl-brain9,155.198.99.250,79.9485080242157,1,0.13,0.25,1.1,f42d3_00026
27,1,0,0,1,0,0,55.830000000001355,,,1.0,0.0,0.0,0.9398829236735778,0.9398829236735778,0.9398829236735778,-0.009884939005209592,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059576,,False,1,f42d3_00027,2025-05-12_15-19-36,72.56666421890259,72.56666421890259,71229,cnl-brain9,155.198.99.250,72.56666421890259,1,0.13,0.30000000000000004,1.1,f42d3_00027
28,1,0,0,1,0,0,55.290000000001335,,,1.25,0.0,0.5,0.9580504243656401,0.9580504243656401,0.9580504243656401,-0.010528018575179932,,,0.049999999999998934,0.049999999999998934,0.049999999999998934,1747059580,,False,1,f42d3_00028,2025-05-12_15-19-40,75.79423213005066,75.79423213005066,71230,cnl-brain9,155.198.99.250,75.79423213005066,1,0.13,0.35000000000000003,1.1,f42d3_00028
