,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
0,5,5,5,2,1,2,10.049999999999978,41.91000000000083,72.12000000000197,2.0,1.5,2.0,0.7462719849094294,0.557539391376244,0.8593161864043204,-0.052983789361676914,0.07513700957291497,0.08547855668645138,0.359375,-0.109375,-0.015625,1704997978,,False,1,d26e6_00000,2024-01-11_18-32-58,4.911544322967529,4.911544322967529,88674,cnl-brain10,155.198.100.139,4.911544322967529,1,100.0,2.5,0.8,d26e6_00000
1,5,5,6,2,2,3,10.049999999999978,42.21000000000084,68.40000000000182,1.75,1.75,1.75,0.7130982481206259,0.5435970666680758,0.7055632742920444,-0.04690376282582387,0.04608055084931939,0.04660224739546942,0.359375,-0.109375,0.359375,1704997977,,False,1,d26e6_00001,2024-01-11_18-32-57,4.887966871261597,4.887966871261597,88708,cnl-brain10,155.198.100.139,4.887966871261597,1,100.0,2.75,0.8,d26e6_00001
2,5,5,4,2,1,3,10.199999999999974,42.120000000000836,72.57000000000198,2.0,1.75,1.75,0.7370010529379423,0.6081017536948278,0.7353588192508183,-0.0735599117833814,0.050054252960941514,0.035260555333480714,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00002,2024-01-11_18-32-58,4.747683763504028,4.747683763504028,88725,cnl-brain10,155.198.100.139,4.747683763504028,1,100.0,3.0,0.8,d26e6_00002
3,5,4,6,1,2,3,9.719999999999985,42.630000000000855,68.52000000000183,1.75,1.5,1.5,0.6822380558318822,0.5942006053435279,0.6911673450699132,-0.0428875945144751,0.06164830295514545,0.051255162886672145,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00003,2024-01-11_18-32-58,5.118374347686768,5.118374347686768,88726,cnl-brain10,155.198.100.139,5.118374347686768,1,100.0,3.25,0.8,d26e6_00003
4,5,5,6,1,2,3,9.89999999999998,42.27000000000084,68.70000000000184,1.75,1.5,1.5,0.6920813649811869,0.5670983837884314,0.672951311135844,-0.03990166142659646,0.06879253036920352,0.07081125848899383,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00004,2024-01-11_18-32-58,5.178476095199585,5.178476095199585,88759,cnl-brain10,155.198.100.139,5.178476095199585,1,100.0,3.5,0.8,d26e6_00004
5,5,5,6,2,2,4,10.109999999999976,42.060000000000834,68.73000000000184,2.0,1.75,1.75,0.7495710198584513,0.5467711316802357,0.7131309243890511,-0.05453321189705174,0.07277855896666507,0.053347026354478855,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00005,2024-01-11_18-32-58,4.83808159828186,4.83808159828186,88818,cnl-brain10,155.198.100.139,4.83808159828186,1,125.0,2.5,0.8,d26e6_00005
6,5,5,5,2,1,3,10.079999999999977,41.88000000000083,71.64000000000195,1.75,1.5,1.75,0.694988661641521,0.6041212042792977,0.9996868164883401,-0.06183170311729469,0.05409429205758859,0.04847464586975986,0.359375,-0.109375,-0.109375,1704997978,,False,1,d26e6_00006,2024-01-11_18-32-58,5.021676540374756,5.021676540374756,88945,cnl-brain10,155.198.100.139,5.021676540374756,1,125.0,2.75,0.8,d26e6_00006
7,5,5,6,2,2,2,10.019999999999978,42.390000000000846,68.73000000000184,1.75,1.5,1.75,0.6007177794789785,0.5568305162223889,0.7339493932992668,-0.04780947938205038,0.07545184331734517,0.06444905024679803,0.359375,-0.109375,0.359375,1704997977,,False,1,d26e6_00007,2024-01-11_18-32-57,4.591407775878906,4.591407775878906,88944,cnl-brain10,155.198.100.139,4.591407775878906,1,125.0,3.0,0.8,d26e6_00007
8,5,5,4,2,1,3,10.079999999999977,41.94000000000083,72.66000000000199,1.75,1.5,1.75,0.7024275498385066,0.5723888437444256,0.6738558104773615,-0.0578391461872132,0.05836204418716323,0.06542448417629954,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00008,2024-01-11_18-32-58,4.8793580532073975,4.8793580532073975,88943,cnl-brain10,155.198.100.139,4.8793580532073975,1,125.0,3.25,0.8,d26e6_00008
9,5,5,6,2,2,3,10.079999999999977,42.15000000000084,68.34000000000182,1.75,1.75,1.75,0.7236581808975202,0.512352838777267,0.6957446729045055,-0.05415260579483949,0.05387178033791362,0.04931146070411657,0.359375,-0.109375,0.359375,1704997978,,False,1,d26e6_00009,2024-01-11_18-32-58,5.0546746253967285,5.0546746253967285,88942,cnl-brain10,155.198.100.139,5.0546746253967285,1,125.0,3.5,0.8,d26e6_00009
