,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
0,1.0,1.0,44.04000000000091,-0.009872561457120899,1.25,-0.049999999999998934,0.5951102399276413,1.1885866686846125,1748701131,,False,1,1fe50_00000,2025-05-31_15-18-51,18.4856858253479,18.4856858253479,1555575,cnl-brain9,155.198.99.250,18.4856858253479,1,0.12,0.2,0.8,1fe50_00000
1,2.0,1.0,49.92000000000113,0.02614828074915332,1.25,-0.049999999999998934,0.6782258240937589,1.1697612680214815,1748701140,,False,1,1fe50_00001,2025-05-31_15-19-00,26.528626441955566,26.528626441955566,1555576,cnl-brain9,155.198.99.250,26.528626441955566,1,0.12,0.25,0.8,1fe50_00001
2,4.0,1.0,44.07000000000091,0.04180885621172292,1.5,0.05000000000000071,0.9946815042813557,1.1587853112420659,1748701136,,False,1,1fe50_00002,2025-05-31_15-18-56,22.73434591293335,22.73434591293335,1555577,cnl-brain9,155.198.99.250,22.73434591293335,1,0.12,0.30000000000000004,0.8,1fe50_00002
3,3.0,2.0,47.49000000000104,0.05939423598650917,1.25,-0.049999999999998934,0.7089489031678506,1.423278736954609,1748701135,,False,1,1fe50_00003,2025-05-31_15-18-55,21.613013744354248,21.613013744354248,1555578,cnl-brain9,155.198.99.250,21.613013744354248,1,0.12,0.35000000000000003,0.8,1fe50_00003
4,5.0,1.0,47.100000000001025,0.05760121701028931,1.25,-0.049999999999998934,0.8940744145231809,1.0857079006767967,1748701131,,False,1,1fe50_00004,2025-05-31_15-18-51,18.10410761833191,18.10410761833191,1555579,cnl-brain9,155.198.99.250,18.10410761833191,1,0.12,0.4,0.8,1fe50_00004
5,1.0,1.0,51.54000000000119,0.00560509300591816,1.0,-0.049999999999998934,0.5941306782119673,1.279501711400506,1748701138,,False,1,1fe50_00005,2025-05-31_15-18-58,25.0776047706604,25.0776047706604,1555580,cnl-brain9,155.198.99.250,25.0776047706604,1,0.12,0.2,0.9,1fe50_00005
6,2.0,1.0,49.29000000000111,0.031918554651333864,1.0,-0.14999999999999902,0.9861570775789215,0.9085874071096867,1748701133,,False,1,1fe50_00006,2025-05-31_15-18-53,19.708911895751953,19.708911895751953,1555585,cnl-brain9,155.198.99.250,19.708911895751953,1,0.12,0.25,0.9,1fe50_00006
7,2.0,1.0,48.06000000000106,0.020864507364457552,1.0,-0.049999999999998934,0.8101727210486791,1.1091373075533357,1748701139,,False,1,1fe50_00007,2025-05-31_15-18-59,25.402588605880737,25.402588605880737,1555584,cnl-brain9,155.198.99.250,25.402588605880737,1,0.12,0.30000000000000004,0.9,1fe50_00007
8,3.0,1.0,53.34000000000126,0.018793403960031707,1.5,0.05000000000000071,0.9423044772601412,1.1763937854656352,1748701139,,False,1,1fe50_00008,2025-05-31_15-18-59,24.96029829978943,24.96029829978943,1555583,cnl-brain9,155.198.99.250,24.96029829978943,1,0.12,0.35000000000000003,0.9,1fe50_00008
9,2.0,1.0,44.190000000000914,0.056347068491159114,1.5,-0.14999999999999902,0.8965565608332038,0.8845257206568446,1748701132,,False,1,1fe50_00009,2025-05-31_15-18-52,18.116041898727417,18.116041898727417,1555582,cnl-brain9,155.198.99.250,18.116041898727417,1,0.12,0.4,0.9,1fe50_00009
10,2.0,1.0,45.96000000000098,0.017870594211161883,1.0,0.05000000000000071,0.7403526541785221,1.2510563814556652,1748701132,,False,1,1fe50_00010,2025-05-31_15-18-52,18.338209867477417,18.338209867477417,1555581,cnl-brain9,155.198.99.250,18.338209867477417,1,0.12,0.2,1.0,1fe50_00010
11,1.0,1.0,43.650000000000894,0.03932075461019435,1.0,-0.049999999999998934,0.7026267622589457,1.0608674503828102,1748701143,,False,1,1fe50_00011,2025-05-31_15-19-03,28.846225261688232,28.846225261688232,1555586,cnl-brain9,155.198.99.250,28.846225261688232,1,0.12,0.25,1.0,1fe50_00011
12,2.0,1.0,91.5300000000027,0.04528462686830359,1.0,0.05000000000000071,1.5863029473207177,0.9433676168508116,1748701133,,False,1,1fe50_00012,2025-05-31_15-18-53,19.973966598510742,19.973966598510742,1555587,cnl-brain9,155.198.99.250,19.973966598510742,1,0.12,0.30000000000000004,1.0,1fe50_00012
13,2.0,1.0,48.84000000000109,0.015241810654383237,1.25,-0.049999999999998934,0.7152594611071046,1.0653513355395146,1748701132,,False,1,1fe50_00013,2025-05-31_15-18-52,17.994553565979004,17.994553565979004,1555588,cnl-brain9,155.198.99.250,17.994553565979004,1,0.12,0.35000000000000003,1.0,1fe50_00013
14,2.0,2.0,47.28000000000103,-0.011679596303416417,1.75,-0.049999999999998934,0.7501013440183852,1.2293546360197656,1748701139,,False,1,1fe50_00014,2025-05-31_15-18-59,24.270591974258423,24.270591974258423,1555589,cnl-brain9,155.198.99.250,24.270591974258423,1,0.12,0.4,1.0,1fe50_00014
15,1.0,1.0,254.16000000000886,0.0069630952202097696,1.0,,0.0,,1748701142,,False,1,1fe50_00015,2025-05-31_15-19-02,27.70984721183777,27.70984721183777,1555590,cnl-brain9,155.198.99.250,27.70984721183777,1,0.12,0.2,1.1,1fe50_00015
