,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
20,0,0,,0.0,,,,1705546056,,False,1,e826f_00020,2024-01-18_02-47-36,8.771938562393188,8.771938562393188,33707,cnl-brain10,155.198.100.139,8.771938562393188,1,0.3,200.0,2.5,e826f_00020
21,1,1,92.97000000000276,2.0,1.0812743252559043,0.006021079737245083,0.046875,1705546056,,False,1,e826f_00021,2024-01-18_02-47-36,8.913860559463501,8.913860559463501,33706,cnl-brain10,155.198.100.139,8.913860559463501,1,0.35,200.0,2.5,e826f_00021
22,1,1,93.36000000000277,2.5,0.7617064440170367,0.035789092834253466,0.140625,1705546056,,False,1,e826f_00022,2024-01-18_02-47-36,8.885894060134888,8.885894060134888,33711,cnl-brain10,155.198.100.139,8.885894060134888,1,0.4,200.0,2.5,e826f_00022
23,1,1,93.09000000000276,3.0,0.8678003966187293,0.05226444561039423,0.140625,1705546056,,False,1,e826f_00023,2024-01-18_02-47-36,9.259138345718384,9.259138345718384,33710,cnl-brain10,155.198.100.139,9.259138345718384,1,0.45,200.0,2.5,e826f_00023
24,1,1,93.18000000000276,3.25,0.8845913075160715,0.06948553367425836,0.140625,1705546057,,False,1,e826f_00024,2024-01-18_02-47-37,9.396050930023193,9.396050930023193,33709,cnl-brain10,155.198.100.139,9.396050930023193,1,0.5,200.0,2.5,e826f_00024
25,0,0,,0.0,,,,1705546055,,False,1,e826f_00025,2024-01-18_02-47-35,8.393844366073608,8.393844366073608,33715,cnl-brain10,155.198.100.139,8.393844366073608,1,0.3,200.0,2.0,e826f_00025
26,1,1,93.78000000000279,2.5,0.9894049730412022,0.0058696147615688865,0.046875,1705546057,,False,1,e826f_00026,2024-01-18_02-47-37,9.116010904312134,9.116010904312134,33714,cnl-brain10,155.198.100.139,9.116010904312134,1,0.35,200.0,2.0,e826f_00026
27,1,1,91.83000000000271,3.75,1.4213167529818311,0.033724483887561885,0.046875,1705546056,,False,1,e826f_00027,2024-01-18_02-47-36,8.480851173400879,8.480851173400879,33713,cnl-brain10,155.198.100.139,8.480851173400879,1,0.4,200.0,2.0,e826f_00027
28,1,1,92.55000000000274,4.5,0.784914749107945,0.05361592215092581,0.140625,1705546056,,False,1,e826f_00028,2024-01-18_02-47-36,9.054840803146362,9.054840803146362,33712,cnl-brain10,155.198.100.139,9.054840803146362,1,0.45,200.0,2.0,e826f_00028
29,1,1,89.85000000000264,4.75,0.8615656032057945,0.07271692226531279,0.140625,1705546057,,False,1,e826f_00029,2024-01-18_02-47-37,9.156496047973633,9.156496047973633,33718,cnl-brain10,155.198.100.139,9.156496047973633,1,0.5,200.0,2.0,e826f_00029
30,0,0,,0.0,,,,1705546056,,False,1,e826f_00030,2024-01-18_02-47-36,8.397594928741455,8.397594928741455,33717,cnl-brain10,155.198.100.139,8.397594928741455,1,0.3,250.0,4.5,e826f_00030
31,0,0,,0.0,,,,1705546057,,False,1,e826f_00031,2024-01-18_02-47-37,9.3566255569458,9.3566255569458,33716,cnl-brain10,155.198.100.139,9.3566255569458,1,0.35,250.0,4.5,e826f_00031
