,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
18,5,2,9.869999999999981,1.75,0.7190973928115251,-0.052573567323199843,0.359375,1704997846,,False,1,85ac0_00018,2024-01-11_18-30-46,1.7896559238433838,1.7896559238433838,76805,cnl-brain10,155.198.100.139,1.7896559238433838,1,175.0,3.25,0.8,85ac0_00018
19,5,2,10.319999999999972,1.5,0.8254280618497613,-0.05428191983463071,0.359375,1704997845,,False,1,85ac0_00019,2024-01-11_18-30-45,1.6474692821502686,1.6474692821502686,76804,cnl-brain10,155.198.100.139,1.6474692821502686,1,175.0,3.5,0.8,85ac0_00019
20,5,1,10.109999999999976,2.0,0.6863647253578571,-0.04944818308918464,0.359375,1704997846,,False,1,85ac0_00020,2024-01-11_18-30-46,1.6138525009155273,1.6138525009155273,76803,cnl-brain10,155.198.100.139,1.6138525009155273,1,200.0,2.5,0.8,85ac0_00020
21,5,1,10.049999999999978,2.0,0.8137555684010338,-0.049497650194973986,0.359375,1704997846,,False,1,85ac0_00021,2024-01-11_18-30-46,1.674241065979004,1.674241065979004,76807,cnl-brain10,155.198.100.139,1.674241065979004,1,200.0,2.75,0.8,85ac0_00021
22,5,2,10.049999999999978,1.75,0.6670610284947733,-0.06975040772508234,0.359375,1704997845,,False,1,85ac0_00022,2024-01-11_18-30-45,1.6118009090423584,1.6118009090423584,76808,cnl-brain10,155.198.100.139,1.6118009090423584,1,200.0,3.0,0.8,85ac0_00022
23,5,2,9.749999999999984,1.5,0.7849575549334239,-0.06417590243047777,0.359375,1704997846,,False,1,85ac0_00023,2024-01-11_18-30-46,1.612248420715332,1.612248420715332,76809,cnl-brain10,155.198.100.139,1.612248420715332,1,200.0,3.25,0.8,85ac0_00023
24,5,2,10.139999999999976,1.75,0.7302113426628378,-0.03550977378257936,0.359375,1704997846,,False,1,85ac0_00024,2024-01-11_18-30-46,1.6282708644866943,1.6282708644866943,76810,cnl-brain10,155.198.100.139,1.6282708644866943,1,200.0,3.5,0.8,85ac0_00024
25,5,1,9.89999999999998,2.0,0.7450916542410352,-0.04805045106043593,0.359375,1704997845,,False,1,85ac0_00025,2024-01-11_18-30-45,1.5880959033966064,1.5880959033966064,76811,cnl-brain10,155.198.100.139,1.5880959033966064,1,100.0,2.5,0.8500000000000001,85ac0_00025
26,5,1,9.92999999999998,1.75,0.734141111637467,-0.04899845194079033,0.359375,1704997845,,False,1,85ac0_00026,2024-01-11_18-30-45,1.3264806270599365,1.3264806270599365,76812,cnl-brain10,155.198.100.139,1.3264806270599365,1,100.0,2.75,0.8500000000000001,85ac0_00026
27,5,2,9.89999999999998,1.75,0.7275449369282093,-0.07145970156840242,0.359375,1704997845,,False,1,85ac0_00027,2024-01-11_18-30-45,1.6437149047851562,1.6437149047851562,76816,cnl-brain10,155.198.100.139,1.6437149047851562,1,100.0,3.0,0.8500000000000001,85ac0_00027
