,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,num_traj_total,time_total,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,config/seed,logdir
15,0,0,,,0.5,,0,,0.695789420928435,0.994405961742071,10,199.77,1776661819,,False,1,2b63e_00015,2026-04-20_06-10-19,12.8210813999176,12.8210813999176,2246161,cnl-brain9,155.198.99.250,12.8210813999176,1,0.1,0.2,2,18,2b63e_00015
16,0,0,,,0.5,,0,,0.695789420928435,0.974682499836243,10,199.77,1776661818,,False,1,2b63e_00016,2026-04-20_06-10-18,11.9831185340881,11.9831185340881,2246154,cnl-brain9,155.198.99.250,11.9831185340881,1,0.1,0.25,2,18,2b63e_00016
17,0,0,,,0.75,,0,,0.695789420928435,0.965418507546329,10,199.77,1776661818,,False,1,2b63e_00017,2026-04-20_06-10-18,11.9596848487854,11.9596848487854,2246156,cnl-brain9,155.198.99.250,11.9596848487854,1,0.1,0.3,2,18,2b63e_00017
18,0,0,,,0.75,,0,,0.695789420928435,0.963082466244994,10,199.77,1776661819,,False,1,2b63e_00018,2026-04-20_06-10-19,12.7413256168365,12.7413256168365,2246159,cnl-brain9,155.198.99.250,12.7413256168365,1,0.1,0.35,2,18,2b63e_00018
19,0,0,,,0.75,,0,,0.695789420928435,0.964564726921958,10,199.77,1776661818,,False,1,2b63e_00019,2026-04-20_06-10-18,12.0256807804108,12.0256807804108,2246155,cnl-brain9,155.198.99.250,12.0256807804108,1,0.1,0.4,2,18,2b63e_00019
20,5,2,8.22,0.0466442436039474,3.25,-0.0499999999999989,0.685638783700261,1.24590566930053,1.08356595397214,6.33141758391966,10,187.62,1776661817,,False,1,2b63e_00020,2026-04-20_06-10-17,11.41668176651,11.41668176651,2246166,cnl-brain9,155.198.99.250,11.41668176651,1,0.1,0.2,0.5,19,2b63e_00020
21,5,2,8.22,0.0466442436039474,3.25,-0.0499999999999989,0.685638783700261,1.24590566930053,1.08356595397214,6.36294920928788,10,187.62,1776661817,,False,1,2b63e_00021,2026-04-20_06-10-17,11.4569756984711,11.4569756984711,2246167,cnl-brain9,155.198.99.250,11.4569756984711,1,0.1,0.25,0.5,19,2b63e_00021
22,5,2,8.22,0.0466442436039474,3.75,-0.0499999999999989,0.685638783700261,1.24590566930053,1.08356595397214,6.38413817375283,10,187.62,1776661817,,False,1,2b63e_00022,2026-04-20_06-10-17,11.502562046051,11.502562046051,2246164,cnl-brain9,155.198.99.250,11.502562046051,1,0.1,0.3,0.5,19,2b63e_00022
23,5,2,8.22,0.0466442436039474,3.75,-0.0499999999999989,0.685638783700261,1.24590566930053,1.08356595397214,6.42866074951707,10,187.62,1776661817,,False,1,2b63e_00023,2026-04-20_06-10-17,11.5062067508698,11.5062067508698,2246162,cnl-brain9,155.198.99.250,11.5062067508698,1,0.1,0.35,0.5,19,2b63e_00023
24,5,2,8.22,0.0466442436039474,3.75,-0.0499999999999989,0.685638783700261,1.24590566930053,1.08356595397214,6.44608496570497,10,187.62,1776661817,,False,1,2b63e_00024,2026-04-20_06-10-17,11.0705850124359,11.0705850124359,2246169,cnl-brain9,155.198.99.250,11.0705850124359,1,0.1,0.4,0.5,19,2b63e_00024
25,2,1,62.91,0.0409299527055094,1,-0.0499999999999989,0.610443786209303,1.23265139797349,0.804124460639782,4.20954499802816,10,187.62,1776661817,,False,1,2b63e_00025,2026-04-20_06-10-17,11.4085240364075,11.4085240364075,2246165,cnl-brain9,155.198.99.250,11.4085240364075,1,0.1,0.2,1,19,2b63e_00025
26,3,2,8.22,0.0466442436039474,1.25,-0.0499999999999989,0.657329796862942,1.22457735236749,0.880057090675133,5.39057819188867,10,187.62,1776661817,,False,1,2b63e_00026,2026-04-20_06-10-17,11.4052317142487,11.4052317142487,2246171,cnl-brain9,155.198.99.250,11.4052317142487,1,0.1,0.25,1,19,2b63e_00026
27,3,2,8.22,0.0466442436039474,1.5,-0.0499999999999989,0.657329796862942,1.22457735236749,0.880057090675133,5.395459373707,10,187.62,1776661817,,False,1,2b63e_00027,2026-04-20_06-10-17,11.4236974716187,11.4236974716187,2246174,cnl-brain9,155.198.99.250,11.4236974716187,1,0.1,0.3,1,19,2b63e_00027
28,3,2,8.22,0.0466442436039474,1.5,-0.0499999999999989,0.657329796862942,1.22457735236749,0.880057090675133,5.45129191318181,10,187.62,1776661817,,False,1,2b63e_00028,2026-04-20_06-10-17,11.4468591213226,11.4468591213226,2246170,cnl-brain9,155.198.99.250,11.4468591213226,1,0.1,0.35,1,19,2b63e_00028
29,4,2,8.22,0.0466442436039474,1.75,-0.0499999999999989,0.716696714994764,1.17196334356509,0.9577475626309,5.46664104962623,10,187.62,1776661817,,False,1,2b63e_00029,2026-04-20_06-10-17,11.5046701431274,11.5046701431274,2246179,cnl-brain9,155.198.99.250,11.5046701431274,1,0.1,0.4,1,19,2b63e_00029
30,0,0,,,0.75,,0,,0.695789420928435,0.91890798684258,10,187.62,1776661832,,False,1,2b63e_00030,2026-04-20_06-10-32,10.9499034881592,10.9499034881592,2249047,cnl-brain9,155.198.99.250,10.9499034881592,1,0.1,0.2,1.5,19,2b63e_00030
31,0,0,,,0.75,,0,,0.695789420928435,0.924097610129481,10,187.62,1776661832,,False,1,2b63e_00031,2026-04-20_06-10-32,10.9221060276032,10.9221060276032,2249027,cnl-brain9,155.198.99.250,10.9221060276032,1,0.1,0.25,1.5,19,2b63e_00031
32,0,0,,,0.75,,0,,0.695789420928435,0.925823705601216,10,187.62,1776661832,,False,1,2b63e_00032,2026-04-20_06-10-32,10.9273886680603,10.9273886680603,2249032,cnl-brain9,155.198.99.250,10.9273886680603,1,0.1,0.3,1.5,19,2b63e_00032
33,2,1,62.91,0.0409299527055094,1,-0.0499999999999989,0.610443786209303,1.23265139797349,0.804124460639782,4.10014910391968,10,187.62,1776661832,,False,1,2b63e_00033,2026-04-20_06-10-32,11.1511752605438,11.1511752605438,2249038,cnl-brain9,155.198.99.250,11.1511752605438,1,0.1,0.35,1.5,19,2b63e_00033
34,2,2,23.97,0.0563712820045219,1,-0.0499999999999989,0.817028938447844,1.14990542751295,0.770358868332268,3.41410255496464,10,187.62,1776661832,,False,1,2b63e_00034,2026-04-20_06-10-32,11.0048360824585,11.0048360824585,2249042,cnl-brain9,155.198.99.250,11.0048360824585,1,0.1,0.4,1.5,19,2b63e_00034
35,0,0,,,0.5,,0,,0.695789420928435,0.898365480197971,10,187.62,1776661832,,False,1,2b63e_00035,2026-04-20_06-10-32,11.0954711437225,11.0954711437225,2249050,cnl-brain9,155.198.99.250,11.0954711437225,1,0.1,0.2,2,19,2b63e_00035
36,0,0,,,0.5,,0,,0.695789420928435,0.893288107452469,10,187.62,1776661832,,False,1,2b63e_00036,2026-04-20_06-10-32,11.1735422611237,11.1735422611237,2249053,cnl-brain9,155.198.99.250,11.1735422611237,1,0.1,0.25,2,19,2b63e_00036
37,0,0,,,0.75,,0,,0.695789420928435,0.891543872251413,10,187.62,1776661832,,False,1,2b63e_00037,2026-04-20_06-10-32,11.0898261070251,11.0898261070251,2249060,cnl-brain9,155.198.99.250,11.0898261070251,1,0.1,0.3,2,19,2b63e_00037
38,0,0,,,0.75,,0,,0.695789420928435,0.900801308512243,10,187.62,1776661832,,False,1,2b63e_00038,2026-04-20_06-10-32,11.0531268119812,11.0531268119812,2249058,cnl-brain9,155.198.99.250,11.0531268119812,1,0.1,0.35,2,19,2b63e_00038
39,0,0,,,0.75,,0,,0.695789420928435,0.910320934061279,10,187.62,1776661832,,False,1,2b63e_00039,2026-04-20_06-10-32,11.0800454616547,11.0800454616547,2249065,cnl-brain9,155.198.99.250,11.0800454616547,1,0.1,0.4,2,19,2b63e_00039
40,6,2,11.49,0.04486943380159,4.25,-0.0499999999999989,0.683808628864503,1.47138405156505,1.13641270005478,7.17818003588478,10,198.39,1776661833,,False,1,2b63e_00040,2026-04-20_06-10-33,12.0415987968445,12.0415987968445,2249068,cnl-brain9,155.198.99.250,12.0415987968445,1,0.1,0.2,0.5,20,2b63e_00040
41,6,2,11.49,0.04486943380159,4.5,-0.0499999999999989,0.683808628864503,1.47138405156505,1.13641270005478,7.21024543993442,10,198.39,1776661833,,False,1,2b63e_00041,2026-04-20_06-10-33,12.1017737388611,12.1017737388611,2249071,cnl-brain9,155.198.99.250,12.1017737388611,1,0.1,0.25,0.5,20,2b63e_00041
42,6,2,11.49,0.04486943380159,4.75,-0.0499999999999989,0.683438811992856,1.48695985349071,1.13663376797123,7.26382181483623,10,198.39,1776661834,,False,1,2b63e_00042,2026-04-20_06-10-34,12.3499684333801,12.3499684333801,2249836,cnl-brain9,155.198.99.250,12.3499684333801,1,0.1,0.3,0.5,20,2b63e_00042
43,6,2,11.49,0.04486943380159,4.75,-0.0499999999999989,0.683438811992856,1.48695985349071,1.13663376797123,7.29748032116058,10,198.39,1776661834,,False,1,2b63e_00043,2026-04-20_06-10-34,11.9911327362061,11.9911327362061,2249837,cnl-brain9,155.198.99.250,11.9911327362061,1,0.1,0.35,0.5,20,2b63e_00043
44,6,2,11.49,0.04486943380159,4.75,-0.0499999999999989,0.683144030124665,1.50240892310919,1.13684091452771,7.35609760606381,10,198.39,1776661834,,False,1,2b63e_00044,2026-04-20_06-10-34,12.282824754715,12.282824754715,2249839,cnl-brain9,155.198.99.250,12.282824754715,1,0.1,0.4,0.5,20,2b63e_00044
45,2,1,11.49,0.04486943380159,1,-0.0499999999999989,0.706234365018294,1.01803592875229,0.787782341599167,4.16810402610019,10,198.39,1776661834,,False,1,2b63e_00045,2026-04-20_06-10-34,11.8844947814941,11.8844947814941,2249841,cnl-brain9,155.198.99.250,11.8844947814941,1,0.1,0.2,1,20,2b63e_00045
46,2,1,11.49,0.04486943380159,1,-0.0499999999999989,0.706234365018294,1.01803592875229,0.787782341599167,4.21252501852194,10,198.39,1776661834,,False,1,2b63e_00046,2026-04-20_06-10-34,12.3250453472137,12.3250453472137,2249840,cnl-brain9,155.198.99.250,12.3250453472137,1,0.1,0.25,1,20,2b63e_00046
47,2,1,11.49,0.04486943380159,1.25,-0.0499999999999989,0.706234365018294,1.01803592875229,0.787782341599167,4.2488012379029,10,198.39,1776661834,,False,1,2b63e_00047,2026-04-20_06-10-34,12.1871247291565,12.1871247291565,2249838,cnl-brain9,155.198.99.250,12.1871247291565,1,0.1,0.3,1,20,2b63e_00047
48,2,1,11.49,0.04486943380159,1.25,-0.0499999999999989,0.706234365018294,1.01803592875229,0.787782341599167,4.27608427317416,10,198.39,1776661834,,False,1,2b63e_00048,2026-04-20_06-10-34,11.8911104202271,11.8911104202271,2249844,cnl-brain9,155.198.99.250,11.8911104202271,1,0.1,0.35,1,20,2b63e_00048
